arauna_dex,full_name,engine_name,species_constant,national_slot,graphics_folder,types,production_method
023,Onçaléu,Onçaléu,SPECIES_KAKUNA,NATIONAL_DEX_EKANS,kakuna,dark,reference-front-plus-reconstructed-back
024,Tamanduá,Tamanduá,SPECIES_BEEDRILL,NATIONAL_DEX_ARBOK,beedrill,ground/steel,reference-front-plus-reconstructed-back
025,Botim,Botim,SPECIES_PIDGEY,NATIONAL_DEX_PIKACHU,pidgey,water,reference-front-plus-reconstructed-back
026,Botão,Botão,SPECIES_PIDGEOTTO,NATIONAL_DEX_RAICHU,pidgeotto,water/psychic,reference-front-plus-reconstructed-back
027,Botogaláu,Botogaláu,SPECIES_PIDGEOT,NATIONAL_DEX_SANDSHREW,pidgeot,water/psychic,reference-front-plus-reconstructed-back
028,Tatuim,Tatuim,SPECIES_RATTATA,NATIONAL_DEX_SANDSLASH,rattata,ground,reference-front-plus-reconstructed-back
029,Tatubola,Tatubola,SPECIES_RATICATE,NATIONAL_DEX_NIDORAN_F,raticate,ground/steel,reference-front-plus-reconstructed-back
030,Tatuçu,Tatuçu,SPECIES_SPEAROW,NATIONAL_DEX_NIDORINA,spearow,ground/steel,reference-front-plus-reconstructed-back
031,Ararinha,Ararinha,SPECIES_FEAROW,NATIONAL_DEX_NIDOQUEEN,fearow,flying,reference-front-plus-reconstructed-back
032,Arará,Arará,SPECIES_EKANS,NATIONAL_DEX_NIDORAN_M,ekans,flying/fire,reference-front-plus-reconstructed-back
033,Araracanga,Araracanga,SPECIES_ARBOK,NATIONAL_DEX_NIDORINO,arbok,flying/fire,reference-front-plus-reconstructed-back
034,Jacarim,Jacarim,SPECIES_PIKACHU,NATIONAL_DEX_NIDOKING,pikachu,water,reference-front-plus-reconstructed-back
035,Jacarão,Jacarão,SPECIES_RAICHU,NATIONAL_DEX_CLEFAIRY,raichu,water/dark,reference-front-plus-reconstructed-back
036,Jacarodon,Jacarodon,SPECIES_SANDSHREW,NATIONAL_DEX_CLEFABLE,sandshrew,water/dragon,reference-front-plus-reconstructed-back
037,Preguicim,Preguicim,SPECIES_SANDSLASH,NATIONAL_DEX_VULPIX,sandslash,grass,reference-front-plus-reconstructed-back
038,Preguicão,Preguicão,SPECIES_NIDORAN_F,NATIONAL_DEX_NINETALES,nidoran_f,grass/psychic,reference-front-plus-reconstructed-back
039,Bicho-Preguiça,BichoPregça,SPECIES_NIDORINA,NATIONAL_DEX_JIGGLYPUFF,nidorina,grass/psychic,reference-front-plus-reconstructed-back
040,Papaguim,Papaguim,SPECIES_NIDOQUEEN,NATIONAL_DEX_WIGGLYTUFF,nidoqueen,flying,reference-front-plus-reconstructed-back
041,Papagaio,Papagaio,SPECIES_NIDORAN_M,NATIONAL_DEX_ZUBAT,nidoran_m,flying/psychic,reference-front-plus-reconstructed-back
042,Papagaião,Papagaião,SPECIES_NIDORINO,NATIONAL_DEX_GOLBAT,nidorino,flying/psychic,reference-front-plus-reconstructed-back
043,Antinha,Antinha,SPECIES_NIDOKING,NATIONAL_DEX_ODDISH,nidoking,normal,reference-front-plus-reconstructed-back
044,Anta,Anta,SPECIES_CLEFAIRY,NATIONAL_DEX_GLOOM,clefairy,normal/water,reference-front-plus-reconstructed-back
045,Antaraú,Antaraú,SPECIES_CLEFABLE,NATIONAL_DEX_VILEPLUME,clefable,normal/water,reference-front-plus-reconstructed-back
046,Sucurim,Sucurim,SPECIES_VULPIX,NATIONAL_DEX_PARAS,vulpix,water/poison,reference-front-plus-reconstructed-back
047,Sucuri,Sucuri,SPECIES_NINETALES,NATIONAL_DEX_PARASECT,ninetales,water/poison,reference-front-plus-reconstructed-back
048,Boiuna,Boiuna,SPECIES_JIGGLYPUFF,NATIONAL_DEX_VENONAT,jigglypuff,water/dragon,reference-front-plus-reconstructed-back
049,Borbolim,Borbolim,SPECIES_WIGGLYTUFF,NATIONAL_DEX_VENOMOTH,wigglytuff,bug,reference-front-plus-reconstructed-back
050,Casulete,Casulete,SPECIES_ZUBAT,NATIONAL_DEX_DIGLETT,zubat,bug,reference-front-plus-reconstructed-back
051,Morphália,Morphália,SPECIES_GOLBAT,NATIONAL_DEX_DUGTRIO,golbat,bug/fairy,reference-front-plus-reconstructed-back
052,Guaracim,Guaracim,SPECIES_ODDISH,NATIONAL_DEX_MEOWTH,oddish,fire,reference-front-plus-reconstructed-back
053,Guará,Guará,SPECIES_GLOOM,NATIONAL_DEX_PERSIAN,gloom,fire/normal,reference-front-plus-reconstructed-back
054,Guaraflama,Guaraflama,SPECIES_VILEPLUME,NATIONAL_DEX_PSYDUCK,vileplume,fire/ghost,reference-front-plus-reconstructed-back
055,Peixim,Peixim,SPECIES_PARAS,NATIONAL_DEX_GOLDUCK,paras,water,reference-front-plus-reconstructed-back
056,Peixeboi,Peixeboi,SPECIES_PARASECT,NATIONAL_DEX_MANKEY,parasect,water,reference-front-plus-reconstructed-back
057,Mãe-d'Água,Mãe-d'Água,SPECIES_VENONAT,NATIONAL_DEX_PRIMEAPE,venonat,water/fairy,reference-front-plus-reconstructed-back
058,Mandim,Mandim,SPECIES_VENOMOTH,NATIONAL_DEX_GROWLITHE,venomoth,water,reference-front-plus-reconstructed-back
059,Mandí,Mandí,SPECIES_DIGLETT,NATIONAL_DEX_ARCANINE,diglett,water/poison,reference-front-plus-reconstructed-back
060,Mandubé,Mandubé,SPECIES_DUGTRIO,NATIONAL_DEX_POLIWAG,dugtrio,water/dark,reference-front-plus-reconstructed-back
061,Preguim,Preguim,SPECIES_MEOWTH,NATIONAL_DEX_POLIWHIRL,meowth,normal,reference-front-plus-reconstructed-back
062,Prego,Prego,SPECIES_PERSIAN,NATIONAL_DEX_POLIWRATH,persian,fighting/normal,reference-front-plus-reconstructed-back
063,Pregarcanjo,Pregarcanjo,SPECIES_PSYDUCK,NATIONAL_DEX_ABRA,psyduck,fighting/psychic,reference-front-plus-reconstructed-back
064,Aranin,Aranin,SPECIES_GOLDUCK,NATIONAL_DEX_KADABRA,golduck,bug,reference-front-plus-reconstructed-back
065,Caraninha,Caraninha,SPECIES_MANKEY,NATIONAL_DEX_ALAKAZAM,mankey,bug/poison,reference-front-plus-reconstructed-back
066,Caranga,Caranga,SPECIES_PRIMEAPE,NATIONAL_DEX_MACHOP,primeape,bug/poison,reference-front-plus-reconstructed-back
067,Gatim,Gatim,SPECIES_GROWLITHE,NATIONAL_DEX_MACHOKE,growlithe,normal,reference-front-plus-reconstructed-back
068,Gato-do-mato,Gato-do-mato,SPECIES_ARCANINE,NATIONAL_DEX_MACHAMP,arcanine,normal/dark,reference-front-plus-reconstructed-back
069,Jaguatirica,Jaguatirica,SPECIES_POLIWAG,NATIONAL_DEX_BELLSPROUT,poliwag,dark/normal,reference-front-plus-reconstructed-back
070,Cutim,Cutim,SPECIES_POLIWHIRL,NATIONAL_DEX_WEEPINBELL,poliwhirl,normal,reference-front-plus-reconstructed-back
071,Cutia,Cutia,SPECIES_POLIWRATH,NATIONAL_DEX_VICTREEBEL,poliwrath,normal,reference-front-plus-reconstructed-back
072,Paca,Paca,SPECIES_ABRA,NATIONAL_DEX_TENTACOOL,abra,normal/dark,reference-front-plus-reconstructed-back
073,Formigão,Formigão,SPECIES_KADABRA,NATIONAL_DEX_TENTACRUEL,kadabra,bug/fighting,reference-front-plus-reconstructed-back
074,Marimbondo,Marimbondo,SPECIES_ALAKAZAM,NATIONAL_DEX_GEODUDE,alakazam,bug/poison,reference-front-plus-reconstructed-back
075,Abelhinha,Abelhinha,SPECIES_MACHOP,NATIONAL_DEX_GRAVELER,machop,bug/flying,reference-front-plus-reconstructed-back
076,Quatim,Quatim,SPECIES_MACHOKE,NATIONAL_DEX_GOLEM,machoke,normal,reference-front-plus-reconstructed-back
077,Quati,Quati,SPECIES_MACHAMP,NATIONAL_DEX_PONYTA,machamp,normal/dark,reference-front-plus-reconstructed-back
078,Coati,Coati,SPECIES_BELLSPROUT,NATIONAL_DEX_RAPIDASH,bellsprout,dark/ground,reference-front-plus-reconstructed-back
079,Gambá,Gambá,SPECIES_WEEPINBELL,NATIONAL_DEX_SLOWPOKE,weepinbell,poison/normal,reference-front-plus-reconstructed-back
080,Cangambá,Cangambá,SPECIES_VICTREEBEL,NATIONAL_DEX_SLOWBRO,victreebel,poison/dark,reference-front-plus-reconstructed-back
081,Sarué,Sarué,SPECIES_TENTACOOL,NATIONAL_DEX_MAGNEMITE,tentacool,poison/ghost,reference-front-plus-reconstructed-back
082,Tuquinho,Tuquinho,SPECIES_TENTACRUEL,NATIONAL_DEX_MAGNETON,tentacruel,flying,reference-front-plus-reconstructed-back
083,Aracari,Aracari,SPECIES_GEODUDE,NATIONAL_DEX_FARFETCHD,geodude,flying/grass,reference-front-plus-reconstructed-back
084,Curicaca,Curicaca,SPECIES_GRAVELER,NATIONAL_DEX_DODUO,graveler,flying/normal,reference-front-plus-reconstructed-back
085,Sapim,Sapim,SPECIES_GOLEM,NATIONAL_DEX_DODRIO,golem,water,reference-front-plus-reconstructed-back
086,Sapão,Sapão,SPECIES_PONYTA,NATIONAL_DEX_SEEL,ponyta,water/poison,reference-front-plus-reconstructed-back
087,Cururu,Cururu,SPECIES_RAPIDASH,NATIONAL_DEX_DEWGONG,rapidash,poison/ground,reference-front-plus-reconstructed-back
088,Teiuzim,Teiuzim,SPECIES_SLOWPOKE,NATIONAL_DEX_GRIMER,slowpoke,normal,reference-front-plus-reconstructed-back
089,Teiú,Teiú,SPECIES_SLOWBRO,NATIONAL_DEX_MUK,slowbro,normal/dark,reference-front-plus-reconstructed-back
090,Camaleão,Camaleão,SPECIES_MAGNEMITE,NATIONAL_DEX_SHELLDER,magnemite,normal/psychic,reference-front-plus-reconstructed-back
091,Morcim,Morcim,SPECIES_MAGNETON,NATIONAL_DEX_CLOYSTER,magneton,flying,reference-front-plus-reconstructed-back
092,Morcego,Morcego,SPECIES_FARFETCHD,NATIONAL_DEX_GASTLY,farfetchd,flying/psychic,reference-front-plus-reconstructed-back
093,Vampiro,Vampiro,SPECIES_DODUO,NATIONAL_DEX_HAUNTER,doduo,flying/dark,reference-front-plus-reconstructed-back
094,Piuiuim,Piuiuim,SPECIES_DODRIO,NATIONAL_DEX_GENGAR,dodrio,flying,reference-front-plus-reconstructed-back
095,Tuiuiú,Tuiuiú,SPECIES_SEEL,NATIONAL_DEX_ONIX,seel,flying/water,reference-front-plus-reconstructed-back
096,Colhereiro,Colhereiro,SPECIES_DEWGONG,NATIONAL_DEX_DROWZEE,dewgong,flying/fairy,reference-front-plus-reconstructed-back
097,Mulinha,Mulinha,SPECIES_GRIMER,NATIONAL_DEX_HYPNO,grimer,normal,reference-front-plus-reconstructed-back
098,Mula,Mula,SPECIES_MUK,NATIONAL_DEX_KRABBY,muk,normal/fire,reference-front-plus-reconstructed-back
099,Mula-sem-Cabeça,Mula-Cabeça,SPECIES_SHELLDER,NATIONAL_DEX_KINGLER,shellder,fire/ghost,reference-front-plus-reconstructed-back
100,Corcovado,Corcovado,SPECIES_CLOYSTER,NATIONAL_DEX_VOLTORB,cloyster,rock/dragon,reference-front-plus-reconstructed-back
101,Cerválo,Cerválo,SPECIES_GASTLY,NATIONAL_DEX_ELECTRODE,gastly,normal,reference-front-plus-reconstructed-back
102,Catingueiro,Catingueiro,SPECIES_HAUNTER,NATIONAL_DEX_EXEGGCUTE,haunter,normal/grass,reference-front-plus-reconstructed-back
103,Suçuapara,Suçuapara,SPECIES_GENGAR,NATIONAL_DEX_EXEGGUTOR,gengar,normal/fighting,reference-front-plus-reconstructed-back
104,Cabocim,Cabocim,SPECIES_ONIX,NATIONAL_DEX_CUBONE,onix,water,reference-front-plus-reconstructed-back
105,Caboclo,Caboclo,SPECIES_DROWZEE,NATIONAL_DEX_MAROWAK,drowzee,water/fighting,reference-front-plus-reconstructed-back
106,Cangaço,Cangaço,SPECIES_HYPNO,NATIONAL_DEX_HITMONLEE,hypno,dark/flying,reference-front-plus-reconstructed-back
107,Xangô,Xangô,SPECIES_KRABBY,NATIONAL_DEX_HITMONCHAN,krabby,electric/fighting,reference-front-plus-reconstructed-back
108,Iemanjá,Iemanjá,SPECIES_KINGLER,NATIONAL_DEX_LICKITUNG,kingler,water/fairy,reference-front-plus-reconstructed-back
109,Oxum,Oxum,SPECIES_VOLTORB,NATIONAL_DEX_KOFFING,voltorb,water/fairy,reference-front-plus-reconstructed-back
110,Ogum,Ogum,SPECIES_ELECTRODE,NATIONAL_DEX_WEEZING,electrode,steel/fire,reference-front-plus-reconstructed-back
111,Cavalim,Cavalim,SPECIES_EXEGGCUTE,NATIONAL_DEX_RHYHORN,exeggcute,normal,reference-front-plus-reconstructed-back
112,Cavalgado,Cavalgado,SPECIES_EXEGGUTOR,NATIONAL_DEX_RHYDON,exeggutor,normal/fighting,reference-front-plus-reconstructed-back
113,Zebuim,Zebuim,SPECIES_CUBONE,NATIONAL_DEX_CHANSEY,cubone,normal,reference-front-plus-reconstructed-back
114,Zebu,Zebu,SPECIES_MAROWAK,NATIONAL_DEX_TANGELA,marowak,normal/fighting,reference-front-plus-reconstructed-back
115,Ovelhinha,Ovelhinha,SPECIES_HITMONLEE,NATIONAL_DEX_KANGASKHAN,hitmonlee,normal/fairy,reference-front-plus-reconstructed-back
116,Cabrita,Cabrita,SPECIES_HITMONCHAN,NATIONAL_DEX_HORSEA,hitmonchan,normal/rock,reference-front-plus-reconstructed-back
117,Chocalhão,Chocalhão,SPECIES_LICKITUNG,NATIONAL_DEX_SEADRA,lickitung,poison,reference-front-plus-reconstructed-back
118,Cascavelim,Cascavelim,SPECIES_KOFFING,NATIONAL_DEX_GOLDEEN,koffing,poison,reference-front-plus-reconstructed-back
119,Cascavão,Cascavão,SPECIES_WEEZING,NATIONAL_DEX_SEAKING,weezing,poison/dark,reference-front-plus-reconstructed-back
120,Jararaca,Jararaca,SPECIES_RHYHORN,NATIONAL_DEX_STARYU,rhyhorn,poison/grass,reference-front-plus-reconstructed-back
121,Pirarim,Pirarim,SPECIES_RHYDON,NATIONAL_DEX_STARMIE,rhydon,water,reference-front-plus-reconstructed-back
122,Pirarucu,Pirarucu,SPECIES_CHANSEY,NATIONAL_DEX_MR_MIME,chansey,water/dragon,reference-front-plus-reconstructed-back
123,Piranha,Piranha,SPECIES_TANGELA,NATIONAL_DEX_SCYTHER,tangela,water/dark,reference-front-plus-reconstructed-back
124,Tambaqui,Tambaqui,SPECIES_KANGASKHAN,NATIONAL_DEX_JYNX,kangaskhan,water/normal,reference-front-plus-reconstructed-back
125,Aruanã,Aruanã,SPECIES_HORSEA,NATIONAL_DEX_ELECTABUZZ,horsea,water/flying,reference-front-plus-reconstructed-back
126,Poraquê,Poraquê,SPECIES_SEADRA,NATIONAL_DEX_MAGMAR,seadra,electric/water,reference-front-plus-reconstructed-back
127,Curimbatá,Curimbatá,SPECIES_GOLDEEN,NATIONAL_DEX_PINSIR,goldeen,water/ground,reference-front-plus-reconstructed-back
128,Traíra,Traíra,SPECIES_SEAKING,NATIONAL_DEX_TAUROS,seaking,water/dark,reference-front-plus-reconstructed-back
129,Dourado,Dourado,SPECIES_STARYU,NATIONAL_DEX_MAGIKARP,staryu,water/fighting,reference-front-plus-reconstructed-back
130,Tucunaré,Tucunaré,SPECIES_STARMIE,NATIONAL_DEX_GYARADOS,starmie,water/dark,reference-front-plus-reconstructed-back
131,Pacu,Pacu,SPECIES_MR_MIME,NATIONAL_DEX_LAPRAS,mr_mime,water/grass,reference-front-plus-reconstructed-back
132,Matrinxã,Matrinxã,SPECIES_SCYTHER,NATIONAL_DEX_DITTO,scyther,water/normal,reference-front-plus-reconstructed-back
133,Piau,Piau,SPECIES_JYNX,NATIONAL_DEX_EEVEE,jynx,water/normal,reference-front-plus-reconstructed-back
134,Cascudo,Cascudo,SPECIES_ELECTABUZZ,NATIONAL_DEX_VAPOREON,electabuzz,water/rock,reference-front-plus-reconstructed-back
135,Acará,Acará,SPECIES_MAGMAR,NATIONAL_DEX_JOLTEON,magmar,water/psychic,reference-front-plus-reconstructed-back
136,Vagalumim,Vagalumim,SPECIES_PINSIR,NATIONAL_DEX_FLAREON,pinsir,bug/electric,reference-front-plus-reconstructed-back
137,Vagalume,Vagalume,SPECIES_TAUROS,NATIONAL_DEX_PORYGON,tauros,bug/electric,reference-front-plus-reconstructed-back
138,Cigarrinho,Cigarrinho,SPECIES_MAGIKARP,NATIONAL_DEX_OMANYTE,magikarp,bug,reference-front-plus-reconstructed-back
139,Cigarrão,Cigarrão,SPECIES_GYARADOS,NATIONAL_DEX_OMASTAR,gyarados,bug/flying,reference-front-plus-reconstructed-back
140,Louvadinha,Louvadinha,SPECIES_LAPRAS,NATIONAL_DEX_KABUTO,lapras,bug,reference-front-plus-reconstructed-back
141,Louvadeus,Louvadeus,SPECIES_DITTO,NATIONAL_DEX_KABUTOPS,ditto,bug/psychic,reference-front-plus-reconstructed-back
142,Escorpim,Escorpim,SPECIES_EEVEE,NATIONAL_DEX_AERODACTYL,eevee,poison,reference-front-plus-reconstructed-back
143,Escorpião,Escorpião,SPECIES_VAPOREON,NATIONAL_DEX_SNORLAX,vaporeon,poison/dark,reference-front-plus-reconstructed-back
144,Caramulão,Caramulão,SPECIES_JOLTEON,NATIONAL_DEX_ARTICUNO,jolteon,bug/water,reference-front-plus-reconstructed-back
145,Piolhão,Piolhão,SPECIES_FLAREON,NATIONAL_DEX_ZAPDOS,flareon,bug/poison,reference-front-plus-reconstructed-back
146,Barata,Barata,SPECIES_PORYGON,NATIONAL_DEX_MOLTRES,porygon,bug/dark,reference-front-plus-reconstructed-back
147,Grilim,Grilim,SPECIES_OMANYTE,NATIONAL_DEX_DRATINI,omanyte,bug,reference-front-plus-reconstructed-back
148,Grilão,Grilão,SPECIES_OMASTAR,NATIONAL_DEX_DRAGONAIR,omastar,bug/normal,reference-front-plus-reconstructed-back
149,Aranhão,Aranhão,SPECIES_KABUTO,NATIONAL_DEX_DRAGONITE,kabuto,bug/poison,reference-front-plus-reconstructed-back
150,Vespão,Vespão,SPECIES_KABUTOPS,NATIONAL_DEX_MEWTWO,kabutops,bug/flying,reference-front-plus-reconstructed-back
151,Marimbondão,Marimbondão,SPECIES_AERODACTYL,NATIONAL_DEX_MEW,aerodactyl,bug/poison,reference-front-plus-reconstructed-back
152,Traça,Traça,SPECIES_SNORLAX,NATIONAL_DEX_CHIKORITA,snorlax,bug/normal,reference-front-plus-reconstructed-back
153,Corupião,Corupião,SPECIES_ARTICUNO,NATIONAL_DEX_BAYLEEF,articuno,bug/ground,reference-front-plus-reconstructed-back
154,Cupinzim,Cupinzim,SPECIES_ZAPDOS,NATIONAL_DEX_MEGANIUM,zapdos,bug/ground,reference-front-plus-reconstructed-back
155,Formigão-Preto,FormigãoPrto,SPECIES_MOLTRES,NATIONAL_DEX_CYNDAQUIL,moltres,bug/dark,reference-front-plus-reconstructed-back
156,Beija-flor,Beija-flor,SPECIES_DRATINI,NATIONAL_DEX_QUILAVA,dratini,flying/fairy,reference-front-plus-reconstructed-back
157,Sabiá,Sabiá,SPECIES_DRAGONAIR,NATIONAL_DEX_TYPHLOSION,dragonair,flying/normal,reference-front-plus-reconstructed-back
158,Bem-te-vi,Bem-te-vi,SPECIES_DRAGONITE,NATIONAL_DEX_TOTODILE,dragonite,flying/normal,reference-front-plus-reconstructed-back
159,Urutau,Urutau,SPECIES_MEWTWO,NATIONAL_DEX_CROCONAW,mewtwo,flying/ghost,reference-front-plus-reconstructed-back
160,Carcará,Carcará,SPECIES_MEW,NATIONAL_DEX_FERALIGATR,mew,flying/dark,reference-front-plus-reconstructed-back
161,Gavião,Gavião,SPECIES_CHIKORITA,NATIONAL_DEX_SENTRET,chikorita,flying/fighting,reference-front-plus-reconstructed-back
162,Urubu,Urubu,SPECIES_BAYLEEF,NATIONAL_DEX_FURRET,bayleef,flying/dark,reference-front-plus-reconstructed-back
163,Corurupim,Corurupim,SPECIES_MEGANIUM,NATIONAL_DEX_HOOTHOOT,meganium,flying/psychic,reference-front-plus-reconstructed-back
164,Coruja,Coruja,SPECIES_CYNDAQUIL,NATIONAL_DEX_NOCTOWL,cyndaquil,flying/psychic,reference-front-plus-reconstructed-back
165,Jaburu,Jaburu,SPECIES_QUILAVA,NATIONAL_DEX_LEDYBA,quilava,flying/water,reference-front-plus-reconstructed-back
166,Ema,Ema,SPECIES_TYPHLOSION,NATIONAL_DEX_LEDIAN,typhlosion,normal/flying,reference-front-plus-reconstructed-back
167,Seriema,Seriema,SPECIES_TOTODILE,NATIONAL_DEX_SPINARAK,totodile,flying/fighting,reference-front-plus-reconstructed-back
168,Anú,Anú,SPECIES_CROCONAW,NATIONAL_DEX_ARIADOS,croconaw,flying/dark,reference-front-plus-reconstructed-back
169,Trinca-Ferro,Trinca-Ferro,SPECIES_FERALIGATR,NATIONAL_DEX_CROBAT,feraligatr,flying/steel,reference-front-plus-reconstructed-back
170,Curió,Curió,SPECIES_SENTRET,NATIONAL_DEX_CHINCHOU,sentret,flying/normal,reference-front-plus-reconstructed-back
171,Sanhaço,Sanhaço,SPECIES_FURRET,NATIONAL_DEX_LANTURN,furret,flying/fairy,reference-front-plus-reconstructed-back
172,Papa-Formiga,Papa-Formiga,SPECIES_HOOTHOOT,NATIONAL_DEX_PICHU,hoothoot,flying/bug,reference-front-plus-reconstructed-back
173,Choca,Choca,SPECIES_NOCTOWL,NATIONAL_DEX_CLEFFA,noctowl,flying/normal,reference-front-plus-reconstructed-back
174,Bacurau,Bacurau,SPECIES_LEDYBA,NATIONAL_DEX_IGGLYBUFF,ledyba,flying/dark,reference-front-plus-reconstructed-back
175,João-de-Barro,João-Barro,SPECIES_LEDIAN,NATIONAL_DEX_TOGEPI,ledian,flying/ground,reference-front-plus-reconstructed-back
176,Sementim,Sementim,SPECIES_SPINARAK,NATIONAL_DEX_TOGETIC,spinarak,grass,reference-front-plus-reconstructed-back
177,Muda,Muda,SPECIES_ARIADOS,NATIONAL_DEX_NATU,ariados,grass,reference-front-plus-reconstructed-back
178,Jequitibá,Jequitibá,SPECIES_CROBAT,NATIONAL_DEX_XATU,crobat,grass/rock,reference-front-plus-reconstructed-back
179,Bromelinha,Bromelinha,SPECIES_CHINCHOU,NATIONAL_DEX_MAREEP,chinchou,grass/water,reference-front-plus-reconstructed-back
180,Orquidina,Orquidina,SPECIES_LANTURN,NATIONAL_DEX_FLAAFFY,lanturn,grass/fairy,reference-front-plus-reconstructed-back
181,Vitóriarégia,Vitóriarégia,SPECIES_PICHU,NATIONAL_DEX_AMPHAROS,pichu,grass/water,reference-front-plus-reconstructed-back
182,Ipê,Ipê,SPECIES_CLEFFA,NATIONAL_DEX_BELLOSSOM,cleffa,grass/fairy,reference-front-plus-reconstructed-back
183,Cipó,Cipó,SPECIES_IGGLYBUFF,NATIONAL_DEX_MARILL,igglybuff,grass/poison,reference-front-plus-reconstructed-back
184,Palmito,Palmito,SPECIES_TOGEPI,NATIONAL_DEX_AZUMARILL,togepi,grass/fighting,reference-front-plus-reconstructed-back
185,Babaçu,Babaçu,SPECIES_TOGETIC,NATIONAL_DEX_SUDOWOODO,togetic,grass/ground,reference-front-plus-reconstructed-back
186,Buriti,Buriti,SPECIES_NATU,NATIONAL_DEX_POLITOED,natu,grass/water,reference-front-plus-reconstructed-back
187,Cajuzim,Cajuzim,SPECIES_XATU,NATIONAL_DEX_HOPPIP,xatu,grass,reference-front-plus-reconstructed-back
188,Cajueiro,Cajueiro,SPECIES_MAREEP,NATIONAL_DEX_SKIPLOOM,mareep,grass/fire,reference-front-plus-reconstructed-back
189,Açaí,Açaí,SPECIES_FLAAFFY,NATIONAL_DEX_JUMPLUFF,flaaffy,grass/dark,reference-front-plus-reconstructed-back
190,Cacauim,Cacauim,SPECIES_AMPHAROS,NATIONAL_DEX_AIPOM,ampharos,grass,reference-front-plus-reconstructed-back
191,Cacaueiro,Cacaueiro,SPECIES_BELLOSSOM,NATIONAL_DEX_SUNKERN,bellossom,grass/normal,reference-front-plus-reconstructed-back
192,Guaraná,Guaraná,SPECIES_MARILL,NATIONAL_DEX_SUNFLORA,marill,grass/electric,reference-front-plus-reconstructed-back
193,Mate,Mate,SPECIES_AZUMARILL,NATIONAL_DEX_YANMA,azumarill,grass/water,reference-front-plus-reconstructed-back
194,Milho,Milho,SPECIES_SUDOWOODO,NATIONAL_DEX_WOOPER,sudowoodo,grass/normal,reference-front-plus-reconstructed-back
195,Mandioca,Mandioca,SPECIES_POLITOED,NATIONAL_DEX_QUAGSIRE,politoed,grass/ground,reference-front-plus-reconstructed-back
196,Pedrinha,Pedrinha,SPECIES_HOPPIP,NATIONAL_DEX_ESPEON,hoppip,rock,reference-front-plus-reconstructed-back
