arauna_dex,name,types,bst,map,table,displaced
153,Corupião,bug/ground,448,MAP_SAFARI_ZONE_NORTH,land_mons,MIGHTYENA
153,Corupião,bug/ground,448,MAP_SAFARI_ZONE_NORTH,land_mons,DRAGONAIR
154,Cupinzim,bug/ground,444,MAP_SAFARI_ZONE_NORTHEAST,land_mons,POLIWAG
154,Cupinzim,bug/ground,444,MAP_FIERY_PATH,land_mons,LINOONE
155,Formigão-Preto,bug/dark,446,MAP_SAFARI_ZONE_NORTHWEST,land_mons,MIGHTYENA
155,Formigão-Preto,bug/dark,446,MAP_ROUTE112,land_mons,NUMEL
156,Beija-flor,flying/fairy,448,MAP_VICTORY_ROAD_B1F,land_mons,SUNKERN
156,Beija-flor,flying/fairy,448,MAP_VICTORY_ROAD_B1F,land_mons,SUNKERN
160,Carcará,flying/dark,445,MAP_JAGGED_PASS,land_mons,NUMEL
160,Carcará,flying/dark,445,MAP_JAGGED_PASS,land_mons,NUMEL
162,Urubu,flying/dark,555,MAP_SAFARI_ZONE_NORTHWEST,land_mons,OMASTAR
162,Urubu,flying/dark,555,MAP_SAFARI_ZONE_NORTHEAST,land_mons,SLOWBRO
165,Jaburu,flying/water,444,MAP_VICTORY_ROAD_1F,land_mons,SUNFLORA
165,Jaburu,flying/water,444,MAP_ROUTE115,land_mons,WINGULL
166,Ema,normal/flying,446,MAP_ROUTE119,land_mons,MIGHTYENA
166,Ema,normal/flying,446,MAP_ROUTE119,land_mons,MIGHTYENA
168,Anú,flying/dark,445,MAP_JAGGED_PASS,land_mons,NUMEL
168,Anú,flying/dark,445,MAP_JAGGED_PASS,land_mons,NUMEL
170,Curió,flying/normal,449,MAP_METEOR_FALLS_B1F_2R,land_mons,FEEBAS
170,Curió,flying/normal,449,MAP_METEOR_FALLS_B1F_2R,land_mons,TORKOAL
172,Papa-Formiga,flying/bug,447,MAP_SAFARI_ZONE_SOUTHWEST,land_mons,PORYGON
172,Papa-Formiga,flying/bug,447,MAP_SAFARI_ZONE_NORTHWEST,land_mons,ABRA
173,Choca,flying/normal,449,MAP_METEOR_FALLS_B1F_2R,land_mons,TORKOAL
173,Choca,flying/normal,449,MAP_METEOR_FALLS_B1F_2R,land_mons,FEEBAS
174,Bacurau,flying/dark,446,MAP_ROUTE120,land_mons,MIGHTYENA
174,Bacurau,flying/dark,446,MAP_ROUTE120,land_mons,MIGHTYENA
179,Bromelinha,grass/water,445,MAP_ROUTE121,land_mons,DELIBIRD
179,Bromelinha,grass/water,445,MAP_ROUTE123,land_mons,DELIBIRD
181,Vitóriarégia,grass/water,449,MAP_ROUTE114,land_mons,STARMIE
181,Vitóriarégia,grass/water,449,MAP_ROUTE114,land_mons,STARMIE
184,Palmito,grass/fighting,449,MAP_SAFARI_ZONE_NORTHWEST,land_mons,MEWTWO
184,Palmito,grass/fighting,449,MAP_SKY_PILLAR_5F,land_mons,FEEBAS
186,Buriti,grass/water,448,MAP_ROUTE121,land_mons,MIGHTYENA
186,Buriti,grass/water,448,MAP_ROUTE123,land_mons,MIGHTYENA
187,Cajuzim,grass,282,MAP_ROUTE120,land_mons,QWILFISH
187,Cajuzim,grass,282,MAP_ROUTE114,land_mons,VENOMOTH
189,Açaí,grass/dark,448,MAP_SKY_PILLAR_5F,land_mons,KINGDRA
189,Açaí,grass/dark,448,MAP_SKY_PILLAR_5F,land_mons,TAILLOW
192,Guaraná,grass/electric,449,MAP_VICTORY_ROAD_B1F,land_mons,FEEBAS
192,Guaraná,grass/electric,449,MAP_VICTORY_ROAD_B1F,land_mons,FEEBAS
193,Mate,grass/water,445,MAP_MT_PYRE_SUMMIT,land_mons,DELIBIRD
193,Mate,grass/water,445,MAP_MT_PYRE_SUMMIT,land_mons,DELIBIRD
195,Mandioca,grass/ground,449,MAP_VICTORY_ROAD_B1F,rock_smash_mons,LEDIAN
195,Mandioca,grass/ground,449,MAP_VICTORY_ROAD_B1F,rock_smash_mons,LEDIAN
198,Cristalim,rock/fairy,282,MAP_PETALBURG_WOODS,land_mons,SKITTY
198,Cristalim,rock/fairy,282,MAP_PETALBURG_WOODS,land_mons,HOPPIP
202,Diamantina,rock/fairy,605,MAP_NEW_MAUVILLE_INSIDE,land_mons,VOLTORB
202,Diamantina,rock/fairy,605,MAP_NEW_MAUVILLE_INSIDE,land_mons,VOLTORB
203,Bauxito,steel/ground,449,MAP_GRANITE_CAVE_B2F,land_mons,TAILLOW
203,Bauxito,steel/ground,449,MAP_GRANITE_CAVE_B2F,land_mons,TAILLOW
205,Salitre,rock/water,447,MAP_GRANITE_CAVE_1F,land_mons,DUNSPARCE
205,Salitre,rock/water,447,MAP_GRANITE_CAVE_1F,land_mons,DUNSPARCE
206,Enxofrino,fire/poison,449,MAP_NEW_MAUVILLE_INSIDE,land_mons,WAILMER
206,Enxofrino,fire/poison,449,MAP_NEW_MAUVILLE_INSIDE,land_mons,WAILMER
209,Estalactite,rock/water,444,MAP_GRANITE_CAVE_1F,land_mons,DUNSPARCE
209,Estalactite,rock/water,444,MAP_ROUTE116,land_mons,MUK
210,Estalagmite,rock/ground,446,MAP_MAGMA_HIDEOUT_1F,land_mons,DUNSPARCE
210,Estalagmite,rock/ground,446,MAP_MAGMA_HIDEOUT_1F,land_mons,DUNSPARCE
211,Fóssil,rock/dragon,448,MAP_VICTORY_ROAD_B1F,rock_smash_mons,LEDIAN
211,Fóssil,rock/dragon,448,MAP_MAGMA_HIDEOUT_1F,land_mons,LEDIAN
212,Meteorito,rock/psychic,603,MAP_SKY_PILLAR_1F,land_mons,AZURILL
212,Meteorito,rock/psychic,603,MAP_SKY_PILLAR_1F,land_mons,AZURILL
213,Vulcanite,fire/rock,447,MAP_MAGMA_HIDEOUT_1F,land_mons,LEDIAN
213,Vulcanite,fire/rock,447,MAP_MAGMA_HIDEOUT_2F_1R,land_mons,LEDIAN
214,Marmim,rock/fairy,449,MAP_METEOR_FALLS_B1F_2R,land_mons,FEEBAS
214,Marmim,rock/fairy,449,MAP_METEOR_FALLS_B1F_2R,land_mons,FEEBAS
223,Cavalim-Marinho,water/fairy,445,MAP_GRANITE_CAVE_B1F,land_mons,SUNFLORA
223,Cavalim-Marinho,water/fairy,445,MAP_GRANITE_CAVE_B1F,land_mons,SUNFLORA
230,Arraia,water/electric,448,MAP_NEW_MAUVILLE_INSIDE,land_mons,WAILMER
230,Arraia,water/electric,448,MAP_NEW_MAUVILLE_INSIDE,land_mons,WAILMER
232,Pargo,water/fire,446,MAP_MT_PYRE_EXTERIOR,land_mons,DELIBIRD
232,Pargo,water/fire,446,MAP_MT_PYRE_EXTERIOR,land_mons,DELIBIRD
235,Cuca,dark/psychic,447,MAP_GRANITE_CAVE_B2F,land_mons,TAILLOW
235,Cuca,dark/psychic,447,MAP_GRANITE_CAVE_B2F,land_mons,TAILLOW
236,Bicho-Papão,dark/ghost,449,MAP_SKY_PILLAR_1F,land_mons,FEEBAS
236,Bicho-Papão,dark/ghost,449,MAP_SKY_PILLAR_1F,land_mons,KINGDRA
237,Lobisomem,dark/normal,445,MAP_VICTORY_ROAD_B1F,land_mons,QUAGSIRE
237,Lobisomem,dark/normal,445,MAP_VICTORY_ROAD_B2F,land_mons,QUAGSIRE
238,Corpo-Seco,ghost/dark,447,MAP_SKY_PILLAR_1F,land_mons,TAILLOW
238,Corpo-Seco,ghost/dark,447,MAP_SKY_PILLAR_3F,land_mons,TAILLOW
240,Perna-Cabeluda,ghost/normal,446,MAP_SKY_PILLAR_3F,land_mons,FEEBAS
240,Perna-Cabeluda,ghost/normal,446,MAP_SKY_PILLAR_3F,land_mons,KINGDRA
241,Comadre,ghost/fairy,448,MAP_MT_PYRE_1F,land_mons,DELIBIRD
241,Comadre,ghost/fairy,448,MAP_MT_PYRE_1F,land_mons,DELIBIRD
243,Jurupari,dark/fairy,604,MAP_SKY_PILLAR_1F,land_mons,AZURILL
243,Jurupari,dark/fairy,604,MAP_SKY_PILLAR_3F,land_mons,AZURILL
244,Tupã,electric/dragon,606,MAP_NEW_MAUVILLE_ENTRANCE,land_mons,VOLTORB
244,Tupã,electric/dragon,606,MAP_NEW_MAUVILLE_ENTRANCE,land_mons,VOLTORB
245,Jaci,fairy/psychic,603,MAP_SKY_PILLAR_3F,land_mons,AZURILL
245,Jaci,fairy/psychic,603,MAP_SKY_PILLAR_3F,land_mons,AZURILL
246,Guaraci,fire/fairy,605,MAP_NEW_MAUVILLE_ENTRANCE,land_mons,VOLTORB
246,Guaraci,fire/fairy,605,MAP_NEW_MAUVILLE_ENTRANCE,land_mons,VOLTORB
248,Aluá,water/poison,445,MAP_GRANITE_CAVE_B2F,land_mons,SUNFLORA
248,Aluá,water/poison,445,MAP_GRANITE_CAVE_B2F,land_mons,SUNFLORA
249,Jenipapo,dark/grass,447,MAP_ROUTE113,land_mons,ARON
249,Jenipapo,dark/grass,447,MAP_ROUTE113,land_mons,ARON
250,Urucum,fire/grass,449,MAP_MAGMA_HIDEOUT_2F_1R,land_mons,LEDIAN
250,Urucum,fire/grass,449,MAP_MAGMA_HIDEOUT_2F_1R,land_mons,LEDIAN
251,Caipora,grass/fighting,552,MAP_SAFARI_ZONE_NORTH,land_mons,DITTO
251,Caipora,grass/fighting,552,MAP_SKY_PILLAR_5F,land_mons,GEODUDE
252,Anhangá-Pitã,ghost/fire,448,MAP_MAGMA_HIDEOUT_2F_1R,land_mons,LEDIAN
252,Anhangá-Pitã,ghost/fire,448,MAP_MAGMA_HIDEOUT_2F_2R,land_mons,LEDIAN
253,Yara-Pindá,water/fairy,444,MAP_MT_PYRE_SUMMIT,land_mons,PORYGON2
253,Yara-Pindá,water/fairy,444,MAP_MT_PYRE_SUMMIT,land_mons,PORYGON2
254,Pisadeira,ghost/fighting,446,MAP_MAGMA_HIDEOUT_1F,land_mons,DUNSPARCE
254,Pisadeira,ghost/fighting,446,MAP_MAGMA_HIDEOUT_1F,land_mons,DUNSPARCE
255,Zumbi,ghost/fighting,606,MAP_SKY_PILLAR_3F,land_mons,AZURILL
255,Zumbi,ghost/fighting,606,MAP_SKY_PILLAR_3F,land_mons,AZURILL
257,Ossanha,grass/fairy,447,MAP_ROUTE119,land_mons,MIGHTYENA
257,Ossanha,grass/fairy,447,MAP_MT_PYRE_4F,land_mons,DELIBIRD
258,Oxalá,normal/fairy,607,MAP_SKY_PILLAR_5F,land_mons,AZURILL
258,Oxalá,normal/fairy,607,MAP_SKY_PILLAR_5F,land_mons,AZURILL
259,Saciamigo,dark/fairy,445,MAP_GRANITE_CAVE_B2F,land_mons,TAILLOW
259,Saciamigo,dark/fairy,445,MAP_CAVE_OF_ORIGIN_1F,land_mons,TAILLOW
260,Sacipererê,dark/fairy,605,MAP_NEW_MAUVILLE_ENTRANCE,land_mons,VOLTORB
260,Sacipererê,dark/fairy,605,MAP_SKY_PILLAR_5F,land_mons,GEODUDE
261,Curupira-Ancião,grass/fairy,449,MAP_MT_PYRE_4F,land_mons,DELIBIRD
261,Curupira-Ancião,grass/fairy,449,MAP_MT_PYRE_4F,land_mons,DELIBIRD
263,Pomba-Gira,dark/fairy,448,MAP_VICTORY_ROAD_B1F,land_mons,SUNKERN
263,Pomba-Gira,dark/fairy,448,MAP_VICTORY_ROAD_B2F,land_mons,SUNKERN
265,Preto-Velho,ghost/psychic,604,MAP_SAFARI_ZONE_NORTH,land_mons,ARBOK
265,Preto-Velho,ghost/psychic,604,MAP_ROUTE120,land_mons,KAKUNA
266,Caboclo-Guerreiro,grass/fighting,448,MAP_MAGMA_HIDEOUT_2F_2R,land_mons,LEDIAN
266,Caboclo-Guerreiro,grass/fighting,448,MAP_MAGMA_HIDEOUT_2F_2R,land_mons,LEDIAN
267,Marinheiro,water/dark,445,MAP_ROUTE102,fishing_mons,SPOINK
267,Marinheiro,water/dark,445,MAP_ROUTE110,fishing_mons,URSARING
268,Baiano,fire/fighting,447,MAP_MAGMA_HIDEOUT_2F_2R,land_mons,LEDIAN
268,Baiano,fire/fighting,447,MAP_MAGMA_HIDEOUT_3F_1R,land_mons,LEDIAN
269,Cangaceiro,dark/fighting,449,MAP_JAGGED_PASS,land_mons,LINOONE
269,Cangaceiro,dark/fighting,449,MAP_JAGGED_PASS,land_mons,LINOONE
270,Beata,fairy/psychic,445,MAP_ROUTE112,land_mons,NUMEL
270,Beata,fairy/psychic,445,MAP_ROUTE112,land_mons,NUMEL
271,Menino-Deus,fairy/normal,447,MAP_CAVE_OF_ORIGIN_1F,land_mons,TAILLOW
271,Menino-Deus,fairy/normal,447,MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP1,land_mons,TAILLOW
272,Rei-Momo,normal/fire,449,MAP_ROUTE113,land_mons,ARON
272,Rei-Momo,normal/fire,449,MAP_ROUTE113,land_mons,ARON
274,Reisado,fairy/normal,448,MAP_VICTORY_ROAD_B2F,land_mons,SUNKERN
274,Reisado,fairy/normal,448,MAP_VICTORY_ROAD_B2F,land_mons,SUNKERN
275,Frevinho,fighting/fire,444,MAP_MAGMA_HIDEOUT_2F_1R,land_mons,DUNSPARCE
275,Frevinho,fighting/fire,444,MAP_MAGMA_HIDEOUT_2F_1R,land_mons,DUNSPARCE
277,Congada,fighting/fire,448,MAP_MAGMA_HIDEOUT_3F_1R,land_mons,LEDIAN
277,Congada,fighting/fire,448,MAP_MAGMA_HIDEOUT_3F_1R,land_mons,LEDIAN
279,Onçuma,dark/ghost,605,MAP_FIERY_PATH,land_mons,SQUIRTLE
279,Onçuma,dark/ghost,605,MAP_FIERY_PATH,land_mons,SQUIRTLE
280,Sucuriaçu,water/dragon,607,MAP_SAFARI_ZONE_NORTHWEST,water_mons,CLAYDOL
280,Sucuriaçu,water/dragon,607,MAP_ABANDONED_SHIP_ROOMS_B1F,fishing_mons,SURSKIT
281,Pirarumbá,water/dragon,603,MAP_ABANDONED_SHIP_ROOMS_B1F,fishing_mons,SURSKIT
281,Pirarumbá,water/dragon,603,MAP_ABANDONED_SHIP_HIDDEN_FLOOR_CORRIDORS,fishing_mons,SURSKIT
282,Draguará-Alfa,fire/dragon,605,MAP_MAGMA_HIDEOUT_1F,land_mons,SQUIRTLE
282,Draguará-Alfa,fire/dragon,605,MAP_MAGMA_HIDEOUT_2F_1R,land_mons,SQUIRTLE
284,Petropico-Ancião,grass/rock,604,MAP_ROUTE119,land_mons,LUVDISC
284,Petropico-Ancião,grass/rock,604,MAP_ROUTE119,land_mons,LUVDISC
285,Boitatá-Puro,fire/dragon,606,MAP_MAGMA_HIDEOUT_2F_2R,land_mons,SQUIRTLE
285,Boitatá-Puro,fire/dragon,606,MAP_MAGMA_HIDEOUT_3F_1R,land_mons,SQUIRTLE
287,Curupira-Rei,grass/fairy,604,MAP_SAFARI_ZONE_SOUTHEAST,land_mons,RELICANTH
287,Curupira-Rei,grass/fairy,604,MAP_ALTERING_CAVE,land_mons,SALAMENCE
288,Saci-Rei,dark/fairy,606,MAP_VICTORY_ROAD_B1F,land_mons,CLAMPERL
288,Saci-Rei,dark/fairy,606,MAP_VICTORY_ROAD_B1F,land_mons,CLAMPERL
289,Anhangaú,ghost/grass,603,MAP_MAGMA_HIDEOUT_3F_2R,land_mons,SQUIRTLE
289,Anhangaú,ghost/grass,603,MAP_MAGMA_HIDEOUT_4F,land_mons,SQUIRTLE
290,Muirá-Kytã,grass/fairy,605,MAP_ALTERING_CAVE,land_mons,SALAMENCE
290,Muirá-Kytã,grass/fairy,605,MAP_ALTERING_CAVE,land_mons,SALAMENCE
291,Cobra-Norato,water/dragon,607,MAP_ABANDONED_SHIP_HIDDEN_FLOOR_CORRIDORS,fishing_mons,SURSKIT
291,Cobra-Norato,water/dragon,607,MAP_SOOTOPOLIS_CITY,fishing_mons,DODUO
292,Mapinguari,grass/fighting,603,MAP_MAGMA_HIDEOUT_3F_3R,land_mons,SQUIRTLE
292,Mapinguari,grass/fighting,603,MAP_MAGMA_HIDEOUT_2F_3R,land_mons,SQUIRTLE
293,Ipupiara,water/dark,605,MAP_SOOTOPOLIS_CITY,fishing_mons,DODUO
293,Ipupiara,water/dark,605,MAP_UNDERWATER_ROUTE126,water_mons,PARASECT
294,Uirapuru,flying/fairy,607,MAP_VICTORY_ROAD_1F,land_mons,CLAMPERL
294,Uirapuru,flying/fairy,607,MAP_ALTERING_CAVE,land_mons,SALAMENCE
295,Muiraquitã,rock/fairy,604,MAP_SAFARI_ZONE_NORTHEAST,rock_smash_mons,SALAMENCE
295,Muiraquitã,rock/fairy,604,MAP_SAFARI_ZONE_NORTHEAST,rock_smash_mons,SALAMENCE
296,Amazona,fighting/fairy,606,MAP_ALTERING_CAVE,land_mons,SALAMENCE
296,Amazona,fighting/fairy,606,MAP_ALTERING_CAVE,land_mons,SALAMENCE
297,Corcovado-Ancião,rock/dragon,602,MAP_SAFARI_ZONE_NORTHEAST,rock_smash_mons,SALAMENCE
297,Corcovado-Ancião,rock/dragon,602,MAP_SAFARI_ZONE_NORTHEAST,rock_smash_mons,SALAMENCE
302,Baratão,bug/flying,449,MAP_SHOAL_CAVE_LOW_TIDE_ICE_ROOM,land_mons,FEEBAS
302,Baratão,bug/flying,449,MAP_SHOAL_CAVE_LOW_TIDE_ICE_ROOM,land_mons,MAWILE
306,Perereca,water/poison,446,MAP_NEW_MAUVILLE_ENTRANCE,land_mons,WAILMER
306,Perereca,water/poison,446,MAP_NEW_MAUVILLE_ENTRANCE,land_mons,WAILMER
307,Lagartixa,normal/psychic,448,MAP_ROUTE113,land_mons,ARON
307,Lagartixa,normal/psychic,448,MAP_ROUTE113,land_mons,ARON
308,Traça-Papel,bug/psychic,444,MAP_ROUTE112,land_mons,NUMEL
308,Traça-Papel,bug/psychic,444,MAP_ROUTE112,land_mons,NUMEL
309,Poeirão,ground/dark,446,MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP1,land_mons,TAILLOW
309,Poeirão,ground/dark,446,MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP2,land_mons,TAILLOW
312,Óleoso,poison/water,447,MAP_NEW_MAUVILLE_ENTRANCE,land_mons,WAILMER
312,Óleoso,poison/water,447,MAP_NEW_MAUVILLE_ENTRANCE,land_mons,WAILMER
313,Lixão,poison/ground,287,MAP_GRANITE_CAVE_B1F,land_mons,LICKITUNG
313,Lixão,poison/ground,287,MAP_GRANITE_CAVE_B1F,land_mons,SNEASEL
315,Bituca,fire/poison,447,MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP2,land_mons,TAILLOW
315,Bituca,fire/poison,447,MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP3,land_mons,TAILLOW
326,Sinal,electric/psychic,447,MAP_NEW_MAUVILLE_ENTRANCE,land_mons,WAILMER
326,Sinal,electric/psychic,447,MAP_VICTORY_ROAD_B2F,land_mons,TAILLOW
327,Poste,steel/electric,449,MAP_VICTORY_ROAD_B2F,land_mons,FEEBAS
327,Poste,steel/electric,449,MAP_VICTORY_ROAD_B2F,land_mons,FEEBAS
328,Grafiteiro,dark/fairy,446,MAP_CAVE_OF_ORIGIN_UNUSED_RUBY_SAPPHIRE_MAP3,land_mons,TAILLOW
328,Grafiteiro,dark/fairy,446,MAP_VICTORY_ROAD_B2F,land_mons,TAILLOW
