id,name,engine_species,types,ability1,ability2,hidden_ability,egg_group1,egg_group2,gender_ratio,egg_cycles,growth_rate,catch_rate,exp_yield,egg_move_learnset,source_abilities
023,Onçaléu,SPECIES_KAKUNA,dark,ABILITY_INTIMIDATE,ABILITY_PRANKSTER,ABILITY_SHEER_FORCE,EGG_GROUP_FIELD,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,90,175,sArauna023EggMoveLearnset,Intimidação / Rasgo Rápido
024,Tamanduá,SPECIES_BEEDRILL,ground/steel,ABILITY_SAND_VEIL,ABILITY_BATTLE_ARMOR,ABILITY_SHEER_FORCE,EGG_GROUP_FIELD,EGG_GROUP_MINERAL,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,157,sArauna024EggMoveLearnset,Escavador / Garra Dura
025,Botim,SPECIES_PIDGEY,water,ABILITY_TORRENT,ABILITY_SWIFT_SWIM,ABILITY_QUICK_FEET,EGG_GROUP_WATER_1,EGG_GROUP_WATER_1,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,94,sArauna025EggMoveLearnset,Torrente / Corpo Molhado
026,Botão,SPECIES_PIDGEOTTO,water/psychic,ABILITY_TORRENT,ABILITY_TELEPATHY,ABILITY_SHEER_FORCE,EGG_GROUP_WATER_1,EGG_GROUP_AMORPHOUS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,90,135,sArauna026EggMoveLearnset,Torrente / Corpo Molhado
027,Botogaláu,SPECIES_PIDGEOT,water/psychic,ABILITY_TORRENT,ABILITY_TELEPATHY,ABILITY_SHEER_FORCE,EGG_GROUP_WATER_1,EGG_GROUP_AMORPHOUS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,45,185,sArauna027EggMoveLearnset,Torrente / Corpo Molhado
028,Tatuim,SPECIES_RATTATA,ground,ABILITY_SAND_VEIL,ABILITY_ARENA_TRAP,ABILITY_QUICK_FEET,EGG_GROUP_FIELD,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,94,sArauna028EggMoveLearnset,Escavador / Nuvem de Areia
029,Tatubola,SPECIES_RATICATE,ground/steel,ABILITY_SAND_VEIL,ABILITY_BATTLE_ARMOR,ABILITY_QUICK_FEET,EGG_GROUP_FIELD,EGG_GROUP_MINERAL,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,90,135,sArauna029EggMoveLearnset,Escavador / Nuvem de Areia
030,Tatuçu,SPECIES_SPEAROW,ground/steel,ABILITY_SAND_VEIL,ABILITY_BATTLE_ARMOR,ABILITY_SHEER_FORCE,EGG_GROUP_FIELD,EGG_GROUP_MINERAL,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,45,185,sArauna030EggMoveLearnset,Escavador / Nuvem de Areia
031,Ararinha,SPECIES_FEAROW,flying,ABILITY_KEEN_EYE,ABILITY_BIG_PECKS,ABILITY_QUICK_FEET,EGG_GROUP_FLYING,EGG_GROUP_FLYING,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,95,sArauna031EggMoveLearnset,Vista Aguçada / Vento Veloz
032,Arará,SPECIES_EKANS,flying/fire,ABILITY_KEEN_EYE,ABILITY_FLASH_FIRE,ABILITY_QUICK_FEET,EGG_GROUP_FLYING,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,90,135,sArauna032EggMoveLearnset,Vista Aguçada / Vento Veloz
033,Araracanga,SPECIES_ARBOK,flying/fire,ABILITY_KEEN_EYE,ABILITY_FLASH_FIRE,ABILITY_SHEER_FORCE,EGG_GROUP_FLYING,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,45,183,sArauna033EggMoveLearnset,Vista Aguçada / Vento Veloz
034,Jacarim,SPECIES_PIKACHU,water,ABILITY_TORRENT,ABILITY_SWIFT_SWIM,ABILITY_QUICK_FEET,EGG_GROUP_WATER_1,EGG_GROUP_WATER_1,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,95,sArauna034EggMoveLearnset,Torrente / Corpo Molhado
035,Jacarão,SPECIES_RAICHU,water/dark,ABILITY_TORRENT,ABILITY_PRANKSTER,ABILITY_QUICK_FEET,EGG_GROUP_WATER_1,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,90,135,sArauna035EggMoveLearnset,Torrente / Corpo Molhado
036,Jacarodon,SPECIES_SANDSHREW,water/dragon,ABILITY_TORRENT,ABILITY_SHED_SKIN,ABILITY_SHEER_FORCE,EGG_GROUP_WATER_1,EGG_GROUP_DRAGON,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,45,184,sArauna036EggMoveLearnset,Torrente / Corpo Molhado
037,Preguicim,SPECIES_SANDSLASH,grass,ABILITY_OVERGROW,ABILITY_CHLOROPHYLL,ABILITY_QUICK_FEET,EGG_GROUP_GRASS,EGG_GROUP_GRASS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,95,sArauna037EggMoveLearnset,Espessura / Colheita
038,Preguicão,SPECIES_NIDORAN_F,grass/psychic,ABILITY_OVERGROW,ABILITY_TELEPATHY,ABILITY_QUICK_FEET,EGG_GROUP_GRASS,EGG_GROUP_AMORPHOUS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,90,135,sArauna038EggMoveLearnset,Espessura / Colheita
039,Bicho-Preguiça,SPECIES_NIDORINA,grass/psychic,ABILITY_OVERGROW,ABILITY_TELEPATHY,ABILITY_SHEER_FORCE,EGG_GROUP_GRASS,EGG_GROUP_AMORPHOUS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,45,184,sArauna039EggMoveLearnset,Espessura / Colheita
040,Papaguim,SPECIES_NIDOQUEEN,flying,ABILITY_KEEN_EYE,ABILITY_BIG_PECKS,ABILITY_QUICK_FEET,EGG_GROUP_FLYING,EGG_GROUP_FLYING,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,95,sArauna040EggMoveLearnset,Vista Aguçada / Vento Veloz
041,Papagaio,SPECIES_NIDORAN_M,flying/psychic,ABILITY_KEEN_EYE,ABILITY_TELEPATHY,ABILITY_QUICK_FEET,EGG_GROUP_FLYING,EGG_GROUP_AMORPHOUS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,90,135,sArauna041EggMoveLearnset,Vista Aguçada / Vento Veloz
042,Papagaião,SPECIES_NIDORINO,flying/psychic,ABILITY_KEEN_EYE,ABILITY_TELEPATHY,ABILITY_SHEER_FORCE,EGG_GROUP_FLYING,EGG_GROUP_AMORPHOUS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,45,184,sArauna042EggMoveLearnset,Vista Aguçada / Vento Veloz
043,Antinha,SPECIES_NIDOKING,normal,ABILITY_RUN_AWAY,ABILITY_PICKUP,ABILITY_QUICK_FEET,EGG_GROUP_FIELD,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,95,sArauna043EggMoveLearnset,Faro / Placidez
044,Anta,SPECIES_CLEFAIRY,normal/water,ABILITY_RUN_AWAY,ABILITY_SWIFT_SWIM,ABILITY_SHEER_FORCE,EGG_GROUP_FIELD,EGG_GROUP_WATER_1,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,45,183,sArauna044EggMoveLearnset,Faro / Placidez
045,Antaraú,SPECIES_CLEFABLE,normal/water,ABILITY_RUN_AWAY,ABILITY_SWIFT_SWIM,ABILITY_SHEER_FORCE,EGG_GROUP_FIELD,EGG_GROUP_WATER_1,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,149,sArauna045EggMoveLearnset,Faro / Placidez
046,Sucurim,SPECIES_VULPIX,water/poison,ABILITY_TORRENT,ABILITY_LIQUID_OOZE,ABILITY_QUICK_FEET,EGG_GROUP_WATER_1,EGG_GROUP_AMORPHOUS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,95,sArauna046EggMoveLearnset,Torrente / Corpo Molhado
047,Sucuri,SPECIES_NINETALES,water/poison,ABILITY_TORRENT,ABILITY_LIQUID_OOZE,ABILITY_SHEER_FORCE,EGG_GROUP_WATER_1,EGG_GROUP_AMORPHOUS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,90,160,sArauna047EggMoveLearnset,Muda / Faro
048,Boiuna,SPECIES_JIGGLYPUFF,water/dragon,ABILITY_TORRENT,ABILITY_SHED_SKIN,ABILITY_SHEER_FORCE,EGG_GROUP_WATER_1,EGG_GROUP_DRAGON,PERCENT_FEMALE(50),40,GROWTH_SLOW,45,200,sArauna048EggMoveLearnset,Muda / Intimidação
049,Borbolim,SPECIES_WIGGLYTUFF,bug,ABILITY_SWARM,ABILITY_COMPOUND_EYES,ABILITY_QUICK_FEET,EGG_GROUP_BUG,EGG_GROUP_BUG,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,96,sArauna049EggMoveLearnset,Enxame / Olho Composto
050,Casulete,SPECIES_ZUBAT,bug,ABILITY_SWARM,ABILITY_COMPOUND_EYES,ABILITY_QUICK_FEET,EGG_GROUP_BUG,EGG_GROUP_BUG,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,90,94,sArauna050EggMoveLearnset,Enxame / Olho Composto
051,Morphália,SPECIES_GOLBAT,bug/fairy,ABILITY_SWARM,ABILITY_MAGIC_GUARD,ABILITY_SHEER_FORCE,EGG_GROUP_BUG,EGG_GROUP_FAIRY,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,45,184,sArauna051EggMoveLearnset,Enxame / Olho Composto
052,Guaracim,SPECIES_ODDISH,fire,ABILITY_BLAZE,ABILITY_FLASH_FIRE,ABILITY_QUICK_FEET,EGG_GROUP_FIELD,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,96,sArauna052EggMoveLearnset,Chama / Corpo Flamejante
053,Guará,SPECIES_GLOOM,fire/normal,ABILITY_BLAZE,ABILITY_PICKUP,ABILITY_SHEER_FORCE,EGG_GROUP_FIELD,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,45,184,sArauna053EggMoveLearnset,Chama / Corpo Flamejante
054,Guaraflama,SPECIES_VILEPLUME,fire/ghost,ABILITY_BLAZE,ABILITY_CURSED_BODY,ABILITY_QUICK_FEET,EGG_GROUP_FIELD,EGG_GROUP_AMORPHOUS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,149,sArauna054EggMoveLearnset,Chama / Corpo Flamejante
055,Peixim,SPECIES_PARAS,water,ABILITY_TORRENT,ABILITY_SWIFT_SWIM,ABILITY_SHEER_FORCE,EGG_GROUP_WATER_2,EGG_GROUP_WATER_2,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,94,sArauna055EggMoveLearnset,Torrente / Corpo Molhado
056,Peixeboi,SPECIES_PARASECT,water,ABILITY_TORRENT,ABILITY_SWIFT_SWIM,ABILITY_SHEER_FORCE,EGG_GROUP_WATER_2,EGG_GROUP_WATER_2,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,45,184,sArauna056EggMoveLearnset,Torrente / Corpo Molhado
057,Mãe-d'Água,SPECIES_VENONAT,water/fairy,ABILITY_TORRENT,ABILITY_MAGIC_GUARD,ABILITY_QUICK_FEET,EGG_GROUP_WATER_2,EGG_GROUP_FAIRY,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,149,sArauna057EggMoveLearnset,Torrente / Corpo Molhado
058,Mandim,SPECIES_VENOMOTH,water,ABILITY_TORRENT,ABILITY_SWIFT_SWIM,ABILITY_QUICK_FEET,EGG_GROUP_WATER_1,EGG_GROUP_WATER_1,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,94,sArauna058EggMoveLearnset,Torrente / Corpo Molhado
059,Mandí,SPECIES_DIGLETT,water/poison,ABILITY_TORRENT,ABILITY_LIQUID_OOZE,ABILITY_SHEER_FORCE,EGG_GROUP_WATER_1,EGG_GROUP_AMORPHOUS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,90,135,sArauna059EggMoveLearnset,Torrente / Corpo Molhado
060,Mandubé,SPECIES_DUGTRIO,water/dark,ABILITY_TORRENT,ABILITY_PRANKSTER,ABILITY_SHEER_FORCE,EGG_GROUP_WATER_1,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,45,185,sArauna060EggMoveLearnset,Torrente / Corpo Molhado
061,Preguim,SPECIES_MEOWTH,normal,ABILITY_RUN_AWAY,ABILITY_PICKUP,ABILITY_QUICK_FEET,EGG_GROUP_FIELD,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,94,sArauna061EggMoveLearnset,Faro / Placidez
062,Prego,SPECIES_PERSIAN,fighting/normal,ABILITY_GUTS,ABILITY_PICKUP,ABILITY_QUICK_FEET,EGG_GROUP_HUMAN_LIKE,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,90,135,sArauna062EggMoveLearnset,Determinação / Coragem
063,Pregarcanjo,SPECIES_PSYDUCK,fighting/psychic,ABILITY_GUTS,ABILITY_TELEPATHY,ABILITY_SHEER_FORCE,EGG_GROUP_HUMAN_LIKE,EGG_GROUP_AMORPHOUS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,45,185,sArauna063EggMoveLearnset,Determinação / Coragem
064,Aranin,SPECIES_GOLDUCK,bug,ABILITY_SWARM,ABILITY_COMPOUND_EYES,ABILITY_QUICK_FEET,EGG_GROUP_BUG,EGG_GROUP_BUG,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,95,sArauna064EggMoveLearnset,Enxame / Olho Composto
065,Caraninha,SPECIES_MANKEY,bug/poison,ABILITY_SWARM,ABILITY_LIQUID_OOZE,ABILITY_QUICK_FEET,EGG_GROUP_BUG,EGG_GROUP_AMORPHOUS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,90,135,sArauna065EggMoveLearnset,Enxame / Olho Composto
066,Caranga,SPECIES_PRIMEAPE,bug/poison,ABILITY_SWARM,ABILITY_LIQUID_OOZE,ABILITY_SHEER_FORCE,EGG_GROUP_BUG,EGG_GROUP_AMORPHOUS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,45,183,sArauna066EggMoveLearnset,Enxame / Olho Composto
067,Gatim,SPECIES_GROWLITHE,normal,ABILITY_RUN_AWAY,ABILITY_PICKUP,ABILITY_QUICK_FEET,EGG_GROUP_FIELD,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,95,sArauna067EggMoveLearnset,Faro / Placidez
068,Gato-do-mato,SPECIES_ARCANINE,normal/dark,ABILITY_RUN_AWAY,ABILITY_PRANKSTER,ABILITY_SHEER_FORCE,EGG_GROUP_FIELD,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,45,185,sArauna068EggMoveLearnset,Faro / Placidez
069,Jaguatirica,SPECIES_POLIWAG,dark/normal,ABILITY_INTIMIDATE,ABILITY_PICKUP,ABILITY_SHEER_FORCE,EGG_GROUP_FIELD,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,148,sArauna069EggMoveLearnset,Intimidação / Cara de Mau
070,Cutim,SPECIES_POLIWHIRL,normal,ABILITY_RUN_AWAY,ABILITY_PICKUP,ABILITY_QUICK_FEET,EGG_GROUP_FIELD,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,95,sArauna070EggMoveLearnset,Faro / Placidez
071,Cutia,SPECIES_POLIWRATH,normal,ABILITY_RUN_AWAY,ABILITY_PICKUP,ABILITY_SHEER_FORCE,EGG_GROUP_FIELD,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,45,185,sArauna071EggMoveLearnset,Faro / Placidez
072,Paca,SPECIES_ABRA,normal/dark,ABILITY_RUN_AWAY,ABILITY_PRANKSTER,ABILITY_SHEER_FORCE,EGG_GROUP_FIELD,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,148,sArauna072EggMoveLearnset,Faro / Placidez
073,Formigão,SPECIES_KADABRA,bug/fighting,ABILITY_SWARM,ABILITY_INNER_FOCUS,ABILITY_QUICK_FEET,EGG_GROUP_BUG,EGG_GROUP_HUMAN_LIKE,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,149,sArauna073EggMoveLearnset,Enxame / Olho Composto
074,Marimbondo,SPECIES_ALAKAZAM,bug/poison,ABILITY_SWARM,ABILITY_LIQUID_OOZE,ABILITY_QUICK_FEET,EGG_GROUP_BUG,EGG_GROUP_AMORPHOUS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,150,sArauna074EggMoveLearnset,Enxame / Olho Composto
075,Abelhinha,SPECIES_MACHOP,bug/flying,ABILITY_SWARM,ABILITY_BIG_PECKS,ABILITY_SHEER_FORCE,EGG_GROUP_BUG,EGG_GROUP_FLYING,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,149,sArauna075EggMoveLearnset,Enxame / Olho Composto
076,Quatim,SPECIES_MACHOKE,normal,ABILITY_RUN_AWAY,ABILITY_PICKUP,ABILITY_QUICK_FEET,EGG_GROUP_FIELD,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,95,sArauna076EggMoveLearnset,Faro / Placidez
077,Quati,SPECIES_MACHAMP,normal/dark,ABILITY_RUN_AWAY,ABILITY_PRANKSTER,ABILITY_SHEER_FORCE,EGG_GROUP_FIELD,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,45,183,sArauna077EggMoveLearnset,Faro / Placidez
078,Coati,SPECIES_BELLSPROUT,dark/ground,ABILITY_INTIMIDATE,ABILITY_ARENA_TRAP,ABILITY_SHEER_FORCE,EGG_GROUP_FIELD,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,149,sArauna078EggMoveLearnset,Intimidação / Cara de Mau
079,Gambá,SPECIES_WEEPINBELL,poison/normal,ABILITY_POISON_POINT,ABILITY_PICKUP,ABILITY_QUICK_FEET,EGG_GROUP_AMORPHOUS,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,95,sArauna079EggMoveLearnset,Ponto Cego / Corpo Fedido
080,Cangambá,SPECIES_VICTREEBEL,poison/dark,ABILITY_POISON_POINT,ABILITY_PRANKSTER,ABILITY_SHEER_FORCE,EGG_GROUP_AMORPHOUS,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,45,184,sArauna080EggMoveLearnset,Ponto Cego / Corpo Fedido
081,Sarué,SPECIES_TENTACOOL,poison/ghost,ABILITY_POISON_POINT,ABILITY_CURSED_BODY,ABILITY_SHEER_FORCE,EGG_GROUP_AMORPHOUS,EGG_GROUP_AMORPHOUS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,149,sArauna081EggMoveLearnset,Ponto Cego / Corpo Fedido
082,Tuquinho,SPECIES_TENTACRUEL,flying,ABILITY_KEEN_EYE,ABILITY_BIG_PECKS,ABILITY_QUICK_FEET,EGG_GROUP_FLYING,EGG_GROUP_FLYING,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,96,sArauna082EggMoveLearnset,Vista Aguçada / Vento Veloz
083,Aracari,SPECIES_GEODUDE,flying/grass,ABILITY_KEEN_EYE,ABILITY_CHLOROPHYLL,ABILITY_SHEER_FORCE,EGG_GROUP_FLYING,EGG_GROUP_GRASS,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,45,184,sArauna083EggMoveLearnset,Vista Aguçada / Vento Veloz
084,Curicaca,SPECIES_GRAVELER,flying/normal,ABILITY_KEEN_EYE,ABILITY_PICKUP,ABILITY_QUICK_FEET,EGG_GROUP_FLYING,EGG_GROUP_FIELD,PERCENT_FEMALE(50),20,GROWTH_MEDIUM_FAST,180,149,sArauna084EggMoveLearnset,Vista Aguçada / Vento Veloz
