arauna_dex,name,type,weight_hg,donor,key
336,Perybé,water,560,LUDICOLO,62
319,Netzero,flying,305,DUSCLOPS,60
335,Rudarauna,fairy,545,MR_MIME,61
298,Cristo,fairy,890,FERALIGATR,59
333,Kuarahy,fire,515,BLAZIKEN,61
334,Yasy,fairy,530,ZAPDOS,61
276,Maracatu,dark,560,ABSOL,59
277,Congada,fighting,575,HITMONCHAN,59
327,Poste,steel,425,SKARMORY,61
001,Caramelo,fire,82,CHARMANDER,60
002,Caramelão,fire,284,PONYTA,60
003,Draguará,fire,1420,ARCANINE,61
007,Pimpau,grass,28,JUMPLUFF,60
008,Bicopau,grass,140,IVYSAUR,59
009,Petropico,grass,880,TROPIUS,60
004,Querô,water,31,LOTAD,59
005,Queribela,water,120,CHINCHOU,60
006,Terolibra,water,480,TENTACOOL,59
279,Onçuma,dark,605,ABSOL,67
278,Folião,normal,590,SMEARGLE,62
354,Preazinho,normal,30,CLEFFA,60
353,Ararunão,grass,150,VICTREEBEL,61
270,Beata,fairy,470,ABSOL,60
271,Menino-Deus,fairy,485,GARDEVOIR,59
272,Rei-Momo,normal,500,GRANBULL,60
273,Bumba-Meu-Boi,normal,515,GRANBULL,61
274,Reisado,fairy,530,ZAPDOS,59
275,Frevinho,fighting,545,HITMONCHAN,62
318,Garrafão,water,290,VAPOREON,60
265,Preto-Velho,ghost,395,GENGAR,60
266,Caboclo-Guerreiro,grass,410,BRELOOM,60
267,Marinheiro,water,425,TENTACOOL,62
268,Baiano,fire,440,MAGMAR,61
269,Cangaceiro,dark,455,ABSOL,69
280,Sucuriaçu,water,620,KINGLER,65
281,Pirarumbá,water,635,KINGLER,55
282,Draguará-Alfa,fire,650,MOLTRES,61
287,Curupira-Rei,grass,725,CACTURNE,62
288,Saci-Rei,dark,740,ABSOL,61
289,Anhangaú,ghost,755,GENGAR,58
290,Muirá-Kytã,grass,770,CACTURNE,63
291,Cobra-Norato,water,785,SLOWBRO,59
292,Mapinguari,grass,800,CACTURNE,57
296,Amazona,fighting,860,MAKUHITA,60
297,Corcovado-Ancião,rock,875,NOSEPASS,61
299,Ratão,dark,905,ABSOL,57
362,Beija-Luz,fairy,10,CHIMECHO,60
311,Fumacento,poison,185,NIDORINO,60
312,Óleoso,poison,200,NIDORINA,60
283,Terolibra-Rainha,water,665,KINGLER,60
284,Petropico-Ancião,grass,680,CACTURNE,61
300,Pombim,flying,20,AZURILL,60
301,Pombão,flying,35,RATTATA,61
316,Latinha,steel,260,SKARMORY,64
317,Sacolim,poison,275,GRIMER,61
322,Bugão,bug,350,LEDIAN,60
323,Aluminio,steel,365,SKARMORY,60
339,Chuvão,water,605,KINGLER,66
340,Solzão,fire,620,MOLTRES,62
341,Ventania,flying,635,GLIGAR,59
342,Terraão,ground,650,GLIGAR,62
325,Bueiro,water,395,SEAKING,58
326,Sinal,electric,410,MANECTRIC,60
328,Grafiteiro,dark,440,ABSOL,70
329,Guaraciana,fire,455,MAGMAR,59
330,Jaciana,fairy,470,ABSOL,71
331,Tupanaú,electric,485,ZAPDOS,62
332,Iaraú,water,500,CLAMPERL,61
343,Fogaréu,fire,665,MOLTRES,59
344,Marulho,water,680,QUAGSIRE,72
337,Arauanaú,fairy,575,SMEARGLE,58
338,Verdejante,grass,590,SHIFTRY,62
349,Aracuã,flying,755,MILTANK,61
350,Bugio,normal,770,MILTANK,59
359,Preguicinha,grass,35,BELLSPROUT,62
307,Lagartixa,normal,125,WIGGLYTUFF,59
308,Traça-Papel,bug,140,VENOMOTH,59
363,Beija-Sol,fairy,25,EXEGGCUTE,60
364,Sarará,fairy,120,CHINCHOU,61
365,Cambota,fighting,250,MANKEY,61
366,Berimbau,fairy,180,ILLUMISE,61
367,Atabaque,fighting,450,HITMONTOP,60
368,Pandeirim,fairy,50,CELEBI,60
345,Alvorecer,fairy,695,MACHOKE,61
346,Poente,dark,710,ABSOL,64
347,Estrelinha,fairy,725,LARVITAR,61
348,Arauanamon,dragon,740,LATIOS,59
374,Escamoso,water,320,LOMBRE,60
375,Piranhita,water,30,LOTAD,60
376,Boitatã,fire,2200,CAMERUPT,60
371,Zabumba,ground,500,MAROWAK,59
372,Cordelim,psychic,40,MEW,60
377,Piraruaçu,water,3400,KYOGRE,60
378,Mata-Mata,grass,1900,EXEGGUTOR,57
379,Solaris,fire,1800,ENTEI,61
351,Tuim,grass,15,SUNKERN,61
313,Lixão,poison,215,NIDORINA,61
314,Chorume,poison,230,NIDORINA,59
261,Curupira-Ancião,grass,335,TANGELA,60
262,Caipora-Fêmea,grass,350,TANGELA,61
356,Tamanduí,bug,40,MASQUERAIN,59
302,Baratão,bug,50,PARAS,60
303,Mosquim,bug,65,PINECO,61
304,Cão-Bravo,dark,80,HOUNDOUR,62
305,Gato-Preto,dark,95,HOUNDOUR,61
306,Perereca,water,110,CORPHISH,60
369,Sanfoninha,normal,120,WIGGLYTUFF,62
370,Violeiro,grass,200,VILEPLUME,62
383,Oxumará,dragon,1750,RAYQUAZA,61
382,Iemanjã,water,1600,MILOTIC,60
384,Curupixel,grass,30,JUMPLUFF,61
373,Rendeira,fairy,80,HORSEA,61
286,Iara-Mãe,water,710,QUAGSIRE,65
285,Boitatá-Puro,fire,695,TYPHLOSION,61
264,Exu,dark,380,MIGHTYENA,60
357,Tamanduá,bug,350,LEDIAN,61
320,Pilhoso,electric,320,ELECTABUZZ,60
263,Pomba-Gira,dark,365,MIGHTYENA,61
295,Muiraquitã,rock,845,NOSEPASS,62
294,Uirapuru,flying,830,EXPLOUD,58
321,Cabofio,electric,335,ELECTABUZZ,59
293,Ipupiara,water,815,SWAMPERT,59
361,Beija-Flor,fairy,3,HOPPIP,63
381,Zumbi-Rei,fighting,1500,MACHAMP,59
385,Sacinho,dark,25,MURKROW,59
386,Arauá,dragon,880,SALAMENCE,61
358,Tamanduão,bug,900,SCIZOR,62
010,Formilim,bug,24,CATERPIE,62
011,Saúvarco,bug,420,YANMA,61
012,Capivim,water,220,LANTURN,61
013,Tucanhão,flying,180,ILLUMISE,59
014,Sagüim,normal,15,TOGEPI,61
015,Micuiras,normal,120,WIGGLYTUFF,58
016,Boitatá,fire,5,TORCHIC,70
017,Curupim,grass,80,SUNFLORA,59
018,Curupira,grass,220,GROVYLE,58
019,Iaraço,water,450,TENTACOOL,58
020,Sacizinho,dark,50,HOUNDOUR,65
021,Cactula,grass,60,BELLOSSOM,61
022,Muriçoco,bug,4,SHEDINJA,67
023,Onçaléu,dark,780,ABSOL,62
024,Tamanduá,ground,550,GLIGAR,65
025,Botim,water,395,SEAKING,63
026,Botão,water,410,SEAKING,57
027,Botogaláu,water,425,TENTACOOL,63
028,Tatuim,ground,440,MAROWAK,57
029,Tatubola,ground,455,MAROWAK,64
030,Tatuçu,ground,470,MAROWAK,56
031,Ararinha,flying,485,GARDEVOIR,62
032,Arará,flying,500,HITMONCHAN,58
033,Araracanga,flying,515,CACNEA,59
034,Jacarim,water,530,CLAMPERL,59
035,Jacarão,water,545,LUDICOLO,58
036,Jacarodon,water,560,LUDICOLO,63
037,Preguicim,grass,575,SHIFTRY,58
038,Preguicão,grass,590,SHIFTRY,63
039,Bicho-Preguiça,grass,605,SHIFTRY,57
040,Papaguim,flying,620,NIDOKING,59
041,Papagaio,flying,635,GLIGAR,58
042,Papagaião,flying,650,ARBOK,59
043,Antinha,normal,665,LICKITUNG,57
044,Anta,normal,680,LICKITUNG,64
045,Antaraú,normal,695,STANTLER,59
046,Sucurim,water,710,QUAGSIRE,55
047,Sucuri,water,960,SEEL,59
048,Boiuna,water,3800,WAILORD,61
049,Borbolim,bug,755,SCYTHER,60
050,Casulete,bug,770,SCYTHER,56
051,Morphália,bug,785,SCYTHER,61
052,Guaracim,fire,800,TORKOAL,62
053,Guará,fire,815,TORKOAL,58
054,Guaraflama,fire,830,TORKOAL,63
055,Peixim,water,845,BLASTOISE,59
056,Peixeboi,water,860,BLASTOISE,62
057,Mãe-d'Água,water,875,FERALIGATR,62
058,Mandim,water,890,FERALIGATR,58
059,Mandí,water,905,SEEL,62
060,Mandubé,water,20,BARBOACH,61
061,Preguim,normal,35,RATTATA,59
062,Prego,fighting,50,MEDITITE,66
063,Pregarcanjo,fighting,65,MEDITITE,64
064,Aranin,bug,80,SPINARAK,61
065,Caraninha,bug,95,METAPOD,61
066,Caranga,bug,110,LEDYBA,61
067,Gatim,normal,125,WIGGLYTUFF,63
068,Gato-do-mato,normal,140,DUNSPARCE,61
069,Jaguatirica,dark,155,POOCHYENA,58
070,Cutim,normal,170,ZIGZAGOON,61
071,Cutia,normal,185,RATICATE,61
072,Paca,normal,200,SWELLOW,61
073,Formigão,bug,215,SHUCKLE,61
074,Marimbondo,bug,230,SHUCKLE,60
075,Abelhinha,bug,245,BEAUTIFLY,63
076,Quatim,normal,260,SLAKOTH,61
077,Quati,normal,275,PIDGEOTTO,62
078,Coati,dark,290,SNEASEL,59
079,Gambá,poison,305,GRIMER,64
080,Cangambá,poison,320,GRIMER,56
081,Sarué,poison,335,GRIMER,61
082,Tuquinho,flying,350,HOUNDOOM,61
083,Aracari,flying,365,PORYGON,61
084,Curicaca,flying,380,FEAROW,61
085,Sapim,water,395,SEAKING,64
086,Sapão,water,410,SEAKING,56
087,Cururu,poison,425,SEVIPER,62
088,Teiuzim,normal,440,VIGOROTH,59
089,Teiú,normal,455,VIGOROTH,62
090,Camaleão,normal,470,BLISSEY,61
091,Morcim,flying,485,GARDEVOIR,58
092,Morcego,flying,500,HITMONCHAN,63
093,Vampiro,flying,515,CACNEA,62
094,Piuiuim,flying,530,ZAPDOS,58
095,Tuiuiú,flying,545,MR_MIME,59
096,Colhereiro,flying,560,SCYTHER,63
097,Mulinha,normal,575,SMEARGLE,63
098,Mula,normal,590,SMEARGLE,57
099,Mula-sem-Cabeça,fire,605,MOLTRES,58
100,Corcovado,rock,620,CRADILY,59
101,Cerválo,normal,635,LICKITUNG,56
102,Catingueiro,normal,650,LICKITUNG,65
103,Suçuapara,normal,665,LICKITUNG,55
104,Cabocim,water,680,QUAGSIRE,50
105,Caboclo,water,695,QUAGSIRE,66
106,Cangaço,dark,710,ABSOL,65
107,Xangô,electric,725,ELECTRODE,59
108,Iemanjá,water,740,QUAGSIRE,54
109,Oxum,water,755,QUAGSIRE,67
110,Ogum,steel,770,BELDUM,62
111,Cavalim,normal,785,KANGASKHAN,58
112,Cavalgado,normal,800,KANGASKHAN,63
113,Zebuim,normal,815,KANGASKHAN,57
114,Zebu,normal,830,EXPLOUD,63
115,Ovelhinha,normal,845,EXPLOUD,57
116,Cabrita,normal,860,DODRIO,61
117,Chocalhão,poison,875,SWALOT,61
118,Cascavelim,poison,890,SWALOT,57
119,Cascavão,poison,905,SWALOT,62
120,Jararaca,poison,20,KOFFING,57
121,Pirarim,water,35,QWILFISH,62
122,Pirarucu,water,50,CORSOLA,61
123,Piranha,water,65,KRABBY,61
124,Tambaqui,water,80,HORSEA,59
125,Aruanã,water,95,TOTODILE,59
126,Poraquê,electric,110,VOLTORB,61
127,Curimbatá,water,125,POLIWAG,61
128,Traíra,water,140,GOLDEEN,58
129,Dourado,water,155,GOLDEEN,63
130,Tucunaré,water,170,GOLDEEN,60
131,Pacu,water,185,PSYDUCK,61
132,Matrinxã,water,200,POLIWHIRL,61
133,Piau,water,215,CARVANHA,59
134,Cascudo,water,230,RELICANTH,61
135,Acará,water,245,CROCONAW,61
136,Vagalumim,bug,260,BEAUTIFLY,59
137,Vagalume,bug,275,BEAUTIFLY,61
138,Cigarrinho,bug,290,BEEDRILL,61
139,Cigarrão,bug,305,VENONAT,61
140,Louvadinha,bug,320,BUTTERFREE,61
141,Louvadeus,bug,335,ARIADOS,61
142,Escorpim,poison,350,GRIMER,57
143,Escorpião,poison,365,GRIMER,62
144,Caramulão,bug,380,YANMA,56
145,Piolhão,bug,395,YANMA,65
146,Barata,bug,410,YANMA,55
147,Grilim,bug,425,YANMA,57
148,Grilão,bug,440,YANMA,62
149,Aranhão,bug,455,HERACROSS,57
150,Vespão,bug,470,HERACROSS,66
151,Marimbondão,bug,485,HERACROSS,56
152,Traça,bug,500,HERACROSS,62
153,Corupião,bug,515,HERACROSS,58
154,Cupinzim,bug,530,HERACROSS,63
155,Formigão-Preto,bug,545,PINSIR,61
156,Beija-flor,flying,560,SCYTHER,64
157,Sabiá,flying,575,SMEARGLE,64
158,Bem-te-vi,flying,590,AERODACTYL,59
159,Urutau,flying,605,CRADILY,62
160,Carcará,flying,620,NIDOKING,62
161,Gavião,flying,635,GLIGAR,63
162,Urubu,flying,650,ARBOK,62
163,Corurupim,flying,665,ELECTRODE,62
164,Coruja,flying,680,ARMALDO,61
165,Jaburu,flying,695,MACHOKE,59
166,Ema,normal,710,STANTLER,62
167,Seriema,flying,725,LARVITAR,59
168,Anú,flying,740,CROBAT,61
169,Trinca-Ferro,flying,755,MILTANK,62
170,Curió,flying,770,CACTURNE,64
171,Sanhaço,flying,785,SLOWBRO,62
172,Papa-Formiga,flying,800,KANGASKHAN,64
173,Choca,flying,815,SWAMPERT,62
174,Bacurau,flying,830,EXPLOUD,64
175,João-de-Barro,flying,845,EXPLOUD,56
176,Sementim,grass,860,CACTURNE,58
177,Muda,grass,875,CACTURNE,61
178,Jequitibá,grass,890,TROPIUS,63
179,Bromelinha,grass,905,TROPIUS,59
180,Orquidina,grass,20,ROSELIA,61
181,Vitóriarégia,grass,35,BELLSPROUT,63
182,Ipê,grass,50,TREECKO,61
183,Cipó,grass,65,CHIKORITA,61
184,Palmito,grass,80,SUNFLORA,62
185,Babaçu,grass,95,GLOOM,58
186,Buriti,grass,110,IVYSAUR,64
187,Cajuzim,grass,125,IVYSAUR,62
188,Cajueiro,grass,140,IVYSAUR,58
189,Açaí,grass,155,VICTREEBEL,59
190,Cacauim,grass,170,BAYLEEF,61
191,Cacaueiro,grass,185,VILEPLUME,58
192,Guaraná,grass,200,VILEPLUME,63
193,Mate,grass,215,GROVYLE,63
194,Milho,grass,230,GROVYLE,57
195,Mandioca,grass,245,GROVYLE,60
196,Pedrinha,rock,260,LILEEP,58
197,Rochão,rock,275,LILEEP,61
198,Cristalim,rock,290,OMASTAR,63
199,Ametista,rock,305,OMASTAR,59
200,Ouríço,steel,320,SKARMORY,67
201,Ferrolho,steel,335,SKARMORY,65
202,Diamantina,rock,350,OMASTAR,61
203,Bauxito,steel,365,SKARMORY,59
204,Manganim,steel,380,SKARMORY,66
205,Salitre,rock,395,KABUTOPS,63
206,Enxofrino,fire,410,MAGMAR,62
207,Argilim,ground,425,MAROWAK,65
208,Boneco,ground,440,MAROWAK,55
209,Estalactite,rock,455,KABUTOPS,61
210,Estalagmite,rock,470,KABUTOPS,57
211,Fóssil,rock,485,KABUTOPS,62
212,Meteorito,rock,500,AERODACTYL,64
213,Vulcanite,fire,515,BLAZIKEN,59
214,Marmim,rock,530,AERODACTYL,58
215,Granito,rock,545,AERODACTYL,62
216,Caranguim,water,560,LUDICOLO,57
217,Guaiamum,water,575,KINGLER,54
218,Siri,water,590,KINGLER,67
219,Camarão,water,605,KINGLER,53
220,Polvim,water,620,KINGLER,68
221,Polvão,water,635,KINGLER,52
222,Águaviva,water,650,KINGLER,69
223,Cavalim-Marinho,water,665,KINGLER,58
224,Tartaruguim,water,680,QUAGSIRE,73
225,Tartaruga,water,695,QUAGSIRE,53
226,Golfinho,water,710,QUAGSIRE,68
227,Baleia,water,725,QUAGSIRE,52
228,Tubarim,water,740,QUAGSIRE,69
229,Tubarão,water,755,QUAGSIRE,51
230,Arraia,water,770,GOLDUCK,61
231,Peixe-Espada,water,785,SLOWBRO,58
232,Pargo,water,800,STARMIE,61
233,Pescadão,water,815,SWAMPERT,58
234,Loirinha,ghost,830,GENGAR,59
235,Cuca,dark,845,ABSOL,52
236,Bicho-Papão,dark,860,ABSOL,63
237,Lobisomem,dark,875,ABSOL,55
238,Corpo-Seco,ghost,890,GENGAR,54
239,Mão-Peluda,ghost,905,GENGAR,57
240,Perna-Cabeluda,ghost,20,SHUPPET,62
241,Comadre,ghost,35,SHUPPET,59
242,Anhangá,ghost,50,SHUPPET,57
243,Jurupari,dark,65,HOUNDOUR,64
244,Tupã,electric,80,MAREEP,61
245,Jaci,fairy,95,TOTODILE,62
246,Guaraci,fire,110,VULPIX,60
