id,name,family_root,stage,types,battle_role,role_move,signature_move,move_count,first_stab_level,final_move
036,Jacarodon,034,2,water/dragon,atk,MOVE_SWORDS_DANCE,MOVE_WAVE_CRASH,13,1,MOVE_LIQUIDATION
037,Preguicim,037,0,grass,atk,MOVE_SWORDS_DANCE,MOVE_CRUNCH,13,1,MOVE_POWER_WHIP
038,Preguicão,037,1,grass/psychic,atk,MOVE_SWORDS_DANCE,MOVE_CRUNCH,13,1,MOVE_POWER_WHIP
039,Bicho-Preguiça,037,2,grass/psychic,atk,MOVE_SWORDS_DANCE,MOVE_CRUNCH,13,1,MOVE_POWER_WHIP
040,Papaguim,040,0,flying,atk,MOVE_SWORDS_DANCE,MOVE_DUAL_WINGBEAT,12,1,MOVE_BRAVE_BIRD
041,Papagaio,040,1,flying/psychic,atk,MOVE_SWORDS_DANCE,MOVE_DUAL_WINGBEAT,12,1,MOVE_BRAVE_BIRD
042,Papagaião,040,2,flying/psychic,atk,MOVE_SWORDS_DANCE,MOVE_DUAL_WINGBEAT,12,1,MOVE_BRAVE_BIRD
043,Antinha,043,0,normal,atk,MOVE_SWORDS_DANCE,MOVE_EXTREME_SPEED,13,1,MOVE_GIGA_IMPACT
044,Anta,043,1,normal/water,atk,MOVE_SWORDS_DANCE,MOVE_EXTREME_SPEED,13,1,MOVE_GIGA_IMPACT
045,Antaraú,045,0,normal/water,atk,MOVE_SWORDS_DANCE,MOVE_DOUBLE_EDGE,12,1,MOVE_GIGA_IMPACT
046,Sucurim,046,0,water/poison,atk,MOVE_SWORDS_DANCE,MOVE_COIL,13,1,MOVE_LIQUIDATION
047,Sucuri,046,1,water/poison,atk,MOVE_SWORDS_DANCE,MOVE_COIL,13,1,MOVE_LIQUIDATION
048,Boiuna,046,2,water/dragon,atk,MOVE_SWORDS_DANCE,MOVE_COIL,13,1,MOVE_LIQUIDATION
049,Borbolim,049,0,bug,atk,MOVE_SWORDS_DANCE,MOVE_FIRST_IMPRESSION,12,1,MOVE_MEGAHORN
050,Casulete,049,1,bug,atk,MOVE_SWORDS_DANCE,MOVE_FIRST_IMPRESSION,12,1,MOVE_MEGAHORN
051,Morphália,049,2,bug/fairy,atk,MOVE_SWORDS_DANCE,MOVE_FIRST_IMPRESSION,12,1,MOVE_MEGAHORN
052,Guaracim,052,0,fire,atk,MOVE_SWORDS_DANCE,MOVE_CRUNCH,13,1,MOVE_FLARE_BLITZ
053,Guará,052,1,fire/normal,atk,MOVE_SWORDS_DANCE,MOVE_CRUNCH,13,1,MOVE_FLARE_BLITZ
054,Guaraflama,054,0,fire/ghost,spe,MOVE_AGILITY,MOVE_CRUNCH,13,1,MOVE_FLARE_BLITZ
055,Peixim,055,0,water,atk,MOVE_SWORDS_DANCE,MOVE_AQUA_TAIL,11,1,MOVE_HYDRO_PUMP
056,Peixeboi,055,1,water,atk,MOVE_SWORDS_DANCE,MOVE_AQUA_TAIL,11,1,MOVE_HYDRO_PUMP
057,Mãe-d'Água,057,0,water/fairy,spe,MOVE_AGILITY,MOVE_AQUA_TAIL,11,1,MOVE_LIQUIDATION
058,Mandim,058,0,water,atk,MOVE_SWORDS_DANCE,MOVE_WAVE_CRASH,13,1,MOVE_LIQUIDATION
059,Mandí,058,1,water/poison,atk,MOVE_SWORDS_DANCE,MOVE_WAVE_CRASH,13,1,MOVE_LIQUIDATION
060,Mandubé,058,2,water/dark,atk,MOVE_SWORDS_DANCE,MOVE_WAVE_CRASH,13,1,MOVE_LIQUIDATION
061,Preguim,061,0,normal,atk,MOVE_SWORDS_DANCE,MOVE_EXTREME_SPEED,13,1,MOVE_GIGA_IMPACT
062,Prego,061,1,fighting/normal,atk,MOVE_SWORDS_DANCE,MOVE_EXTREME_SPEED,13,1,MOVE_CLOSE_COMBAT
063,Pregarcanjo,061,2,fighting/psychic,atk,MOVE_SWORDS_DANCE,MOVE_EXTREME_SPEED,13,1,MOVE_CLOSE_COMBAT
064,Aranin,064,0,bug,atk,MOVE_SWORDS_DANCE,MOVE_FIRST_IMPRESSION,13,1,MOVE_MEGAHORN
065,Caraninha,064,1,bug/poison,atk,MOVE_SWORDS_DANCE,MOVE_FIRST_IMPRESSION,13,1,MOVE_MEGAHORN
066,Caranga,064,2,bug/poison,atk,MOVE_SWORDS_DANCE,MOVE_FIRST_IMPRESSION,13,1,MOVE_MEGAHORN
067,Gatim,067,0,normal,atk,MOVE_SWORDS_DANCE,MOVE_CRUNCH,13,1,MOVE_GIGA_IMPACT
068,Gato-do-mato,067,1,normal/dark,atk,MOVE_SWORDS_DANCE,MOVE_CRUNCH,13,1,MOVE_GIGA_IMPACT
069,Jaguatirica,069,0,dark/normal,atk,MOVE_SWORDS_DANCE,MOVE_SUCKER_PUNCH,12,1,MOVE_GIGA_IMPACT
070,Cutim,070,0,normal,atk,MOVE_SWORDS_DANCE,MOVE_EXTREME_SPEED,12,1,MOVE_HYPER_BEAM
071,Cutia,070,1,normal,atk,MOVE_SWORDS_DANCE,MOVE_EXTREME_SPEED,12,1,MOVE_HYPER_BEAM
072,Paca,072,0,normal/dark,atk,MOVE_SWORDS_DANCE,MOVE_DOUBLE_EDGE,12,1,MOVE_GIGA_IMPACT
073,Formigão,073,0,bug/fighting,spe,MOVE_AGILITY,MOVE_FIRST_IMPRESSION,13,1,MOVE_MEGAHORN
074,Marimbondo,074,0,bug/poison,spe,MOVE_AGILITY,MOVE_SIGNAL_BEAM,12,1,MOVE_POLLEN_PUFF
075,Abelhinha,075,0,bug/flying,atk,MOVE_SWORDS_DANCE,MOVE_FIRST_IMPRESSION,13,1,MOVE_MEGAHORN
076,Quatim,076,0,normal,atk,MOVE_SWORDS_DANCE,MOVE_EXTREME_SPEED,13,1,MOVE_GIGA_IMPACT
077,Quati,076,1,normal/dark,atk,MOVE_SWORDS_DANCE,MOVE_EXTREME_SPEED,13,1,MOVE_GIGA_IMPACT
078,Coati,078,0,dark/ground,atk,MOVE_SWORDS_DANCE,MOVE_BRAVE_BIRD,13,1,MOVE_SUCKER_PUNCH
079,Gambá,079,0,poison/normal,atk,MOVE_SWORDS_DANCE,MOVE_POISON_JAB,12,1,MOVE_GUNK_SHOT
080,Cangambá,079,1,poison/dark,atk,MOVE_SWORDS_DANCE,MOVE_POISON_JAB,12,1,MOVE_GUNK_SHOT
081,Sarué,081,0,poison/ghost,atk,MOVE_SWORDS_DANCE,MOVE_GUNK_SHOT,12,1,MOVE_POLTERGEIST
082,Tuquinho,082,0,flying,atk,MOVE_SWORDS_DANCE,MOVE_BRAVE_BIRD,11,1,MOVE_POWER_WHIP
083,Aracari,082,1,flying/grass,atk,MOVE_SWORDS_DANCE,MOVE_BRAVE_BIRD,11,1,MOVE_POWER_WHIP
084,Curicaca,084,0,flying/normal,spe,MOVE_AGILITY,MOVE_BRAVE_BIRD,11,1,MOVE_GIGA_IMPACT
085,Sapim,085,0,water,atk,MOVE_SWORDS_DANCE,MOVE_WAVE_CRASH,13,1,MOVE_LIQUIDATION
086,Sapão,085,1,water/poison,atk,MOVE_SWORDS_DANCE,MOVE_WAVE_CRASH,13,1,MOVE_LIQUIDATION
087,Cururu,085,2,poison/ground,atk,MOVE_SWORDS_DANCE,MOVE_WAVE_CRASH,13,1,MOVE_GUNK_SHOT
088,Teiuzim,088,0,normal,atk,MOVE_SWORDS_DANCE,MOVE_EXTREME_SPEED,13,1,MOVE_GIGA_IMPACT
089,Teiú,088,1,normal/dark,atk,MOVE_SWORDS_DANCE,MOVE_EXTREME_SPEED,13,1,MOVE_GIGA_IMPACT
090,Camaleão,090,0,normal/psychic,spe,MOVE_AGILITY,MOVE_DOUBLE_EDGE,12,1,MOVE_GIGA_IMPACT
091,Morcim,091,0,flying,atk,MOVE_SWORDS_DANCE,MOVE_DUAL_WINGBEAT,12,1,MOVE_BRAVE_BIRD
092,Morcego,091,1,flying/psychic,atk,MOVE_SWORDS_DANCE,MOVE_DUAL_WINGBEAT,12,1,MOVE_BRAVE_BIRD
093,Vampiro,091,2,flying/dark,atk,MOVE_SWORDS_DANCE,MOVE_DUAL_WINGBEAT,12,1,MOVE_BRAVE_BIRD
094,Piuiuim,094,0,flying,atk,MOVE_SWORDS_DANCE,MOVE_BRAVE_BIRD,11,1,MOVE_LIQUIDATION
095,Tuiuiú,094,1,flying/water,atk,MOVE_SWORDS_DANCE,MOVE_BRAVE_BIRD,11,1,MOVE_LIQUIDATION
096,Colhereiro,096,0,flying/fairy,spe,MOVE_AGILITY,MOVE_HURRICANE,12,1,MOVE_MOONBLAST
097,Mulinha,097,0,normal,atk,MOVE_SWORDS_DANCE,MOVE_EXTREME_SPEED,13,1,MOVE_GIGA_IMPACT
098,Mula,097,1,normal/fire,atk,MOVE_SWORDS_DANCE,MOVE_EXTREME_SPEED,13,1,MOVE_GIGA_IMPACT
099,Mula-sem-Cabeça,097,2,fire/ghost,atk,MOVE_SWORDS_DANCE,MOVE_EXTREME_SPEED,13,1,MOVE_FLARE_BLITZ
100,Corcovado,100,0,rock/dragon,atk,MOVE_SWORDS_DANCE,MOVE_STONE_EDGE,12,1,MOVE_OUTRAGE
101,Cerválo,101,0,normal,atk,MOVE_SWORDS_DANCE,MOVE_GIGA_IMPACT,12,1,MOVE_POWER_WHIP
102,Catingueiro,101,1,normal/grass,atk,MOVE_SWORDS_DANCE,MOVE_GIGA_IMPACT,12,1,MOVE_POWER_WHIP
103,Suçuapara,103,0,normal/fighting,atk,MOVE_SWORDS_DANCE,MOVE_EXTREME_SPEED,13,1,MOVE_GIGA_IMPACT
104,Cabocim,104,0,water,atk,MOVE_SWORDS_DANCE,MOVE_AQUA_TAIL,12,1,MOVE_LIQUIDATION
105,Caboclo,104,1,water/fighting,atk,MOVE_SWORDS_DANCE,MOVE_AQUA_TAIL,12,1,MOVE_LIQUIDATION
106,Cangaço,106,0,dark/flying,spe,MOVE_AGILITY,MOVE_BRAVE_BIRD,12,1,MOVE_SUCKER_PUNCH
107,Xangô,107,0,electric/fighting,spe,MOVE_AGILITY,MOVE_RISING_VOLTAGE,13,1,MOVE_THUNDER
108,Iemanjá,108,0,water/fairy,atk,MOVE_SWORDS_DANCE,MOVE_LIQUIDATION,11,1,MOVE_MISTY_EXPLOSION
109,Oxum,109,0,water/fairy,spa,MOVE_CALM_MIND,MOVE_WATER_SPOUT,13,1,MOVE_HYDRO_PUMP
110,Ogum,110,0,steel/fire,atk,MOVE_SWORDS_DANCE,MOVE_DOUBLE_IRON_BASH,13,1,MOVE_METEOR_MASH
111,Cavalim,111,0,normal,atk,MOVE_SWORDS_DANCE,MOVE_DOUBLE_EDGE,12,1,MOVE_GIGA_IMPACT
112,Cavalgado,111,1,normal/fighting,atk,MOVE_SWORDS_DANCE,MOVE_DOUBLE_EDGE,12,1,MOVE_GIGA_IMPACT
113,Zebuim,113,0,normal,atk,MOVE_SWORDS_DANCE,MOVE_GIGA_IMPACT,12,1,MOVE_CLOSE_COMBAT
114,Zebu,113,1,normal/fighting,atk,MOVE_SWORDS_DANCE,MOVE_GIGA_IMPACT,12,1,MOVE_CLOSE_COMBAT
115,Ovelhinha,115,0,normal/fairy,spe,MOVE_AGILITY,MOVE_BOOMBURST,12,1,MOVE_HYPER_BEAM
116,Cabrita,116,0,normal/rock,atk,MOVE_SWORDS_DANCE,MOVE_GIGA_IMPACT,12,1,MOVE_STONE_EDGE
117,Chocalhão,117,0,poison,atk,MOVE_SWORDS_DANCE,MOVE_BRAVE_BIRD,13,1,MOVE_GUNK_SHOT
118,Cascavelim,117,1,poison,atk,MOVE_SWORDS_DANCE,MOVE_BRAVE_BIRD,13,1,MOVE_GUNK_SHOT
119,Cascavão,117,2,poison/dark,atk,MOVE_SWORDS_DANCE,MOVE_BRAVE_BIRD,13,1,MOVE_GUNK_SHOT
120,Jararaca,120,0,poison/grass,spe,MOVE_AGILITY,MOVE_GUNK_SHOT,12,1,MOVE_POWER_WHIP
121,Pirarim,121,0,water,atk,MOVE_SWORDS_DANCE,MOVE_AQUA_TAIL,12,1,MOVE_LIQUIDATION
122,Pirarucu,121,1,water/dragon,atk,MOVE_SWORDS_DANCE,MOVE_AQUA_TAIL,12,1,MOVE_LIQUIDATION
123,Piranha,123,0,water/dark,spe,MOVE_AGILITY,MOVE_AQUA_TAIL,12,1,MOVE_LIQUIDATION
124,Tambaqui,124,0,water/normal,atk,MOVE_SWORDS_DANCE,MOVE_AQUA_TAIL,12,1,MOVE_LIQUIDATION
125,Aruanã,125,0,water/flying,atk,MOVE_SWORDS_DANCE,MOVE_AQUA_TAIL,12,1,MOVE_LIQUIDATION
126,Poraquê,126,0,electric/water,spe,MOVE_AGILITY,MOVE_AQUA_TAIL,13,1,MOVE_THUNDER
127,Curimbatá,127,0,water/ground,atk,MOVE_SWORDS_DANCE,MOVE_AQUA_TAIL,12,1,MOVE_LIQUIDATION
128,Traíra,128,0,water/dark,spe,MOVE_AGILITY,MOVE_AQUA_TAIL,12,1,MOVE_LIQUIDATION
129,Dourado,129,0,water/fighting,spe,MOVE_AGILITY,MOVE_AQUA_TAIL,13,1,MOVE_HYDRO_PUMP
130,Tucunaré,130,0,water/dark,atk,MOVE_SWORDS_DANCE,MOVE_AQUA_TAIL,12,1,MOVE_LIQUIDATION
131,Pacu,131,0,water/grass,spe,MOVE_AGILITY,MOVE_AQUA_TAIL,12,1,MOVE_LIQUIDATION
132,Matrinxã,132,0,water/normal,atk,MOVE_SWORDS_DANCE,MOVE_AQUA_TAIL,12,1,MOVE_LIQUIDATION
133,Piau,133,0,water/normal,atk,MOVE_SWORDS_DANCE,MOVE_AQUA_TAIL,12,1,MOVE_LIQUIDATION
134,Cascudo,134,0,water/rock,spe,MOVE_AGILITY,MOVE_AQUA_TAIL,12,1,MOVE_LIQUIDATION
135,Acará,135,0,water/psychic,atk,MOVE_SWORDS_DANCE,MOVE_LIQUIDATION,12,1,MOVE_PSYCHIC_FANGS
136,Vagalumim,136,0,bug/electric,atk,MOVE_SWORDS_DANCE,MOVE_FIRST_IMPRESSION,13,1,MOVE_MEGAHORN
137,Vagalume,136,1,bug/electric,atk,MOVE_SWORDS_DANCE,MOVE_FIRST_IMPRESSION,13,1,MOVE_MEGAHORN
138,Cigarrinho,138,0,bug,atk,MOVE_SWORDS_DANCE,MOVE_MEGAHORN,12,1,MOVE_BRAVE_BIRD
139,Cigarrão,138,1,bug/flying,atk,MOVE_SWORDS_DANCE,MOVE_MEGAHORN,12,1,MOVE_BRAVE_BIRD
140,Louvadinha,140,0,bug,atk,MOVE_SWORDS_DANCE,MOVE_X_SCISSOR,12,1,MOVE_MEGAHORN
141,Louvadeus,140,1,bug/psychic,atk,MOVE_SWORDS_DANCE,MOVE_X_SCISSOR,12,1,MOVE_MEGAHORN
142,Escorpim,142,0,poison,atk,MOVE_SWORDS_DANCE,MOVE_POISON_JAB,12,1,MOVE_GUNK_SHOT
143,Escorpião,142,1,poison/dark,atk,MOVE_SWORDS_DANCE,MOVE_POISON_JAB,12,1,MOVE_GUNK_SHOT
144,Caramulão,144,0,bug/water,atk,MOVE_SWORDS_DANCE,MOVE_MEGAHORN,12,1,MOVE_LIQUIDATION
145,Piolhão,145,0,bug/poison,spe,MOVE_AGILITY,MOVE_COIL,13,1,MOVE_MEGAHORN
146,Barata,146,0,bug/dark,atk,MOVE_SWORDS_DANCE,MOVE_X_SCISSOR,12,1,MOVE_MEGAHORN
147,Grilim,147,0,bug,atk,MOVE_SWORDS_DANCE,MOVE_MEGAHORN,12,1,MOVE_GIGA_IMPACT
148,Grilão,147,1,bug/normal,atk,MOVE_SWORDS_DANCE,MOVE_MEGAHORN,12,1,MOVE_GIGA_IMPACT
149,Aranhão,149,0,bug/poison,atk,MOVE_SWORDS_DANCE,MOVE_X_SCISSOR,12,1,MOVE_MEGAHORN
150,Vespão,150,0,bug/flying,spe,MOVE_AGILITY,MOVE_MEGAHORN,12,1,MOVE_BRAVE_BIRD
151,Marimbondão,151,0,bug/poison,spe,MOVE_AGILITY,MOVE_POLLEN_PUFF,12,1,MOVE_SLUDGE_WAVE
152,Traça,152,0,bug/normal,atk,MOVE_SWORDS_DANCE,MOVE_X_SCISSOR,12,1,MOVE_MEGAHORN
153,Corupião,153,0,bug/ground,spe,MOVE_AGILITY,MOVE_MEGAHORN,12,1,MOVE_EARTHQUAKE
154,Cupinzim,154,0,bug/ground,atk,MOVE_SWORDS_DANCE,MOVE_FIRST_IMPRESSION,13,1,MOVE_MEGAHORN
155,Formigão-Preto,155,0,bug/dark,atk,MOVE_SWORDS_DANCE,MOVE_FIRST_IMPRESSION,13,1,MOVE_MEGAHORN
156,Beija-flor,156,0,flying/fairy,spe,MOVE_AGILITY,MOVE_BRAVE_BIRD,10,1,MOVE_MISTY_EXPLOSION
157,Sabiá,157,0,flying/normal,atk,MOVE_SWORDS_DANCE,MOVE_DUAL_WINGBEAT,12,1,MOVE_BRAVE_BIRD
158,Bem-te-vi,158,0,flying/normal,atk,MOVE_SWORDS_DANCE,MOVE_DRILL_PECK,12,1,MOVE_BRAVE_BIRD
159,Urutau,159,0,flying/ghost,spe,MOVE_AGILITY,MOVE_HURRICANE,12,1,MOVE_HEX
160,Carcará,160,0,flying/dark,atk,MOVE_SWORDS_DANCE,MOVE_DUAL_WINGBEAT,12,1,MOVE_BRAVE_BIRD
161,Gavião,161,0,flying/fighting,spe,MOVE_AGILITY,MOVE_DRILL_PECK,12,1,MOVE_BRAVE_BIRD
162,Urubu,162,0,flying/dark,atk,MOVE_SWORDS_DANCE,MOVE_BRAVE_BIRD,11,1,MOVE_SUCKER_PUNCH
163,Corurupim,163,1,flying/psychic,spe,MOVE_AGILITY,MOVE_DUAL_WINGBEAT,12,1,MOVE_BRAVE_BIRD
164,Coruja,164,0,flying/psychic,atk,MOVE_SWORDS_DANCE,MOVE_DRILL_PECK,12,1,MOVE_BRAVE_BIRD
165,Jaburu,165,0,flying/water,atk,MOVE_SWORDS_DANCE,MOVE_BRAVE_BIRD,11,1,MOVE_LIQUIDATION
166,Ema,166,0,normal/flying,atk,MOVE_SWORDS_DANCE,MOVE_EXTREME_SPEED,13,1,MOVE_GIGA_IMPACT
167,Seriema,167,0,flying/fighting,spe,MOVE_AGILITY,MOVE_DRILL_PECK,12,1,MOVE_BRAVE_BIRD
168,Anú,168,0,flying/dark,atk,MOVE_SWORDS_DANCE,MOVE_BRAVE_BIRD,11,1,MOVE_SUCKER_PUNCH
169,Trinca-Ferro,169,0,flying/steel,atk,MOVE_SWORDS_DANCE,MOVE_DUAL_WINGBEAT,12,1,MOVE_BRAVE_BIRD
170,Curió,170,0,flying/normal,spe,MOVE_AGILITY,MOVE_BOOMBURST,13,1,MOVE_HURRICANE
171,Sanhaço,171,0,flying/fairy,atk,MOVE_SWORDS_DANCE,MOVE_BRAVE_BIRD,10,1,MOVE_MISTY_EXPLOSION
172,Papa-Formiga,172,0,flying/bug,spe,MOVE_AGILITY,MOVE_FIRST_IMPRESSION,12,1,MOVE_BRAVE_BIRD
173,Choca,173,0,flying/normal,spe,MOVE_AGILITY,MOVE_BLEAKWIND_STORM,13,1,MOVE_HURRICANE
174,Bacurau,174,0,flying/dark,atk,MOVE_SWORDS_DANCE,MOVE_BRAVE_BIRD,11,1,MOVE_SUCKER_PUNCH
175,João-de-Barro,175,0,flying/ground,spe,MOVE_AGILITY,MOVE_DUAL_WINGBEAT,12,1,MOVE_BRAVE_BIRD
176,Sementim,176,0,grass,atk,MOVE_SWORDS_DANCE,MOVE_LEAF_BLADE,12,1,MOVE_POWER_WHIP
177,Muda,176,1,grass,atk,MOVE_SWORDS_DANCE,MOVE_LEAF_BLADE,12,1,MOVE_POWER_WHIP
178,Jequitibá,176,2,grass/rock,atk,MOVE_SWORDS_DANCE,MOVE_LEAF_BLADE,12,1,MOVE_POWER_WHIP
179,Bromelinha,179,0,grass/water,atk,MOVE_SWORDS_DANCE,MOVE_LEAF_BLADE,12,1,MOVE_POWER_WHIP
180,Orquidina,180,0,grass/fairy,atk,MOVE_SWORDS_DANCE,MOVE_SOLAR_BLADE,12,1,MOVE_POWER_WHIP
181,Vitóriarégia,181,0,grass/water,spe,MOVE_AGILITY,MOVE_SOLAR_BEAM,12,1,MOVE_HYDRO_PUMP
182,Ipê,182,0,grass/fairy,atk,MOVE_SWORDS_DANCE,MOVE_LEAF_BLADE,11,1,MOVE_POWER_WHIP
183,Cipó,183,0,grass/poison,spe,MOVE_AGILITY,MOVE_POWER_WHIP,12,1,MOVE_GUNK_SHOT
184,Palmito,184,0,grass/fighting,spe,MOVE_AGILITY,MOVE_SOLAR_BEAM,12,1,MOVE_FOCUS_BLAST
185,Babaçu,185,0,grass/ground,atk,MOVE_SWORDS_DANCE,MOVE_LEAF_BLADE,12,1,MOVE_POWER_WHIP
186,Buriti,186,0,grass/water,spe,MOVE_AGILITY,MOVE_POWER_WHIP,12,1,MOVE_LIQUIDATION
187,Cajuzim,187,0,grass,atk,MOVE_SWORDS_DANCE,MOVE_SOLAR_BLADE,13,1,MOVE_POWER_WHIP
188,Cajueiro,187,1,grass/fire,atk,MOVE_SWORDS_DANCE,MOVE_SOLAR_BLADE,13,1,MOVE_POWER_WHIP
189,Açaí,189,0,grass/dark,spe,MOVE_AGILITY,MOVE_POWER_WHIP,12,1,MOVE_SUCKER_PUNCH
190,Cacauim,190,0,grass,atk,MOVE_SWORDS_DANCE,MOVE_SOLAR_BLADE,13,1,MOVE_POWER_WHIP
191,Cacaueiro,190,1,grass/normal,atk,MOVE_SWORDS_DANCE,MOVE_SOLAR_BLADE,13,1,MOVE_POWER_WHIP
192,Guaraná,192,0,grass/electric,spe,MOVE_AGILITY,MOVE_LEAF_STORM,13,1,MOVE_SOLAR_BEAM
193,Mate,193,0,grass/water,atk,MOVE_SWORDS_DANCE,MOVE_SOLAR_BLADE,13,1,MOVE_POWER_WHIP
194,Milho,194,0,grass/normal,spe,MOVE_AGILITY,MOVE_LEAF_BLADE,12,1,MOVE_POWER_WHIP
195,Mandioca,195,0,grass/ground,spe,MOVE_AGILITY,MOVE_LEAF_STORM,13,1,MOVE_SOLAR_BEAM
196,Pedrinha,196,0,rock,atk,MOVE_SWORDS_DANCE,MOVE_STONE_EDGE,11,1,MOVE_METEOR_BEAM
197,Rochão,196,1,rock,atk,MOVE_SWORDS_DANCE,MOVE_STONE_EDGE,11,1,MOVE_METEOR_BEAM
198,Cristalim,198,0,rock/fairy,atk,MOVE_SWORDS_DANCE,MOVE_STONE_EDGE,11,1,MOVE_MISTY_EXPLOSION
199,Ametista,198,1,rock/psychic,atk,MOVE_SWORDS_DANCE,MOVE_STONE_EDGE,12,1,MOVE_PSYCHIC_FANGS
200,Ouríço,200,0,steel/electric,spe,MOVE_AGILITY,MOVE_DOUBLE_IRON_BASH,13,1,MOVE_METEOR_MASH
201,Ferrolho,201,0,steel/ground,atk,MOVE_SWORDS_DANCE,MOVE_STONE_EDGE,13,1,MOVE_METEOR_MASH
