dex,name,types,status,productionMethod,referenceStatus,frontPicBox,backPicBox,iconPalIndex,visibleColors,animation,shiny
20,Sacizinho,dark/flying,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
21,Cactula,grass/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
22,Muriçoco,bug/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
23,Onçaléu,dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
24,Tamanduá,ground/steel,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
25,Botim,water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
26,Botão,water/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
27,Botogaláu,water/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
28,Tatuim,ground,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
29,Tatubola,ground/steel,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
30,Tatuçu,ground/steel,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
31,Ararinha,flying,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
32,Arará,flying/fire,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
33,Araracanga,flying/fire,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
34,Jacarim,water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
35,Jacarão,water/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
36,Jacarodon,water/dragon,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
37,Preguicim,grass,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
38,Preguicão,grass/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
39,Bicho-Preguiça,grass/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
40,Papaguim,flying,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
41,Papagaio,flying/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
42,Papagaião,flying/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
43,Antinha,normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
44,Anta,normal/water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
45,Antaraú,normal/water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
46,Sucurim,water/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
47,Sucuri,water/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
48,Boiuna,water/dragon,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
49,Borbolim,bug,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
50,Casulete,bug,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
51,Morphália,bug/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
52,Guaracim,fire,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
53,Guará,fire/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
54,Guaraflama,fire/ghost,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
55,Peixim,water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
56,Peixeboi,water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
57,Mãe-d'Água,water/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
58,Mandim,water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
59,Mandí,water/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
60,Mandubé,water/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
61,Preguim,normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
62,Prego,fighting/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
63,Pregarcanjo,fighting/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
64,Aranin,bug,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
65,Caraninha,bug/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
66,Caranga,bug/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
67,Gatim,normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
68,Gato-do-mato,normal/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
69,Jaguatirica,dark/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
70,Cutim,normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
71,Cutia,normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
72,Paca,normal/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
73,Formigão,bug/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
74,Marimbondo,bug/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
75,Abelhinha,bug/flying,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
76,Quatim,normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
77,Quati,normal/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
78,Coati,dark/ground,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
79,Gambá,poison/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
80,Cangambá,poison/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
81,Sarué,poison/ghost,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
82,Tuquinho,flying,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
83,Aracari,flying/grass,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
84,Curicaca,flying/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
85,Sapim,water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
86,Sapão,water/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
87,Cururu,poison/ground,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
88,Teiuzim,normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
89,Teiú,normal/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
90,Camaleão,normal/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
91,Morcim,flying,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
92,Morcego,flying/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
93,Vampiro,flying/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
94,Piuiuim,flying,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
95,Tuiuiú,flying/water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
96,Colhereiro,flying/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
97,Mulinha,normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
98,Mula,normal/fire,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
99,Mula-sem-Cabeça,fire/ghost,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
100,Corcovado,rock/dragon,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
101,Cerválo,normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
102,Catingueiro,normal/grass,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
103,Suçuapara,normal/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
104,Cabocim,water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
105,Caboclo,water/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
106,Cangaço,dark/flying,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
107,Xangô,electric/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
108,Iemanjá,water/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
109,Oxum,water/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
110,Ogum,steel/fire,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
111,Cavalim,normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
112,Cavalgado,normal/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
113,Zebuim,normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
114,Zebu,normal/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
115,Ovelhinha,normal/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
116,Cabrita,normal/rock,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
117,Chocalhão,poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
118,Cascavelim,poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
119,Cascavão,poison/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
120,Jararaca,poison/grass,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
121,Pirarim,water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
122,Pirarucu,water/dragon,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
123,Piranha,water/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
124,Tambaqui,water/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
125,Aruanã,water/flying,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
126,Poraquê,electric/water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
127,Curimbatá,water/ground,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
128,Traíra,water/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
129,Dourado,water/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
130,Tucunaré,water/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
131,Pacu,water/grass,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
132,Matrinxã,water/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
133,Piau,water/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
134,Cascudo,water/rock,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
135,Acará,water/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
136,Vagalumim,bug/electric,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
137,Vagalume,bug/electric,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
138,Cigarrinho,bug,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
139,Cigarrão,bug/flying,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
140,Louvadinha,bug,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
141,Louvadeus,bug/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
142,Escorpim,poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
143,Escorpião,poison/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
144,Caramulão,bug/water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
145,Piolhão,bug/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
146,Barata,bug/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
147,Grilim,bug,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
148,Grilão,bug/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
149,Aranhão,bug/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
150,Vespão,bug/flying,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
151,Marimbondão,bug/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
152,Traça,bug/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
153,Corupião,bug/ground,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
154,Cupinzim,bug/ground,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
155,Formigão-Preto,bug/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
156,Beija-flor,flying/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
157,Sabiá,flying/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
158,Bem-te-vi,flying/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
159,Urutau,flying/ghost,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
160,Carcará,flying/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
161,Gavião,flying/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
162,Urubu,flying/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
163,Corurupim,flying/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
164,Coruja,flying/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
165,Jaburu,flying/water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
166,Ema,normal/flying,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
167,Seriema,flying/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
168,Anú,flying/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
169,Trinca-Ferro,flying/steel,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
170,Curió,flying/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
171,Sanhaço,flying/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
172,Papa-Formiga,flying/bug,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
173,Choca,flying/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
174,Bacurau,flying/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
175,João-de-Barro,flying/ground,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
176,Sementim,grass,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
177,Muda,grass,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
178,Jequitibá,grass/rock,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
179,Bromelinha,grass/water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
180,Orquidina,grass/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
181,Vitóriarégia,grass/water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
182,Ipê,grass/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
183,Cipó,grass/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
184,Palmito,grass/fighting,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
185,Babaçu,grass/ground,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
186,Buriti,grass/water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
187,Cajuzim,grass,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
188,Cajueiro,grass/fire,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
189,Açaí,grass/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
190,Cacauim,grass,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
191,Cacaueiro,grass/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
192,Guaraná,grass/electric,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
193,Mate,grass/water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
194,Milho,grass/normal,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
195,Mandioca,grass/ground,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
196,Pedrinha,rock,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
197,Rochão,rock,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
198,Cristalim,rock/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,0,15,two-frame-idle-lift,type-directed-palette
199,Ametista,rock/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
200,Ouríço,steel/electric,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
201,Ferrolho,steel/ground,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
202,Diamantina,rock/fairy,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,4,15,two-frame-idle-lift,type-directed-palette
203,Bauxito,steel/ground,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
204,Manganim,steel/dark,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,2,15,two-frame-idle-lift,type-directed-palette
205,Salitre,rock/water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
206,Enxofrino,fire/poison,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,1,15,two-frame-idle-lift,type-directed-palette
207,Argilim,ground,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
208,Boneco,ground/psychic,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
209,Estalactite,rock/water,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,3,15,two-frame-idle-lift,type-directed-palette
210,Estalagmite,rock/ground,integrated,reference-front-plus-reconstructed-back,available,58/58,58/58,5,15,two-frame-idle-lift,type-directed-palette
