table,gender,vanilla_name,arauna_name
battle frontier,F,KAITLYN,DAIANE
battle frontier,F,BREANNA,DALIA
battle frontier,F,KENDRA,DALILA
battle frontier,F,MOLLY,DALVA
battle frontier,F,JAZMIN,DANIELA
battle frontier,F,KELSEY,DARCI
battle frontier,M,JALEN,CONRADO
battle frontier,M,GRIFFEN,DALTON
battle frontier,M,XANDER,DAMIAO
battle frontier,M,MARVIN,DANILO
battle frontier,M,BRENNAN,DANTE
battle frontier,M,BALEY,DARCY
battle frontier,M,ZACKARY,DARIO
battle frontier,M,GABRIEL,DAVI
battle frontier,F,EMILY,DEBORA
battle frontier,F,JORDYN,DELIA
battle frontier,F,SOFIA,DENISE
battle frontier,M,BRADEN,DELCIO
battle frontier,M,KAYDEN,DELFINO
battle frontier,M,COOPER,DELMIRO
battle frontier,F,JULIA,DINA
battle frontier,F,AMARA,DIRCE
battle frontier,F,LYNN,DIVA
battle frontier,M,JOVAN,DENIS
battle frontier,M,DOMINIC,DEODORO
battle frontier,M,NIKOLAS,DIEGO
battle frontier,F,VALERIA,DORA
battle frontier,F,DELANEY,DORIS
battle frontier,F,MEGHAN,DUDA
battle frontier,M,ROBERTO,DINO
battle frontier,M,DAMIAN,DIOGO
battle frontier,M,BRODY,DIRCEU
battle frontier,M,GRAHAM,DIVINO
battle frontier,M,TYLOR,DJALMA
battle frontier,F,JAREN,DULCE
battle frontier,M,CORDELL,DOMICIO
battle frontier,F,JAZLYN,EDINA
battle frontier,M,ZACHERY,DONATO
battle frontier,M,JOHAN,DORIVAL
battle frontier,F,SHEA,EDITE
battle frontier,F,KAILA,EDNA
battle frontier,M,ISIAH,DOUGLAS
battle frontier,M,GARRETT,DURVAL
battle frontier,F,HAYLIE,ELAINE
battle frontier,F,MEGAN,ELBA
battle frontier,M,ISSAC,EDGAR
battle frontier,M,QUINTON,EDILSON
battle frontier,F,SALMA,ELENA
battle frontier,F,ANSLEY,ELIANA
battle frontier,M,HOLDEN,EDIMAR
battle frontier,M,LUCA,EDMAR
battle frontier,M,JAMISON,EDMUNDO
battle frontier,M,GUNNAR,EDNALDO
battle frontier,M,CRAIG,EDSON
battle frontier,M,PIERCE,EDUARDO
battle frontier,F,REGINA,ELISA
battle frontier,F,ALISON,ELIZA
battle frontier,M,HANK,EDVALDO
battle frontier,M,EARL,EGIDIO
battle frontier,M,RAMIRO,ELDER
battle frontier,M,HUNTER,ELIAS
battle frontier,M,AIDEN,ELISEU
battle frontier,M,XAVIER,ELVIO
battle frontier,M,CLINTON,EMIDIO
battle frontier,M,JESSE,EMILIO
battle frontier,M,EDUARDO,ENEAS
battle frontier,M,HAL,ENIO
battle frontier,M,GAGE,ENOQUE
battle frontier,M,ARNOLD,ERALDO
battle frontier,M,JARRETT,ERASMO
battle frontier,M,GARETT,ERNANI
battle frontier,M,EMANUEL,ERNESTO
battle frontier,M,GUSTAVO,EUGENIO
battle frontier,M,KAMERON,EURICO
battle frontier,M,ALFREDO,EVALDO
battle frontier,M,RUBEN,EVANDRO
battle frontier,M,LAMAR,EZIO
battle frontier,M,JAXON,FABIANO
battle frontier,M,LOGAN,FABIO
battle frontier,F,EMILEE,ELOA
battle frontier,F,JOSIE,ELOISA
battle frontier,M,ARMANDO,FAUSTO
battle frontier,M,SKYLER,FELICIO
battle frontier,F,RUTH,ELSA
battle frontier,F,MELODY,ELVIRA
battle frontier,M,PEDRO,FELIPE
battle frontier,M,ERICK,FIDELIS
battle frontier,F,ELAINE,ELZA
battle frontier,F,JOYCE,EMILIA
battle frontier,M,TODD,FILINTO
battle frontier,M,GAVIN,FIRMINO
battle frontier,F,MALORY,ERICA
battle frontier,F,ESTHER,ERIKA
battle frontier,M,OSCAR,FLAVIO
battle frontier,M,WILSON,FRANCO
battle frontier,F,CLARE,ESTELA
battle frontier,F,TESS,ESTER
battle frontier,M,LEON,GABRIEL
battle frontier,M,ALONZO,GALDINO
battle frontier,M,VINCE,GENARO
battle frontier,M,BRYON,GENESIO
battle frontier,F,AVA,EUNICE
battle frontier,F,MIRIAM,EVA
battle frontier,F,CARRIE,FABIANA
battle frontier,F,GILLIAN,FATIMA
battle frontier,M,TYLER,GERALDO
battle frontier,M,CHAZ,GERMANO
battle frontier,M,NELSON,GERSON
battle frontier,F,SHANIA,FLAVIA
battle frontier,F,STELLA,FLORA
battle frontier,F,DORINE,FRANCA
battle frontier,M,MADDOX,GETULIO
battle frontier,M,DAVIN,GIL
battle frontier,M,TREVON,GILDO
battle frontier,M,MATEO,GILSON
battle frontier,M,BRET,GIOVANI
battle frontier,M,RAUL,GLAUCO
battle frontier,F,KAY,GABI
battle frontier,F,ELENA,GEISA
battle frontier,F,ALANA,GEMA
battle frontier,M,ALEXAS,GONCALO
battle frontier,M,WESTON,GUIDO
battle frontier,M,JASPER,GUSTAVO
battle frontier,F,NADIA,GENI
battle frontier,F,MIRANDA,GILDA
battle frontier,F,EMMA,GINA
battle frontier,M,ROLANDO,HEITOR
battle frontier,M,STANLY,HELIO
battle frontier,M,DARIO,HERALDO
battle frontier,F,KARLEE,GISELE
battle frontier,F,JAYLIN,GLAUCIA
battle frontier,F,INGRID,GLORIA
battle frontier,F,DELILAH,GRACA
battle frontier,F,CARLY,GRAZI
battle frontier,F,LEXIE,GUIDA
battle frontier,M,MILLER,HERMES
battle frontier,M,MARV,HIGINO
battle frontier,M,LAYTON,HILARIO
battle frontier,M,BROOKS,HORACIO
battle frontier,M,GREGORY,HUGO
battle frontier,M,REESE,IBERE
battle frontier,M,MASON,IDALIO
battle frontier,M,TOBY,IGOR
battle frontier,F,DOROTHY,HELENA
battle frontier,F,PIPER,HELOISA
battle frontier,M,FINN,ILDO
battle frontier,M,SAMIR,INACIO
battle frontier,F,FIONA,HILDA
battle frontier,F,GLORIA,IARA
battle frontier,M,NICO,IRINEU
battle frontier,M,JEREMY,ISAIAS
battle frontier,F,CAITLIN,IDA
battle frontier,F,REENA,IEDA
battle frontier,M,AVERY,ISIDORO
battle frontier,M,LIAM,ISMAEL
battle frontier,M,THEO,ISRAEL
battle frontier,M,BAILEY,ITAMAR
battle frontier,M,HUGO,IVAN
battle frontier,M,BRYCE,IVANIR
battle frontier,M,GIDEON,IVO
battle frontier,M,TRISTON,JACINTO
battle frontier,M,CHARLES,JADIR
battle frontier,M,RAYMOND,JAIME
battle frontier,M,DIRK,JAILSON
battle frontier,M,HAROLD,JAIR
battle frontier,M,OMAR,JAMIL
battle frontier,M,PETER,JARBAS
battle frontier,M,DEV,JAYME
battle frontier,M,COREY,JOAO
battle frontier,M,ANDRE,JOAQUIM
battle frontier,M,FERRIS,JOEL
battle frontier,F,ALIVIA,IGNEZ
battle frontier,F,PAIGE,ILDA
battle frontier,F,ANYA,ILZA
battle frontier,F,DAWN,INES
battle frontier,F,ABBY,IOLANDA
battle frontier,F,GRETEL,IRACEMA
battle tent,F,JOLIE,IRENE
battle tent,M,MALACHI,JONAS
battle tent,F,KELSIE,IRIS
battle tent,M,DAVON,JONATAS
battle tent,F,GLENDA,ISABEL
battle tent,F,HELENA,ISADORA
battle tent,M,RODOLFO,JORGE
battle tent,M,DAVION,JOSE
battle tent,M,KENDALL,JOSIAS
battle tent,M,COLTEN,JOSUE
battle tent,M,IRVIN,JOVENAL
battle tent,M,SHAUN,JOVINO
battle tent,M,KYLER,JUAREZ
battle tent,F,MAGGIE,ISAURA
battle tent,M,STEPHON,JUCA
battle tent,F,REBECCA,ISIS
battle tent,M,REGGIE,JULIANO
battle tent,F,JANAE,IVA
battle tent,M,CAIDEN,JULIO
battle tent,F,KIRSTEN,IVANI
battle tent,M,KURTIS,JUSTINO
battle tent,M,STEFAN,JUVENAL
battle tent,M,AVERY,KLEBER
battle tent,M,DWANE,LAERTE
battle tent,F,MCKENNA,IVETE
battle tent,F,CAMRYN,IVONE
battle tent,F,NATASHA,IZA
battle tent,M,AUSTYN,LAURO
battle tent,M,DONOVAN,LAZARO
battle tent,F,TAMIA,JACIRA
battle tent,F,BRENNA,JANDIRA
battle tent,M,DILAN,LEANDRO
battle tent,F,ELIANA,JANE
battle tent,M,MARKUS,LEO
battle tent,F,CAITLYN,JANETE
battle tent,F,DESIREE,JOANA
battle tent,M,RONALD,LEONCIO
battle tent,M,ASHTEN,LEONEL
battle tent,M,GERARD,LIVIO
battle tent,M,BRADLY,LOTARIO
battle tent,M,DENNIS,LUCA
battle tent,M,PRESTIN,LUCAS
battle tent,M,ERNESTO,LUCIANO
battle tent,F,NALA,JOICE
battle tent,M,DARNELL,LUCIO
battle tent,F,ASHLYN,JOSEFA
battle tent,M,ADDISON,LUDGERO
battle tent,F,JUSTINE,JOVITA
battle tent,M,TYSON,LUIS
battle tent,F,LAILA,JULIA
battle tent,M,WAREN,LUIZ
battle tent,M,TOBIAS,MACARIO
battle tent,M,JOSIAH,MAGNO
battle tent,M,DION,MANOEL
battle tent,F,KENZIE,JULIANA
battle tent,F,LILLIAN,JUREMA
battle tent,F,LESLEY,JUSSARA
battle tent,M,MARQUIS,MANUEL
battle tent,M,FREDDY,MARCELO
battle tent,F,CECILIA,KARINA
battle tent,F,AMBER,KATIA
battle tent,M,JAVIER,MARCIO
battle tent,F,NATALIE,LARA
battle tent,M,TREVE,MARCOS
battle tent,F,ARIANNA,LARISSA
battle tent,F,JADYN,LAURA
battle tent,M,GERARDO,MARIANO
battle tent,M,JONN,MARINO
battle tent,M,ESTEBAN,MARIO
battle tent,M,JAMESON,MARTIM
battle tent,M,ALANZO,MATEUS
battle tent,M,HOWARD,MATIAS
battle tent,M,CONRAD,MAURO
battle tent,F,MAKENNA,LEA
battle tent,M,BRAYAN,MAXIMO
battle tent,F,MARIANA,LEDA
battle tent,M,SHELDON,MIGUEL
battle tent,F,GIANNA,LEILA
battle tent,M,YAHIR,MILTON
battle tent,F,BRITNEY,LENIRA
battle tent,M,HECTER,MOACIR
battle tent,M,TANNOR,MODESTO
battle tent,M,BENJI,MOISES
battle tent,M,RORY,MOZART
battle tent,F,ELEANOR,LETICIA
battle tent,F,EVELYN,LIA
battle tent,F,ARIELLE,LIDIA
battle tent,M,CONNAR,MURILO
battle tent,M,MAURICE,NABOR
battle tent,F,KIANNA,LIGIA
trainer hill,F,ALAINA,LILIA
trainer hill,M,ALFONSO,NARCISO
trainer hill,M,THEODORE,NEI
trainer hill,F,JAYDEN,LILIAN
trainer hill,M,SALVADORE,NELIO
trainer hill,F,VERONICA,LINA
trainer hill,M,KEENAN,NELSON
trainer hill,F,KRISTINA,LIS
trainer hill,M,TERRANCE,NEREU
trainer hill,F,ELIZABETH,LISA
trainer hill,F,ANNABELL,LIVIA
trainer hill,M,COLEMAN,NESTOR
trainer hill,M,ENRIQUE,NEWTON
trainer hill,F,COLLEEN,LOURDES
trainer hill,F,KIMBERLY,LUANA
trainer hill,M,FRANCISCO,NICANOR
trainer hill,F,MEREDITH,LUCIA
trainer hill,M,BERNARD,NICOLAU
trainer hill,M,ABRAHAM,NILDO
trainer hill,M,LUC,NILO
trainer hill,M,BREYDEN,NILSON
trainer hill,F,ANIYA,LUCILA
trainer hill,M,DANE,NILTON
trainer hill,F,STEPHANIE,LUIZA
trainer hill,M,ALFRED,NIVALDO
trainer hill,F,EDIE,LURDES
trainer hill,M,RODERICK,NIVIO
trainer hill,F,ALICIA,MAFALDA
trainer hill,M,TERRENCE,NOEL
trainer hill,F,CARLOTTA,MAGDA
trainer hill,F,NORA,MAIRA
trainer hill,M,GAV,OCTAVIO
contest opponent,M,JIMMY,ODAIR
contest opponent,F,EDITH,MALU
contest opponent,M,EVAN,ODILON
contest opponent,F,KELSEY,MANUELA
contest opponent,F,MADISON,MARA
contest opponent,M,RAYMOND,ODORICO
contest opponent,M,GRANT,OLAVO
contest opponent,F,PAIGE,MARCIA
contest opponent,M,ALEC,OLIMPIO
contest opponent,F,SYDNEY,MARIA
contest opponent,M,MORRIS,OLIVIO
contest opponent,F,MARIAH,MARIANA
contest opponent,M,RUSSELL,ONOFRE
contest opponent,F,MELANIE,MARILDA
contest opponent,M,CHANCE,ORESTE
contest opponent,F,AGATHA,MARINA
contest opponent,F,BEAU,MARISA
contest opponent,F,KAY,MARLENE
contest opponent,M,CALE,ORESTES
contest opponent,F,CAITLIN,MARLI
contest opponent,M,COLBY,ORLANDO
contest opponent,F,KYLIE,MARTA
contest opponent,M,LIAM,OSCAR
contest opponent,M,MILO,OSEIAS
contest opponent,F,KARINA,MATILDE
contest opponent,M,BOBBY,OSMAR
contest opponent,F,CLAIRE,MAURA
contest opponent,M,WILLIE,OSORIO
contest opponent,F,CASSIDY,MEIRE
contest opponent,M,MORGAN,OSVALDO
contest opponent,F,SUMMER,MELISSA
contest opponent,M,MILES,OSWALDO
contest opponent,F,AUDREY,MERCIA
contest opponent,M,AVERY,OTAVIO
contest opponent,F,ARIANA,MILENA
contest opponent,M,ASHTON,OTELO
contest opponent,F,SANDRA,MIRIAM
contest opponent,M,CARSON,OTHON
contest opponent,F,KATRINA,MIRNA
contest opponent,M,LUKE,OTONIEL
contest opponent,M,RAUL,OZIEL
contest opponent,F,JADA,MONICA
contest opponent,M,ZEEK,PASCOAL
contest opponent,M,DIEGO,PAULINO
contest opponent,F,ALIYAH,MORENA
contest opponent,F,NATALIA,NADIA
contest opponent,M,DEVIN,PAULO
contest opponent,F,TYLOR,NAIR
contest opponent,M,RONNIE,PEDRO
contest opponent,F,CLAUDIA,NARA
contest opponent,M,ELIAS,PLINIO
contest opponent,F,JADE,NATALIA
contest opponent,M,FRANCIS,POMPEU
contest opponent,F,ALISHA,NAZARE
contest opponent,M,SAUL,QUIRINO
contest opponent,F,FELICIA,NEIDE
contest opponent,M,EMILIO,RAFAEL
contest opponent,F,KARLA,NEIVA
contest opponent,M,DARRYL,RAMIRO
contest opponent,F,SELENA,NELI
contest opponent,M,NOEL,RAUL
contest opponent,F,LACEY,NELMA
contest opponent,M,CORBIN,REGIS
contest opponent,F,GRACIE,NEUSA
contest opponent,M,COLTIN,REMIGIO
contest opponent,F,ELLIE,NIDIA
contest opponent,M,MARCUS,RENAN
contest opponent,F,KIARA,NILDA
contest opponent,M,BRYCE,RENATO
contest opponent,F,JAMIE,NILZA
contest opponent,M,JORGE,RENE
contest opponent,M,DEVON,RICARDO
contest opponent,F,JUSTINA,NINA
contest opponent,M,RALPH,RIVALDO
contest opponent,F,ROSA,NOEMIA
contest opponent,M,KEATON,ROBERTO
contest opponent,F,MAYRA,NORA
contest opponent,M,LAMAR,ROBSON
contest opponent,F,AUBREY,NORMA
contest opponent,M,NIGEL,RODOLFO
contest opponent,F,CAMILLE,ODETE
contest opponent,M,DEON,RODRIGO
contest opponent,F,JANELLE,OLGA
contest opponent,M,HEATH,ROGERIO
contest opponent,F,SASHA,OLIVIA
contest opponent,M,FRANKIE,ROLANDO
contest opponent,F,HELEN,ONDINA
contest opponent,F,CAMILE,PALOMA
contest opponent,M,MARTIN,ROMARIO
contest opponent,M,SERGIO,ROMEU
contest opponent,F,KAILEY,PAULA
contest opponent,F,PERLA,PIEDADE
contest opponent,F,CLARA,RAFAELA
contest opponent,M,JAKOB,ROMILDO
contest opponent,M,TREY,ROMULO
contest opponent,M,LANE,RONALDO
contest hall,F,EZRA,RAQUEL
contest hall,M,ALLAN,RONAN
contest hall,F,JULIET,REGINA
contest hall,M,BAILY,ROQUE
contest hall,F,MELANY,RENATA
contest hall,M,HANA,ROSALVO
contest hall,F,BRYANT,RITA
contest hall,M,OMAR,RUBEM
