party,theme,level,arauna_dex,name,bst,types
Juan1,water,43,047,Sucuri,480,water/poison
Juan1,water,46,280,Sucuriaçu,607,water/dragon
Bethany,water,35,055,Peixim,282,water
Bethany,water,37,121,Pirarim,282,water
Bethany,water,39,125,Aruanã,447,water/flying
Josh,rock,10,116,Cabrita,445,normal/rock
Tommy,rock,8,116,Cabrita,445,normal/rock
Tommy,rock,8,215,Granito,445,rock/fighting
Ben,electric,17,136,Vagalumim,285,bug/electric
Ben,electric,17,320,Pilhoso,446,electric/poison
Wallace,water,57,286,Iara-Mãe,602,water/fairy
Wallace,water,55,280,Sucuriaçu,607,water/dragon
Wallace,water,56,048,Boiuna,600,water/dragon
Wallace,water,56,364,Sarará,472,fairy/water
Wallace,water,56,027,Botogaláu,555,water/psychic
Wallace,water,58,109,Oxum,606,water/fairy
Jared,flying,27,157,Sabiá,445,flying/normal
Jared,flying,27,020,Sacizinho,461,dark/flying
Jared,flying,27,033,Araracanga,550,flying/fire
Humberto,flying,30,020,Sacizinho,461,dark/flying
Edwardo,flying,29,157,Sabiá,445,flying/normal
Edwardo,flying,29,156,Beija-flor,448,flying/fairy
Jocelyn,fighting,13,062,Prego,404,fighting/normal
Laura,fighting,13,062,Prego,404,fighting/normal
Eli,fire,23,232,Pargo,446,water/fire
Annika,water,39,055,Peixim,282,water
Annika,water,39,121,Pirarim,282,water
Marc,rock,8,116,Cabrita,445,normal/rock
Marc,rock,8,215,Granito,445,rock/fighting
Brenden,fighting,13,264,Exu,444,dark/fighting
Lilith,fighting,13,062,Prego,404,fighting/normal
Cristian,fighting,13,062,Prego,404,fighting/normal
Sylvia,psychic,36,026,Botão,404,water/psychic
Nate,psychic,36,026,Botão,404,water/psychic
Kathleen,psychic,36,090,Camaleão,448,normal/psychic
Clifford,psychic,36,247,Rudá,449,fairy/psychic
Nicholas,psychic,36,247,Rudá,449,fairy/psychic
Macey,psychic,36,135,Acará,445,water/psychic
Andrea,water,40,124,Tambaqui,445,water/normal
Crissy,water,39,124,Tambaqui,445,water/normal
Crissy,water,39,057,Mãe-d'Água,448,water/fairy
Gerald,fire,23,275,Frevinho,444,fighting/fire
Vivian,electric,17,320,Pilhoso,446,electric/poison
Vivian,electric,17,326,Sinal,447,electric/psychic
Danielle,fire,23,032,Arará,405,flying/fire
Flint,flying,29,096,Colhereiro,449,flying/fairy
Flint,flying,29,033,Araracanga,550,flying/fire
Ashley,flying,27,157,Sabiá,445,flying/normal
Ashley,flying,27,168,Anú,445,flying/dark
Ashley,flying,27,171,Sanhaço,445,flying/fairy
Roxanne2,rock,32,297,Corcovado-Ancião,602,rock/dragon
Roxanne2,rock,35,209,Estalactite,444,rock/water
Roxanne2,rock,35,205,Salitre,447,rock/water
Roxanne2,rock,37,213,Vulcanite,447,fire/rock
Roxanne3,rock,37,210,Estalagmite,446,rock/ground
Roxanne3,rock,37,297,Corcovado-Ancião,602,rock/dragon
Roxanne3,rock,40,212,Meteorito,603,rock/psychic
Roxanne3,rock,40,205,Salitre,447,rock/water
Roxanne3,rock,42,213,Vulcanite,447,fire/rock
Roxanne4,rock,42,178,Jequitibá,554,grass/rock
Roxanne4,rock,42,297,Corcovado-Ancião,602,rock/dragon
Roxanne4,rock,45,212,Meteorito,603,rock/psychic
Roxanne4,rock,45,205,Salitre,447,rock/water
Roxanne4,rock,47,213,Vulcanite,447,fire/rock
Roxanne5,rock,47,202,Diamantina,605,rock/fairy
Roxanne5,rock,47,297,Corcovado-Ancião,602,rock/dragon
Roxanne5,rock,47,178,Jequitibá,554,grass/rock
Roxanne5,rock,50,212,Meteorito,603,rock/psychic
Roxanne5,rock,50,100,Corcovado,604,rock/dragon
Roxanne5,rock,52,205,Salitre,447,rock/water
Brawly2,fighting,33,063,Pregarcanjo,555,fighting/psychic
Brawly2,fighting,33,062,Prego,404,fighting/normal
Brawly2,fighting,35,107,Xangô,449,electric/fighting
Brawly2,fighting,37,366,Berimbau,505,fairy/fighting
Brawly3,fighting,38,063,Pregarcanjo,555,fighting/psychic
Brawly3,fighting,38,218,Siri,446,water/fighting
Brawly3,fighting,40,107,Xangô,449,electric/fighting
Brawly3,fighting,42,366,Berimbau,505,fairy/fighting
Brawly4,fighting,40,365,Cambota,485,fighting/normal
Brawly4,fighting,43,063,Pregarcanjo,555,fighting/psychic
Brawly4,fighting,43,218,Siri,446,water/fighting
Brawly4,fighting,45,107,Xangô,449,electric/fighting
Brawly4,fighting,47,366,Berimbau,505,fairy/fighting
Brawly5,fighting,46,367,Atabaque,495,fighting/ground
Brawly5,fighting,46,365,Cambota,485,fighting/normal
Brawly5,fighting,48,063,Pregarcanjo,555,fighting/psychic
Brawly5,fighting,48,218,Siri,446,water/fighting
Brawly5,fighting,50,107,Xangô,449,electric/fighting
Brawly5,fighting,52,366,Berimbau,505,fairy/fighting
Wattson2,electric,36,136,Vagalumim,285,bug/electric
Wattson2,electric,36,331,Tupanaú,604,electric/dragon
Wattson2,electric,38,107,Xangô,449,electric/fighting
Wattson2,electric,40,126,Poraquê,449,electric/water
Wattson3,electric,39,320,Pilhoso,446,electric/poison
Wattson3,electric,41,200,Ouríço,448,steel/electric
Wattson3,electric,41,331,Tupanaú,604,electric/dragon
Wattson3,electric,43,107,Xangô,449,electric/fighting
Wattson3,electric,45,126,Poraquê,449,electric/water
Wattson4,electric,44,137,Vagalume,555,bug/electric
Wattson4,electric,46,331,Tupanaú,604,electric/dragon
Wattson4,electric,46,339,Chuvão,604,water/electric
Wattson4,electric,48,107,Xangô,449,electric/fighting
Wattson4,electric,50,126,Poraquê,449,electric/water
Wattson5,electric,50,331,Tupanaú,604,electric/dragon
Wattson5,electric,51,137,Vagalume,555,bug/electric
Wattson5,electric,51,339,Chuvão,604,water/electric
Wattson5,electric,53,244,Tupã,606,electric/dragon
Wattson5,electric,53,107,Xangô,449,electric/fighting
Wattson5,electric,55,126,Poraquê,449,electric/water
Flannery2,fire,38,206,Enxofrino,449,fire/poison
Flannery2,fire,36,054,Guaraflama,448,fire/ghost
Flannery2,fire,38,250,Urucum,449,fire/grass
Flannery2,fire,40,016,Boitatá,514,fire/ghost
Flannery3,fire,41,213,Vulcanite,447,fire/rock
Flannery3,fire,43,206,Enxofrino,449,fire/poison
Flannery3,fire,41,054,Guaraflama,448,fire/ghost
Flannery3,fire,43,250,Urucum,449,fire/grass
Flannery3,fire,45,016,Boitatá,514,fire/ghost
Flannery4,fire,46,232,Pargo,446,water/fire
Flannery4,fire,46,213,Vulcanite,447,fire/rock
Flannery4,fire,48,206,Enxofrino,449,fire/poison
Flannery4,fire,46,333,Kuarahy,603,fire/psychic
Flannery4,fire,48,250,Urucum,449,fire/grass
Flannery4,fire,50,016,Boitatá,514,fire/ghost
Flannery5,fire,51,285,Boitatá-Puro,606,fire/dragon
Flannery5,fire,53,206,Enxofrino,449,fire/poison
Flannery5,fire,51,246,Guaraci,605,fire/fairy
Flannery5,fire,51,333,Kuarahy,603,fire/psychic
Flannery5,fire,53,250,Urucum,449,fire/grass
Flannery5,fire,55,016,Boitatá,514,fire/ghost
Norman2,normal,42,355,Capivarão,510,normal/water
Norman2,normal,42,071,Cutia,555,normal
Norman2,normal,43,084,Curicaca,447,flying/normal
Norman2,normal,45,148,Grilão,555,bug/normal
Norman3,normal,47,071,Cutia,555,normal
Norman3,normal,47,355,Capivarão,510,normal/water
Norman3,normal,45,102,Catingueiro,551,normal/grass
Norman3,normal,48,084,Curicaca,447,flying/normal
Norman3,normal,50,148,Grilão,555,bug/normal
Norman4,normal,52,071,Cutia,555,normal
Norman4,normal,52,148,Grilão,555,bug/normal
Norman4,normal,50,102,Catingueiro,551,normal/grass
Norman4,normal,53,084,Curicaca,447,flying/normal
Norman4,normal,55,068,Gato-do-mato,554,normal/dark
Norman5,normal,57,071,Cutia,555,normal
Norman5,normal,57,148,Grilão,555,bug/normal
Norman5,normal,55,102,Catingueiro,551,normal/grass
Norman5,normal,57,114,Zebu,553,normal/fighting
Norman5,normal,58,084,Curicaca,447,flying/normal
Norman5,normal,60,068,Gato-do-mato,554,normal/dark
Winona2,flying,40,157,Sabiá,445,flying/normal
Winona2,flying,38,033,Araracanga,550,flying/fire
Winona2,flying,41,156,Beija-flor,448,flying/fairy
Winona2,flying,43,020,Sacizinho,461,dark/flying
Winona2,flying,45,083,Aracari,551,flying/grass
Winona3,flying,43,091,Morcim,283,flying
Winona3,flying,43,033,Araracanga,550,flying/fire
Winona3,flying,45,075,Abelhinha,446,bug/flying
Winona3,flying,46,156,Beija-flor,448,flying/fairy
Winona3,flying,48,020,Sacizinho,461,dark/flying
Winona3,flying,50,083,Aracari,551,flying/grass
Winona4,flying,48,156,Beija-flor,448,flying/fairy
Winona4,flying,49,033,Araracanga,550,flying/fire
Winona4,flying,50,075,Abelhinha,446,bug/flying
Winona4,flying,51,167,Seriema,448,flying/fighting
Winona4,flying,53,020,Sacizinho,461,dark/flying
Winona4,flying,55,083,Aracari,551,flying/grass
Winona5,flying,53,156,Beija-flor,448,flying/fairy
Winona5,flying,54,033,Araracanga,550,flying/fire
Winona5,flying,55,167,Seriema,448,flying/fighting
Winona5,flying,55,294,Uirapuru,607,flying/fairy
Winona5,flying,58,020,Sacizinho,461,dark/flying
Winona5,flying,60,083,Aracari,551,flying/grass
TateAndLiza2,psychic,48,308,Traça-Papel,444,bug/psychic
TateAndLiza2,psychic,49,265,Preto-Velho,604,ghost/psychic
TateAndLiza2,psychic,49,039,Bicho-Preguiça,551,grass/psychic
TateAndLiza2,psychic,50,247,Rudá,449,fairy/psychic
TateAndLiza2,psychic,50,305,Gato-Preto,449,dark/psychic
TateAndLiza3,psychic,53,135,Acará,445,water/psychic
TateAndLiza3,psychic,53,308,Traça-Papel,444,bug/psychic
TateAndLiza3,psychic,54,265,Preto-Velho,604,ghost/psychic
TateAndLiza3,psychic,54,039,Bicho-Preguiça,551,grass/psychic
TateAndLiza3,psychic,55,247,Rudá,449,fairy/psychic
TateAndLiza3,psychic,55,305,Gato-Preto,449,dark/psychic
TateAndLiza4,psychic,58,372,Cordelim,485,psychic/fairy
TateAndLiza4,psychic,59,265,Preto-Velho,604,ghost/psychic
TateAndLiza4,psychic,58,308,Traça-Papel,444,bug/psychic
TateAndLiza4,psychic,59,039,Bicho-Preguiça,551,grass/psychic
TateAndLiza4,psychic,60,247,Rudá,449,fairy/psychic
TateAndLiza4,psychic,60,305,Gato-Preto,449,dark/psychic
TateAndLiza5,psychic,63,372,Cordelim,485,psychic/fairy
TateAndLiza5,psychic,64,265,Preto-Velho,604,ghost/psychic
TateAndLiza5,psychic,63,042,Papagaião,552,flying/psychic
TateAndLiza5,psychic,64,039,Bicho-Preguiça,551,grass/psychic
TateAndLiza5,psychic,65,247,Rudá,449,fairy/psychic
TateAndLiza5,psychic,65,305,Gato-Preto,449,dark/psychic
Juan2,water,46,124,Tambaqui,445,water/normal
Juan2,water,46,364,Sarará,472,fairy/water
Juan2,water,48,095,Tuiuiú,553,flying/water
Juan2,water,48,047,Sucuri,480,water/poison
Juan2,water,51,280,Sucuriaçu,607,water/dragon
Juan3,water,50,045,Antaraú,446,normal/water
Juan3,water,51,364,Sarará,472,fairy/water
Juan3,water,53,095,Tuiuiú,553,flying/water
Juan3,water,53,047,Sucuri,480,water/poison
Juan3,water,56,280,Sucuriaçu,607,water/dragon
Juan4,water,56,280,Sucuriaçu,607,water/dragon
Juan4,water,58,364,Sarará,472,fairy/water
Juan4,water,56,045,Antaraú,446,normal/water
Juan4,water,58,095,Tuiuiú,553,flying/water
Juan4,water,58,047,Sucuri,480,water/poison
Juan4,water,61,283,Terolibra-Rainha,607,water/bug
Juan5,water,61,280,Sucuriaçu,607,water/dragon
Juan5,water,63,364,Sarará,472,fairy/water
Juan5,water,61,027,Botogaláu,555,water/psychic
Juan5,water,63,095,Tuiuiú,553,flying/water
Juan5,water,63,047,Sucuri,480,water/poison
Juan5,water,66,283,Terolibra-Rainha,607,water/bug
Angelo,electric,17,326,Sinal,447,electric/psychic
Angelo,electric,17,107,Xangô,449,electric/fighting
Darius,flying,30,033,Araracanga,550,flying/fire
