arauna_dex,name,method,level,target_dex,target_name,decision
140,Louvadinha,EVO_LEVEL,24,141,Louvadeus,Rebalanceado
142,Escorpim,EVO_LEVEL,28,143,Escorpião,Rebalanceado
147,Grilim,EVO_LEVEL,22,148,Grilão,Rebalanceado
163,Corurupim,EVO_LEVEL,24,164,Coruja,Corrigido + rebalanceado
176,Sementim,EVO_LEVEL,18,177,Muda,Rebalanceado
177,Muda,EVO_LEVEL,36,178,Jequitibá,Rebalanceado
187,Cajuzim,EVO_LEVEL,24,188,Cajueiro,Rebalanceado
190,Cacauim,EVO_LEVEL,24,191,Cacaueiro,Rebalanceado
196,Pedrinha,EVO_LEVEL,28,197,Rochão,Rebalanceado
198,Cristalim,EVO_LEVEL,28,199,Ametista,Rebalanceado
207,Argilim,EVO_LEVEL,28,208,Boneco,Rebalanceado
216,Caranguim,EVO_LEVEL,20,217,Guaiamum,Rebalanceado
220,Polvim,EVO_LEVEL,28,221,Polvão,Corrigido + rebalanceado
224,Tartaruguim,EVO_LEVEL,30,225,Tartaruga,Corrigido
228,Tubarim,EVO_LEVEL,30,229,Tubarão,Corrigido + rebalanceado
300,Pombim,EVO_LEVEL,20,301,Pombão,Corrigido + rebalanceado
313,Lixão,EVO_LEVEL,24,314,Chorume,Corrigido + rebalanceado
351,Tuim,EVO_LEVEL,18,352,Periquitão,Mantido
352,Periquitão,EVO_LEVEL,34,353,Ararunão,Mantido
354,Preazinho,EVO_LEVEL,22,355,Capivarão,Mantido
356,Tamanduí,EVO_LEVEL,20,357,Tamanduá,Mantido
357,Tamanduá,EVO_LEVEL,40,358,Tamanduão,Mantido
359,Preguicinha,EVO_LEVEL,25,360,Preguiçoso,Mantido
361,Beija-Flor,EVO_LEVEL,20,362,Beija-Luz,Mantido
362,Beija-Luz,EVO_LEVEL,40,363,Beija-Sol,Mantido
