engine_slot,vanilla_bst,now_holds_slot,arauna_dex,arauna_name,arauna_bst
SPECIES_WYNAUT,260,SPECIES_MEGANIUM,163,Corurupim,284
SPECIES_HOOTHOOT,262,SPECIES_MAGNETON,091,Morcim,283
SPECIES_SPEAROW,262,SPECIES_TENTACRUEL,082,Tuquinho,287
SPECIES_DIGLETT,265,SPECIES_RATTATA,028,Tatuim,283
SPECIES_LEDYBA,265,SPECIES_TROPIUS,357,Tamanduá,440
SPECIES_NINCADA,266,SPECIES_MAGIKARP,138,Cigarrinho,283
SPECIES_SURSKIT,269,SPECIES_PIKACHU,034,Jacarim,284
SPECIES_JIGGLYPUFF,270,SPECIES_MACHOKE,076,Quatim,286
SPECIES_TAILLOW,270,SPECIES_FEAROW,031,Ararinha,284
SPECIES_WINGULL,270,SPECIES_GLIGAR,216,Caranguim,285
SPECIES_NIDORAN_M,273,SPECIES_EEVEE,142,Escorpim,286
SPECIES_NIDORAN_F,275,SPECIES_VULPIX,046,Sucurim,286
SPECIES_KIRLIA,278,SPECIES_MEDICHAM,308,Traça-Papel,444
SPECIES_MAREEP,280,SPECIES_SANDSLASH,037,Preguicim,285
SPECIES_MEDITITE,280,SPECIES_PERSIAN,062,Prego,404
SPECIES_SLAKOTH,280,SPECIES_SKITTY,300,Pombim,283
SPECIES_PARAS,285,SPECIES_WIGGLYTUFF,049,Borbolim,287
SPECIES_BARBOACH,288,SPECIES_GOLEM,085,Sapim,287
SPECIES_DITTO,288,SPECIES_CHARMELEON,014,Sagüim,308
SPECIES_EKANS,288,SPECIES_KOFFING,118,Cascavelim,406
SPECIES_MEOWTH,290,SPECIES_BANETTE,354,Preazinho,328
SPECIES_PINECO,290,SPECIES_DUSCLOPS,356,Tamanduí,320
SPECIES_SPHEAL,290,SPECIES_MAGCARGO,228,Tubarim,287
SPECIES_TRAPINCH,290,SPECIES_MURKROW,207,Argilim,284
SPECIES_DUSKULL,295,SPECIES_PORYGON2,242,Anhangá,444
SPECIES_ELECTRIKE,295,SPECIES_SNORUNT,361,Beija-Flor,377
SPECIES_HORSEA,295,SPECIES_ONIX,104,Cabocim,287
SPECIES_SHROOMISH,295,SPECIES_CLEFFA,182,Ipê,445
SPECIES_SHUPPET,295,SPECIES_DELIBIRD,234,Loirinha,445
SPECIES_VULPIX,299,SPECIES_EKANS,032,Arará,405
SPECIES_BELDUM,300,SPECIES_BELDUM,374,Escamoso,498
SPECIES_BAGON,300,SPECIES_SHARPEDO,319,Netzero,444
SPECIES_BALTOY,300,SPECIES_RATICATE,029,Tatubola,404
SPECIES_BELLSPROUT,300,SPECIES_NIDORAN_F,038,Preguicão,406
SPECIES_DRATINI,300,SPECIES_HO_OH,259,Saciamigo,445
SPECIES_GEODUDE,300,SPECIES_DUNSPARCE,215,Granito,445
SPECIES_LARVITAR,300,SPECIES_ZAPDOS,154,Cupinzim,444
SPECIES_PIKACHU,300,SPECIES_PORYGON,146,Barata,445
SPECIES_POLIWAG,300,SPECIES_BEAUTIFLY,267,Marinheiro,445
SPECIES_REMORAID,300,SPECIES_METANG,375,Piranhita,395
SPECIES_SANDSHREW,300,SPECIES_FURRET,171,Sanhaço,445
SPECIES_SNORUNT,300,SPECIES_MAWILE,303,Mosquim,445
SPECIES_SNUBBULL,300,SPECIES_VENUSAUR,012,Capivim,360
SPECIES_GULPIN,302,SPECIES_PLUSLE,311,Fumacento,445
SPECIES_CARVANHA,305,SPECIES_KANGASKHAN,124,Tambaqui,445
SPECIES_MACHOP,305,SPECIES_LINOONE,264,Exu,444
SPECIES_MANKEY,305,SPECIES_SHIFTRY,275,Frevinho,444
SPECIES_NUMEL,305,SPECIES_NUMEL,322,Bugão,445
SPECIES_SHELLDER,305,SPECIES_DIGLETT,059,Mandí,404
SPECIES_SMOOCHUM,305,SPECIES_NIDORAN_M,041,Papagaio,406
SPECIES_VENONAT,305,SPECIES_KABUTO,149,Aranhão,445
SPECIES_CORPHISH,308,SPECIES_RAICHU,035,Jacarão,405
SPECIES_CYNDAQUIL,309,SPECIES_CYNDAQUIL,164,Coruja,554
SPECIES_CHARMANDER,309,SPECIES_LEDYBA,174,Bacurau,446
SPECIES_MUDKIP,310,SPECIES_MUDKIP,004,Querô,340
SPECIES_TREECKO,310,SPECIES_TREECKO,007,Pimpau,332
SPECIES_TORCHIC,310,SPECIES_TORCHIC,001,Caramelo,325
SPECIES_ABRA,310,SPECIES_PIDGEOTTO,026,Botão,404
SPECIES_DODUO,310,SPECIES_ABRA,072,Paca,445
SPECIES_GASTLY,310,SPECIES_ELEKID,248,Aluá,445
SPECIES_SWABLU,310,SPECIES_WINGULL,278,Folião,445
SPECIES_TOTODILE,314,SPECIES_TOTODILE,167,Seriema,448
SPECIES_SQUIRTLE,314,SPECIES_MAGMAR,135,Acará,445
SPECIES_SLOWPOKE,315,SPECIES_ENTEI,253,Yara-Pindá,444
SPECIES_CHIKORITA,318,SPECIES_CHIKORITA,161,Gavião,447
SPECIES_BULBASAUR,318,SPECIES_AZUMARILL,193,Mate,445
SPECIES_CUBONE,320,SPECIES_BELLSPROUT,078,Coati,446
SPECIES_GOLDEEN,320,SPECIES_SPOINK,325,Bueiro,445
SPECIES_NATU,320,SPECIES_DRAGONAIR,157,Sabiá,445
SPECIES_ODDISH,320,SPECIES_MIGHTYENA,262,Caipora-Fêmea,446
SPECIES_PSYDUCK,320,SPECIES_GOLDEEN,127,Curimbatá,445
SPECIES_CLEFAIRY,323,SPECIES_HITMONCHAN,116,Cabrita,445
SPECIES_EEVEE,325,SPECIES_MILOTIC,350,Bugio,446
SPECIES_EXEGGCUTE,325,SPECIES_ARIADOS,177,Muda,403
SPECIES_GRIMER,325,SPECIES_SWALOT,317,Sacolim,446
SPECIES_KRABBY,325,SPECIES_HERACROSS,223,Cavalim-Marinho,445
SPECIES_MAGNEMITE,325,SPECIES_WAILMER,320,Pilhoso,446
SPECIES_SEEL,325,SPECIES_PONYTA,086,Sapão,403
SPECIES_DROWZEE,328,SPECIES_LOTAD,270,Beata,445
SPECIES_VOLTORB,330,SPECIES_VOLTORB,109,Oxum,606
SPECIES_ARON,330,SPECIES_SUNFLORA,201,Ferrolho,445
SPECIES_CHINCHOU,330,SPECIES_SNUBBULL,218,Siri,446
SPECIES_DELIBIRD,330,SPECIES_MEW,160,Carcará,445
SPECIES_HOUNDOUR,330,SPECIES_POLIWAG,069,Jaguatirica,445
SPECIES_LUVDISC,330,SPECIES_PUPITAR,256,Iemanjá-Pequena,445
SPECIES_PHANPY,330,SPECIES_TOGETIC,185,Babaçu,446
SPECIES_SPOINK,330,SPECIES_FARFETCHD,092,Morcego,404
SPECIES_TEDDIURSA,330,SPECIES_CLEFABLE,045,Antaraú,446
SPECIES_CACNEA,335,SPECIES_BUTTERFREE,021,Cactula,382
SPECIES_TENTACOOL,335,SPECIES_URSARING,226,Golfinho,445
SPECIES_UNOWN,336,SPECIES_HOUNDOUR,237,Lobisomem,445
SPECIES_KOFFING,340,SPECIES_FERALIGATR,169,Trinca-Ferro,447
SPECIES_LOMBRE,340,SPECIES_STARMIE,130,Tucunaré,446
SPECIES_NUZLEAF,340,SPECIES_LANTURN,180,Orquidina,447
SPECIES_SKIPLOOM,340,SPECIES_WARTORTLE,017,Curupim,445
SPECIES_STARYU,340,SPECIES_HORSEA,125,Aruanã,447
SPECIES_VIBRAVA,340,SPECIES_ELECTRIKE,309,Poeirão,446
SPECIES_CLAMPERL,345,SPECIES_JYNX,133,Piau,446
SPECIES_RHYHORN,345,SPECIES_GRAVELER,084,Curicaca,447
SPECIES_PIDGEOTTO,349,SPECIES_LOMBRE,271,Menino-Deus,447
SPECIES_GROWLITHE,350,SPECIES_CASCOON,268,Baiano,447
SPECIES_FARFETCHD,352,SPECIES_CROCONAW,168,Anú,445
SPECIES_LILEEP,355,SPECIES_LILEEP,345,Alvorecer,605
SPECIES_ANORITH,355,SPECIES_ANORITH,347,Estrelinha,648
SPECIES_KABUTO,355,SPECIES_MISDREAVUS,209,Estalactite,444
SPECIES_OMANYTE,355,SPECIES_UNOWN,210,Estalagmite,446
SPECIES_AIPOM,360,SPECIES_SEEDOT,273,Bumba-Meu-Boi,446
SPECIES_ELEKID,360,SPECIES_GRUMPIG,326,Sinal,447
SPECIES_LOUDRED,360,SPECIES_SLUGMA,227,Baleia,447
SPECIES_SPINDA,360,SPECIES_ARON,304,Cão-Bravo,447
SPECIES_FLAAFFY,365,SPECIES_DONPHAN,241,Comadre,448
SPECIES_MAGBY,365,SPECIES_ROSELIA,315,Bituca,447
SPECIES_NIDORINA,365,SPECIES_MINUN,312,Óleoso,447
SPECIES_NIDORINO,365,SPECIES_TENTACOOL,081,Sarué,447
SPECIES_NOSEPASS,375,SPECIES_HYPNO,106,Cangaço,447
SPECIES_CORSOLA,380,SPECIES_CORSOLA,231,Peixe-Espada,444
SPECIES_DELCATTY,380,SPECIES_TYPHLOSION,166,Ema,446
SPECIES_MAWILE,380,SPECIES_QUAGSIRE,204,Manganim,445
SPECIES_SABLEYE,380,SPECIES_TAILLOW,276,Maracatu,446
SPECIES_BEAUTIFLY,385,SPECIES_ARTICUNO,153,Corupião,448
SPECIES_BEEDRILL,385,SPECIES_JOLTEON,144,Caramulão,446
SPECIES_BUTTERFREE,385,SPECIES_MACHOP,075,Abelhinha,446
SPECIES_DUSTOX,385,SPECIES_SNORLAX,152,Traça,446
SPECIES_LICKITUNG,385,SPECIES_MAGNEMITE,090,Camaleão,448
SPECIES_ONIX,385,SPECIES_ESPEON,205,Salitre,447
SPECIES_POLIWHIRL,385,SPECIES_AGGRON,306,Perereca,446
SPECIES_ARIADOS,390,SPECIES_MOLTRES,155,Formigão-Preto,446
SPECIES_GRAVELER,390,SPECIES_LEDIAN,175,João-de-Barro,448
SPECIES_LEDIAN,390,SPECIES_KABUTOPS,150,Vespão,447
SPECIES_WEEPINBELL,390,SPECIES_SILCOON,266,Caboclo-Guerreiro,448
SPECIES_YANMA,390,SPECIES_FLAREON,145,Piolhão,448
SPECIES_GLOOM,395,SPECIES_IGGLYBUFF,183,Cipó,447
SPECIES_PORYGON,395,SPECIES_GENGAR,103,Suçuapara,447
SPECIES_ILLUMISE,400,SPECIES_KADABRA,073,Formigão,447
SPECIES_KADABRA,400,SPECIES_VENONAT,057,Mãe-d'Água,448
SPECIES_ROSELIA,400,SPECIES_TYRANITAR,257,Ossanha,447
SPECIES_VOLBEAT,400,SPECIES_AERODACTYL,151,Marimbondão,449
SPECIES_WAILMER,400,SPECIES_OCTILLERY,233,Pescadão,448
SPECIES_GROVYLE,405,SPECIES_GROVYLE,008,Bicopau,432
SPECIES_COMBUSKEN,405,SPECIES_COMBUSKEN,002,Caramelão,425
SPECIES_MARSHTOMP,405,SPECIES_MARSHTOMP,005,Queribela,434
SPECIES_BAYLEEF,405,SPECIES_MARILL,192,Guaraná,449
SPECIES_CHARMELEON,405,SPECIES_PINECO,213,Vulcanite,447
SPECIES_CROCONAW,405,SPECIES_REMORAID,232,Pargo,446
SPECIES_DUGTRIO,405,SPECIES_ZIGZAGOON,263,Pomba-Gira,448
SPECIES_HAUNTER,405,SPECIES_PHANPY,240,Perna-Cabeluda,446
SPECIES_IVYSAUR,405,SPECIES_NATU,186,Buriti,448
SPECIES_MACHOKE,405,SPECIES_SWELLOW,277,Congada,448
SPECIES_MINUN,405,SPECIES_WAILORD,321,Cabofio,448
SPECIES_MURKROW,405,SPECIES_MANTINE,235,Cuca,447
SPECIES_PARASECT,405,SPECIES_CHARMANDER,013,Tucanhão,437
SPECIES_PLUSLE,405,SPECIES_KRABBY,107,Xangô,449
SPECIES_QUILAVA,405,SPECIES_VILEPLUME,054,Guaraflama,448
SPECIES_TOGETIC,405,SPECIES_DEWGONG,096,Colhereiro,449
SPECIES_WARTORTLE,405,SPECIES_MR_MIME,131,Pacu,448
SPECIES_WOBBUFFET,405,SPECIES_LAIRON,305,Gato-Preto,449
SPECIES_SUDOWOODO,410,SPECIES_SUDOWOODO,194,Milho,447
SPECIES_AZUMARILL,410,SPECIES_SEAKING,128,Traíra,447
SPECIES_MAGCARGO,410,SPECIES_MILTANK,250,Urucum,449
SPECIES_MEDICHAM,410,SPECIES_SUICUNE,254,Pisadeira,446
SPECIES_PONYTA,410,SPECIES_RAIKOU,252,Anhangá-Pitã,448
SPECIES_PUPITAR,410,SPECIES_WOBBUFFET,211,Fóssil,448
SPECIES_SEALEO,410,SPECIES_QUILAVA,165,Jaburu,444
SPECIES_RATICATE,413,SPECIES_MEDITITE,307,Lagartixa,448
SPECIES_MASQUERAIN,414,SPECIES_SABLEYE,302,Baratão,449
SPECIES_DUNSPARCE,415,SPECIES_SENTRET,170,Curió,449
SPECIES_FURRET,415,SPECIES_NUZLEAF,274,Reisado,448
SPECIES_CASTFORM,420,SPECIES_CASTFORM,351,Tuim,305
SPECIES_DRAGONAIR,420,SPECIES_TRAPINCH,328,Grafiteiro,446
SPECIES_LINOONE,420,SPECIES_DRAGONITE,158,Bem-te-vi,447
SPECIES_METANG,420,SPECIES_SPINDA,327,Poste,449
SPECIES_MIGHTYENA,420,SPECIES_NOSEPASS,299,Ratão,448
SPECIES_SHELGON,420,SPECIES_ELECTABUZZ,134,Cascudo,448
SPECIES_CHIMECHO,425,SPECIES_MANECTRIC,310,Ferrugem,448
SPECIES_MAROWAK,425,SPECIES_POLITOED,195,Mandioca,449
SPECIES_SUNFLORA,425,SPECIES_FLAAFFY,189,Açaí,448
SPECIES_WIGGLYTUFF,425,SPECIES_HITMONLEE,115,Ovelhinha,449
SPECIES_GLIGAR,430,SPECIES_CAMERUPT,323,Aluminio,447
SPECIES_LAIRON,430,SPECIES_SUNKERN,200,Ouríço,448
SPECIES_PELIPPER,430,SPECIES_GRANBULL,219,Camarão,448
SPECIES_QUAGSIRE,430,SPECIES_CARVANHA,318,Garrafão,448
SPECIES_QWILFISH,430,SPECIES_PILOSWINE,230,Arraia,448
SPECIES_SNEASEL,430,SPECIES_MAGBY,249,Jenipapo,447
SPECIES_SWELLOW,430,SPECIES_GULPIN,316,Latinha,449
SPECIES_MISDREAVUS,435,SPECIES_HOUNDOOM,238,Corpo-Seco,447
SPECIES_TANGELA,435,SPECIES_CHINCHOU,179,Bromelinha,445
SPECIES_ARBOK,438,SPECIES_RHYHORN,120,Jararaca,448
SPECIES_KECLEON,440,SPECIES_KECLEON,352,Periquitão,439
SPECIES_LUNATONE,440,SPECIES_FORRETRESS,214,Marmim,449
SPECIES_PERSIAN,440,SPECIES_NOCTOWL,173,Choca,449
SPECIES_SEADRA,440,SPECIES_SCYTHER,132,Matrinxã,444
SPECIES_SOLROCK,440,SPECIES_TORKOAL,324,Concretim,449
SPECIES_VIGOROTH,440,SPECIES_LUDICOLO,272,Rei-Momo,449
SPECIES_FEAROW,442,SPECIES_HOOTHOOT,172,Papa-Formiga,447
SPECIES_NOCTOWL,442,SPECIES_DRATINI,156,Beija-flor,448
SPECIES_CHANSEY,450,SPECIES_DUSKULL,355,Capivarão,510
SPECIES_GRANBULL,450,SPECIES_GOREBYSS,368,Pandeirim,460
SPECIES_JUMPLUFF,450,SPECIES_PICHU,181,Vitóriarégia,449
SPECIES_PILOSWINE,450,SPECIES_WOOPER,203,Bauxito,449
SPECIES_SANDSLASH,450,SPECIES_BEEDRILL,024,Tamanduá,470
SPECIES_SEAKING,450,SPECIES_SHUCKLE,222,Águaviva,448
SPECIES_VENOMOTH,450,SPECIES_ALAKAZAM,074,Marimbondo,449
SPECIES_BANETTE,455,SPECIES_KINGDRA,239,Mão-Peluda,449
SPECIES_DUSCLOPS,455,SPECIES_SKARMORY,236,Bicho-Papão,449
SPECIES_GIRAFARIG,455,SPECIES_SMOOCHUM,247,Rudá,449
SPECIES_GOLBAT,455,SPECIES_FEEBAS,349,Aracuã,449
SPECIES_HITMONCHAN,455,SPECIES_WALREIN,365,Cambota,485
SPECIES_HITMONLEE,455,SPECIES_HUNTAIL,367,Atabaque,495
SPECIES_HITMONTOP,455,SPECIES_DUSTOX,269,Cangaceiro,449
SPECIES_JYNX,455,SPECIES_AIPOM,199,Ametista,552
SPECIES_PRIMEAPE,455,SPECIES_TOGEPI,184,Palmito,449
SPECIES_NINJASK,456,SPECIES_IVYSAUR,011,Saúvarco,473
SPECIES_SEVIPER,458,SPECIES_VAPOREON,143,Escorpião,550
SPECIES_ZANGOOSE,458,SPECIES_CHARIZARD,015,Micuiras,468
SPECIES_BRELOOM,460,SPECIES_POOCHYENA,261,Curupira-Ancião,449
SPECIES_CAMERUPT,460,SPECIES_UMBREON,206,Enxofrino,449
SPECIES_DODRIO,460,SPECIES_MEWTWO,159,Urutau,449
SPECIES_LANTURN,460,SPECIES_STARYU,129,Dourado,449
SPECIES_MR_MIME,460,SPECIES_NIDORINO,042,Papagaião,552
SPECIES_SHARPEDO,460,SPECIES_TANGELA,123,Piranha,448
SPECIES_TROPIUS,460,SPECIES_LUVDISC,370,Violeiro,523
SPECIES_ABSOL,465,SPECIES_KAKUNA,023,Onçaléu,524
SPECIES_FORRETRESS,465,SPECIES_PRIMEAPE,066,Caranga,550
SPECIES_MAGNETON,465,SPECIES_SEADRA,126,Poraquê,449
SPECIES_MANTINE,465,SPECIES_GYARADOS,139,Cigarrão,553
SPECIES_SKARMORY,465,SPECIES_METAPOD,020,Sacizinho,461
SPECIES_STANTLER,465,SPECIES_RELICANTH,369,Sanfoninha,510
SPECIES_SWALOT,467,SPECIES_ILLUMISE,314,Chorume,551
SPECIES_CRAWDAUNT,468,SPECIES_NINETALES,047,Sucuri,480
SPECIES_WHISCASH,468,SPECIES_SEALEO,364,Sarará,472
SPECIES_PIDGEOT,469,SPECIES_ARCANINE,068,Gato-do-mato,554
SPECIES_GRUMPIG,470,SPECIES_SHELLDER,099,Mula-sem-Cabeça,550
SPECIES_TORKOAL,470,SPECIES_SQUIRTLE,016,Boitatá,514
SPECIES_XATU,470,SPECIES_ARBOK,033,Araracanga,550
SPECIES_CLEFABLE,473,SPECIES_EXEGGUTOR,112,Cavalgado,554
SPECIES_HARIYAMA,474,SPECIES_CLAMPERL,366,Berimbau,505
SPECIES_CACTURNE,475,SPECIES_WYNAUT,360,Preguiçoso,520
SPECIES_DEWGONG,475,SPECIES_CATERPIE,019,Iaraço,548
SPECIES_KINGLER,475,SPECIES_SWINUB,229,Tubarão,552
SPECIES_MANECTRIC,475,SPECIES_GLALIE,362,Beija-Luz,482
SPECIES_RAICHU,475,SPECIES_TAUROS,137,Vagalume,555
SPECIES_ELECTRODE,480,SPECIES_ELECTRODE,110,Ogum,602
SPECIES_BELLOSSOM,480,SPECIES_MAREEP,188,Cajueiro,552
SPECIES_EXPLOUD,480,SPECIES_MACHAMP,077,Quati,550
SPECIES_GLALIE,480,SPECIES_POLIWRATH,071,Cutia,555
SPECIES_LUDICOLO,480,SPECIES_JIGGLYPUFF,048,Boiuna,600
SPECIES_OCTILLERY,480,SPECIES_DROWZEE,105,Caboclo,551
SPECIES_SHIFTRY,480,SPECIES_BELLOSSOM,191,Cacaueiro,553
SPECIES_VICTREEBEL,480,SPECIES_BLISSEY,251,Caipora,552
SPECIES_VILEPLUME,480,SPECIES_SHUPPET,353,Ararunão,598
SPECIES_HYPNO,483,SPECIES_SHELGON,372,Cordelim,485
SPECIES_GOLEM,485,SPECIES_HARIYAMA,297,Corcovado-Ancião,602
SPECIES_GOREBYSS,485,SPECIES_SANDSHREW,036,Jacarodon,551
SPECIES_HUNTAIL,485,SPECIES_CHANSEY,122,Pirarucu,552
SPECIES_RELICANTH,485,SPECIES_PARASECT,056,Peixeboi,552
SPECIES_RHYDON,485,SPECIES_BAGON,371,Zabumba,515
SPECIES_ALAKAZAM,490,SPECIES_TYROGUE,245,Jaci,603
SPECIES_ALTARIA,490,SPECIES_GEODUDE,083,Aracari,551
SPECIES_ELECTABUZZ,490,SPECIES_CORPHISH,341,Ventania,602
SPECIES_KANGASKHAN,490,SPECIES_HAUNTER,102,Catingueiro,551
SPECIES_MILTANK,490,SPECIES_SLOWBRO,089,Teiú,552
SPECIES_SLOWBRO,490,SPECIES_PIDGEOT,027,Botogaláu,555
SPECIES_SLOWKING,490,SPECIES_SCIZOR,221,Polvão,552
SPECIES_TAUROS,490,SPECIES_MAROWAK,114,Zebu,553
SPECIES_WEEZING,490,SPECIES_VICTREEBEL,080,Cangambá,551
SPECIES_ARMALDO,495,SPECIES_CLOYSTER,100,Corcovado,604
SPECIES_CRADILY,495,SPECIES_EXPLOUD,295,Muiraquitã,604
SPECIES_KABUTOPS,495,SPECIES_FLYGON,330,Jaciana,602
SPECIES_MAGMAR,495,SPECIES_GLOOM,053,Guará,552
SPECIES_NIDOKING,495,SPECIES_DELCATTY,301,Pombão,553
SPECIES_NIDOQUEEN,495,SPECIES_WEEZING,119,Cascavão,552
SPECIES_OMASTAR,495,SPECIES_SKIPLOOM,197,Rochão,554
SPECIES_AMPHAROS,500,SPECIES_CACNEA,331,Tupanaú,604
SPECIES_CLAYDOL,500,SPECIES_AZURILL,298,Cristo,604
SPECIES_DONPHAN,500,SPECIES_SPEAROW,030,Tatuçu,555
SPECIES_GENGAR,500,SPECIES_SLAKING,289,Anhangaú,603
SPECIES_GOLDUCK,500,SPECIES_CLAYDOL,344,Marulho,603
SPECIES_HERACROSS,500,SPECIES_DITTO,141,Louvadeus,552
SPECIES_HOUNDOOM,500,SPECIES_STANTLER,243,Jurupari,604
SPECIES_MUK,500,SPECIES_RAPIDASH,087,Cururu,554
SPECIES_PINSIR,500,SPECIES_OMASTAR,148,Grilão,555
SPECIES_POLITOED,500,SPECIES_TEDDIURSA,225,Tartaruga,555
SPECIES_POLIWRATH,500,SPECIES_KINGLER,108,Iemanjá,604
SPECIES_RAPIDASH,500,SPECIES_SWABLU,333,Kuarahy,603
SPECIES_SCIZOR,500,SPECIES_CHIMECHO,358,Tamanduão,545
SPECIES_SCYTHER,500,SPECIES_GOLBAT,051,Morphália,553
SPECIES_URSARING,500,SPECIES_CLEFAIRY,044,Anta,550
SPECIES_WAILORD,500,SPECIES_BRELOOM,286,Iara-Mãe,602
SPECIES_MACHAMP,505,SPECIES_PSYDUCK,063,Pregarcanjo,555
SPECIES_NINETALES,505,SPECIES_GARDEVOIR,282,Draguará-Alfa,605
SPECIES_SHUCKLE,505,SPECIES_SALAMENCE,373,Rendeira,515
SPECIES_STEELIX,510,SPECIES_CRAWDAUNT,342,Terraão,604
SPECIES_AERODACTYL,515,SPECIES_YANMA,202,Diamantina,605
SPECIES_PORYGON2,515,SPECIES_LUGIA,258,Oxalá,607
SPECIES_TENTACRUEL,515,SPECIES_SURSKIT,283,Terolibra-Rainha,607
SPECIES_GARDEVOIR,518,SPECIES_WURMPLE,265,Preto-Velho,604
SPECIES_EXEGGUTOR,520,SPECIES_NIDORINA,039,Bicho-Preguiça,551
SPECIES_FLYGON,520,SPECIES_SLOWKING,208,Boneco,554
SPECIES_STARMIE,520,SPECIES_BARBOACH,339,Chuvão,604
SPECIES_CLOYSTER,525,SPECIES_KIRLIA,281,Pirarumbá,603
SPECIES_ESPEON,525,SPECIES_GIRAFARIG,212,Meteorito,603
SPECIES_FLAREON,525,SPECIES_WHISCASH,340,Solzão,606
SPECIES_JOLTEON,525,SPECIES_SMEARGLE,244,Tupã,606
SPECIES_MEGANIUM,525,SPECIES_CROBAT,178,Jequitibá,554
SPECIES_UMBREON,525,SPECIES_CELEBI,260,Sacipererê,605
SPECIES_VAPOREON,525,SPECIES_WHISMUR,293,Ipupiara,605
SPECIES_VENUSAUR,525,SPECIES_SLAKOTH,287,Curupira-Rei,604
SPECIES_SCEPTILE,530,SPECIES_SCEPTILE,009,Petropico,574
SPECIES_BLAZIKEN,530,SPECIES_BLAZIKEN,003,Draguará,595
SPECIES_AGGRON,530,SPECIES_MASQUERAIN,284,Petropico-Ancião,604
SPECIES_BLASTOISE,530,SPECIES_STEELIX,217,Guaiamum,555
SPECIES_FERALIGATR,530,SPECIES_DUGTRIO,060,Mandubé,555
SPECIES_WALREIN,530,SPECIES_SEEL,095,Tuiuiú,553
SPECIES_CHARIZARD,534,SPECIES_HITMONTOP,246,Guaraci,605
SPECIES_TYPHLOSION,534,SPECIES_BALTOY,343,Fogaréu,606
SPECIES_SWAMPERT,535,SPECIES_SWAMPERT,006,Terolibra,595
SPECIES_CROBAT,535,SPECIES_BAYLEEF,162,Urubu,555
SPECIES_LAPRAS,535,SPECIES_NINJASK,291,Cobra-Norato,607
SPECIES_BLISSEY,540,SPECIES_NINCADA,290,Muirá-Kytã,605
SPECIES_GYARADOS,540,SPECIES_DODUO,093,Vampiro,555
SPECIES_KINGDRA,540,SPECIES_RALTS,280,Sucuriaçu,607
SPECIES_MILOTIC,540,SPECIES_CACTURNE,332,Iaraú,606
SPECIES_SNORLAX,540,SPECIES_LARVITAR,255,Zumbi,606
SPECIES_ARCANINE,555,SPECIES_SHROOMISH,285,Boitatá-Puro,606
SPECIES_REGIROCK,580,SPECIES_REGIROCK,377,Piraruaçu,630
