id,name,engine_species,cry_id,family_root,family_stage,status,asset
027,Botogaláu,SPECIES_PIDGEOT,CRY_PIDGEOT,025,2,arauna-custom-synth,sound/direct_sound_samples/cries/pidgeot.wav
028,Tatuim,SPECIES_RATTATA,CRY_RATTATA,028,0,arauna-custom-synth,sound/direct_sound_samples/cries/rattata.wav
029,Tatubola,SPECIES_RATICATE,CRY_RATICATE,028,1,arauna-custom-synth,sound/direct_sound_samples/cries/raticate.wav
030,Tatuçu,SPECIES_SPEAROW,CRY_SPEAROW,028,2,arauna-custom-synth,sound/direct_sound_samples/cries/spearow.wav
031,Ararinha,SPECIES_FEAROW,CRY_FEAROW,031,0,arauna-custom-synth,sound/direct_sound_samples/cries/fearow.wav
032,Arará,SPECIES_EKANS,CRY_EKANS,031,1,arauna-custom-synth,sound/direct_sound_samples/cries/ekans.wav
033,Araracanga,SPECIES_ARBOK,CRY_ARBOK,031,2,arauna-custom-synth,sound/direct_sound_samples/cries/arbok.wav
034,Jacarim,SPECIES_PIKACHU,CRY_PIKACHU,034,0,arauna-custom-synth,sound/direct_sound_samples/cries/pikachu.wav
035,Jacarão,SPECIES_RAICHU,CRY_RAICHU,034,1,arauna-custom-synth,sound/direct_sound_samples/cries/raichu.wav
036,Jacarodon,SPECIES_SANDSHREW,CRY_SANDSHREW,034,2,arauna-custom-synth,sound/direct_sound_samples/cries/sandshrew.wav
037,Preguicim,SPECIES_SANDSLASH,CRY_SANDSLASH,037,0,arauna-custom-synth,sound/direct_sound_samples/cries/sandslash.wav
038,Preguicão,SPECIES_NIDORAN_F,CRY_NIDORAN_F,037,1,arauna-custom-synth,sound/direct_sound_samples/cries/nidoran_f.wav
039,Bicho-Preguiça,SPECIES_NIDORINA,CRY_NIDORINA,037,2,arauna-custom-synth,sound/direct_sound_samples/cries/nidorina.wav
040,Papaguim,SPECIES_NIDOQUEEN,CRY_NIDOQUEEN,040,0,arauna-custom-synth,sound/direct_sound_samples/cries/nidoqueen.wav
041,Papagaio,SPECIES_NIDORAN_M,CRY_NIDORAN_M,040,1,arauna-custom-synth,sound/direct_sound_samples/cries/nidoran_m.wav
042,Papagaião,SPECIES_NIDORINO,CRY_NIDORINO,040,2,arauna-custom-synth,sound/direct_sound_samples/cries/nidorino.wav
043,Antinha,SPECIES_NIDOKING,CRY_NIDOKING,043,0,arauna-custom-synth,sound/direct_sound_samples/cries/nidoking.wav
044,Anta,SPECIES_CLEFAIRY,CRY_CLEFAIRY,043,1,arauna-custom-synth,sound/direct_sound_samples/cries/clefairy.wav
045,Antaraú,SPECIES_CLEFABLE,CRY_CLEFABLE,045,0,arauna-custom-synth,sound/direct_sound_samples/cries/clefable.wav
046,Sucurim,SPECIES_VULPIX,CRY_VULPIX,046,0,arauna-custom-synth,sound/direct_sound_samples/cries/vulpix.wav
047,Sucuri,SPECIES_NINETALES,CRY_NINETALES,046,1,arauna-custom-synth,sound/direct_sound_samples/cries/ninetales.wav
048,Boiuna,SPECIES_JIGGLYPUFF,CRY_JIGGLYPUFF,046,2,arauna-custom-synth,sound/direct_sound_samples/cries/jigglypuff.wav
049,Borbolim,SPECIES_WIGGLYTUFF,CRY_WIGGLYTUFF,049,0,arauna-custom-synth,sound/direct_sound_samples/cries/wigglytuff.wav
050,Casulete,SPECIES_ZUBAT,CRY_ZUBAT,049,1,arauna-custom-synth,sound/direct_sound_samples/cries/zubat.wav
051,Morphália,SPECIES_GOLBAT,CRY_GOLBAT,049,2,arauna-custom-synth,sound/direct_sound_samples/cries/golbat.wav
052,Guaracim,SPECIES_ODDISH,CRY_ODDISH,052,0,arauna-custom-synth,sound/direct_sound_samples/cries/oddish.wav
053,Guará,SPECIES_GLOOM,CRY_GLOOM,052,1,arauna-custom-synth,sound/direct_sound_samples/cries/gloom.wav
054,Guaraflama,SPECIES_VILEPLUME,CRY_VILEPLUME,054,0,arauna-custom-synth,sound/direct_sound_samples/cries/vileplume.wav
055,Peixim,SPECIES_PARAS,CRY_PARAS,055,0,arauna-custom-synth,sound/direct_sound_samples/cries/paras.wav
056,Peixeboi,SPECIES_PARASECT,CRY_PARASECT,055,1,arauna-custom-synth,sound/direct_sound_samples/cries/parasect.wav
057,Mãe-d'Água,SPECIES_VENONAT,CRY_VENONAT,057,0,arauna-custom-synth,sound/direct_sound_samples/cries/venonat.wav
058,Mandim,SPECIES_VENOMOTH,CRY_VENOMOTH,058,0,arauna-custom-synth,sound/direct_sound_samples/cries/venomoth.wav
059,Mandí,SPECIES_DIGLETT,CRY_DIGLETT,058,1,arauna-custom-synth,sound/direct_sound_samples/cries/diglett.wav
060,Mandubé,SPECIES_DUGTRIO,CRY_DUGTRIO,058,2,arauna-custom-synth,sound/direct_sound_samples/cries/dugtrio.wav
061,Preguim,SPECIES_MEOWTH,CRY_MEOWTH,061,0,arauna-custom-synth,sound/direct_sound_samples/cries/meowth.wav
062,Prego,SPECIES_PERSIAN,CRY_PERSIAN,061,1,arauna-custom-synth,sound/direct_sound_samples/cries/persian.wav
063,Pregarcanjo,SPECIES_PSYDUCK,CRY_PSYDUCK,061,2,arauna-custom-synth,sound/direct_sound_samples/cries/psyduck.wav
064,Aranin,SPECIES_GOLDUCK,CRY_GOLDUCK,064,0,arauna-custom-synth,sound/direct_sound_samples/cries/golduck.wav
065,Caraninha,SPECIES_MANKEY,CRY_MANKEY,064,1,arauna-custom-synth,sound/direct_sound_samples/cries/mankey.wav
066,Caranga,SPECIES_PRIMEAPE,CRY_PRIMEAPE,064,2,arauna-custom-synth,sound/direct_sound_samples/cries/primeape.wav
067,Gatim,SPECIES_GROWLITHE,CRY_GROWLITHE,067,0,arauna-custom-synth,sound/direct_sound_samples/cries/growlithe.wav
068,Gato-do-mato,SPECIES_ARCANINE,CRY_ARCANINE,067,1,arauna-custom-synth,sound/direct_sound_samples/cries/arcanine.wav
069,Jaguatirica,SPECIES_POLIWAG,CRY_POLIWAG,069,0,arauna-custom-synth,sound/direct_sound_samples/cries/poliwag.wav
070,Cutim,SPECIES_POLIWHIRL,CRY_POLIWHIRL,070,0,arauna-custom-synth,sound/direct_sound_samples/cries/poliwhirl.wav
071,Cutia,SPECIES_POLIWRATH,CRY_POLIWRATH,070,1,arauna-custom-synth,sound/direct_sound_samples/cries/poliwrath.wav
072,Paca,SPECIES_ABRA,CRY_ABRA,072,0,arauna-custom-synth,sound/direct_sound_samples/cries/abra.wav
073,Formigão,SPECIES_KADABRA,CRY_KADABRA,073,0,arauna-custom-synth,sound/direct_sound_samples/cries/kadabra.wav
074,Marimbondo,SPECIES_ALAKAZAM,CRY_ALAKAZAM,074,0,arauna-custom-synth,sound/direct_sound_samples/cries/alakazam.wav
075,Abelhinha,SPECIES_MACHOP,CRY_MACHOP,075,0,arauna-custom-synth,sound/direct_sound_samples/cries/machop.wav
076,Quatim,SPECIES_MACHOKE,CRY_MACHOKE,076,0,arauna-custom-synth,sound/direct_sound_samples/cries/machoke.wav
077,Quati,SPECIES_MACHAMP,CRY_MACHAMP,076,1,arauna-custom-synth,sound/direct_sound_samples/cries/machamp.wav
078,Coati,SPECIES_BELLSPROUT,CRY_BELLSPROUT,078,0,arauna-custom-synth,sound/direct_sound_samples/cries/bellsprout.wav
079,Gambá,SPECIES_WEEPINBELL,CRY_WEEPINBELL,079,0,arauna-custom-synth,sound/direct_sound_samples/cries/weepinbell.wav
080,Cangambá,SPECIES_VICTREEBEL,CRY_VICTREEBEL,079,1,arauna-custom-synth,sound/direct_sound_samples/cries/victreebel.wav
081,Sarué,SPECIES_TENTACOOL,CRY_TENTACOOL,081,0,arauna-custom-synth,sound/direct_sound_samples/cries/tentacool.wav
082,Tuquinho,SPECIES_TENTACRUEL,CRY_TENTACRUEL,082,0,arauna-custom-synth,sound/direct_sound_samples/cries/tentacruel.wav
083,Aracari,SPECIES_GEODUDE,CRY_GEODUDE,082,1,arauna-custom-synth,sound/direct_sound_samples/cries/geodude.wav
084,Curicaca,SPECIES_GRAVELER,CRY_GRAVELER,084,0,arauna-custom-synth,sound/direct_sound_samples/cries/graveler.wav
085,Sapim,SPECIES_GOLEM,CRY_GOLEM,085,0,arauna-custom-synth,sound/direct_sound_samples/cries/golem.wav
086,Sapão,SPECIES_PONYTA,CRY_PONYTA,085,1,arauna-custom-synth,sound/direct_sound_samples/cries/ponyta.wav
087,Cururu,SPECIES_RAPIDASH,CRY_RAPIDASH,085,2,arauna-custom-synth,sound/direct_sound_samples/cries/rapidash.wav
088,Teiuzim,SPECIES_SLOWPOKE,CRY_SLOWPOKE,088,0,arauna-custom-synth,sound/direct_sound_samples/cries/slowpoke.wav
089,Teiú,SPECIES_SLOWBRO,CRY_SLOWBRO,088,1,arauna-custom-synth,sound/direct_sound_samples/cries/slowbro.wav
090,Camaleão,SPECIES_MAGNEMITE,CRY_MAGNEMITE,090,0,arauna-custom-synth,sound/direct_sound_samples/cries/magnemite.wav
091,Morcim,SPECIES_MAGNETON,CRY_MAGNETON,091,0,arauna-custom-synth,sound/direct_sound_samples/cries/magneton.wav
092,Morcego,SPECIES_FARFETCHD,CRY_FARFETCHD,091,1,arauna-custom-synth,sound/direct_sound_samples/cries/farfetchd.wav
093,Vampiro,SPECIES_DODUO,CRY_DODUO,091,2,arauna-custom-synth,sound/direct_sound_samples/cries/doduo.wav
094,Piuiuim,SPECIES_DODRIO,CRY_DODRIO,094,0,arauna-custom-synth,sound/direct_sound_samples/cries/dodrio.wav
095,Tuiuiú,SPECIES_SEEL,CRY_SEEL,094,1,arauna-custom-synth,sound/direct_sound_samples/cries/seel.wav
096,Colhereiro,SPECIES_DEWGONG,CRY_DEWGONG,096,0,arauna-custom-synth,sound/direct_sound_samples/cries/dewgong.wav
097,Mulinha,SPECIES_GRIMER,CRY_GRIMER,097,0,arauna-custom-synth,sound/direct_sound_samples/cries/grimer.wav
098,Mula,SPECIES_MUK,CRY_MUK,097,1,arauna-custom-synth,sound/direct_sound_samples/cries/muk.wav
099,Mula-sem-Cabeça,SPECIES_SHELLDER,CRY_SHELLDER,097,2,arauna-custom-synth,sound/direct_sound_samples/cries/shellder.wav
100,Corcovado,SPECIES_CLOYSTER,CRY_CLOYSTER,100,0,arauna-custom-synth,sound/direct_sound_samples/cries/cloyster.wav
101,Cerválo,SPECIES_GASTLY,CRY_GASTLY,101,0,arauna-custom-synth,sound/direct_sound_samples/cries/gastly.wav
102,Catingueiro,SPECIES_HAUNTER,CRY_HAUNTER,101,1,arauna-custom-synth,sound/direct_sound_samples/cries/haunter.wav
103,Suçuapara,SPECIES_GENGAR,CRY_GENGAR,103,0,arauna-custom-synth,sound/direct_sound_samples/cries/gengar.wav
104,Cabocim,SPECIES_ONIX,CRY_ONIX,104,0,arauna-custom-synth,sound/direct_sound_samples/cries/onix.wav
105,Caboclo,SPECIES_DROWZEE,CRY_DROWZEE,104,1,arauna-custom-synth,sound/direct_sound_samples/cries/drowzee.wav
106,Cangaço,SPECIES_HYPNO,CRY_HYPNO,106,0,arauna-custom-synth,sound/direct_sound_samples/cries/hypno.wav
107,Xangô,SPECIES_KRABBY,CRY_KRABBY,107,0,arauna-custom-synth,sound/direct_sound_samples/cries/krabby.wav
108,Iemanjá,SPECIES_KINGLER,CRY_KINGLER,108,0,arauna-custom-synth,sound/direct_sound_samples/cries/kingler.wav
109,Oxum,SPECIES_VOLTORB,CRY_VOLTORB,109,0,arauna-custom-synth,sound/direct_sound_samples/cries/voltorb.wav
110,Ogum,SPECIES_ELECTRODE,CRY_ELECTRODE,110,0,arauna-custom-synth,sound/direct_sound_samples/cries/electrode.wav
111,Cavalim,SPECIES_EXEGGCUTE,CRY_EXEGGCUTE,111,0,arauna-custom-synth,sound/direct_sound_samples/cries/exeggcute.wav
112,Cavalgado,SPECIES_EXEGGUTOR,CRY_EXEGGUTOR,111,1,arauna-custom-synth,sound/direct_sound_samples/cries/exeggutor.wav
113,Zebuim,SPECIES_CUBONE,CRY_CUBONE,113,0,arauna-custom-synth,sound/direct_sound_samples/cries/cubone.wav
114,Zebu,SPECIES_MAROWAK,CRY_MAROWAK,113,1,arauna-custom-synth,sound/direct_sound_samples/cries/marowak.wav
115,Ovelhinha,SPECIES_HITMONLEE,CRY_HITMONLEE,115,0,arauna-custom-synth,sound/direct_sound_samples/cries/hitmonlee.wav
116,Cabrita,SPECIES_HITMONCHAN,CRY_HITMONCHAN,116,0,arauna-custom-synth,sound/direct_sound_samples/cries/hitmonchan.wav
117,Chocalhão,SPECIES_LICKITUNG,CRY_LICKITUNG,117,0,arauna-custom-synth,sound/direct_sound_samples/cries/lickitung.wav
118,Cascavelim,SPECIES_KOFFING,CRY_KOFFING,117,1,arauna-custom-synth,sound/direct_sound_samples/cries/koffing.wav
119,Cascavão,SPECIES_WEEZING,CRY_WEEZING,117,2,arauna-custom-synth,sound/direct_sound_samples/cries/weezing.wav
120,Jararaca,SPECIES_RHYHORN,CRY_RHYHORN,120,0,arauna-custom-synth,sound/direct_sound_samples/cries/rhyhorn.wav
121,Pirarim,SPECIES_RHYDON,CRY_RHYDON,121,0,arauna-custom-synth,sound/direct_sound_samples/cries/rhydon.wav
122,Pirarucu,SPECIES_CHANSEY,CRY_CHANSEY,121,1,arauna-custom-synth,sound/direct_sound_samples/cries/chansey.wav
123,Piranha,SPECIES_TANGELA,CRY_TANGELA,123,0,arauna-custom-synth,sound/direct_sound_samples/cries/tangela.wav
124,Tambaqui,SPECIES_KANGASKHAN,CRY_KANGASKHAN,124,0,arauna-custom-synth,sound/direct_sound_samples/cries/kangaskhan.wav
125,Aruanã,SPECIES_HORSEA,CRY_HORSEA,125,0,arauna-custom-synth,sound/direct_sound_samples/cries/horsea.wav
126,Poraquê,SPECIES_SEADRA,CRY_SEADRA,126,0,arauna-custom-synth,sound/direct_sound_samples/cries/seadra.wav
127,Curimbatá,SPECIES_GOLDEEN,CRY_GOLDEEN,127,0,arauna-custom-synth,sound/direct_sound_samples/cries/goldeen.wav
128,Traíra,SPECIES_SEAKING,CRY_SEAKING,128,0,arauna-custom-synth,sound/direct_sound_samples/cries/seaking.wav
129,Dourado,SPECIES_STARYU,CRY_STARYU,129,0,arauna-custom-synth,sound/direct_sound_samples/cries/staryu.wav
130,Tucunaré,SPECIES_STARMIE,CRY_STARMIE,130,0,arauna-custom-synth,sound/direct_sound_samples/cries/starmie.wav
131,Pacu,SPECIES_MR_MIME,CRY_MR_MIME,131,0,arauna-custom-synth,sound/direct_sound_samples/cries/mr_mime.wav
132,Matrinxã,SPECIES_SCYTHER,CRY_SCYTHER,132,0,arauna-custom-synth,sound/direct_sound_samples/cries/scyther.wav
133,Piau,SPECIES_JYNX,CRY_JYNX,133,0,arauna-custom-synth,sound/direct_sound_samples/cries/jynx.wav
134,Cascudo,SPECIES_ELECTABUZZ,CRY_ELECTABUZZ,134,0,arauna-custom-synth,sound/direct_sound_samples/cries/electabuzz.wav
135,Acará,SPECIES_MAGMAR,CRY_MAGMAR,135,0,arauna-custom-synth,sound/direct_sound_samples/cries/magmar.wav
136,Vagalumim,SPECIES_PINSIR,CRY_PINSIR,136,0,arauna-custom-synth,sound/direct_sound_samples/cries/pinsir.wav
137,Vagalume,SPECIES_TAUROS,CRY_TAUROS,136,1,arauna-custom-synth,sound/direct_sound_samples/cries/tauros.wav
138,Cigarrinho,SPECIES_MAGIKARP,CRY_MAGIKARP,138,0,arauna-custom-synth,sound/direct_sound_samples/cries/magikarp.wav
139,Cigarrão,SPECIES_GYARADOS,CRY_GYARADOS,138,1,arauna-custom-synth,sound/direct_sound_samples/cries/gyarados.wav
140,Louvadinha,SPECIES_LAPRAS,CRY_LAPRAS,140,0,arauna-custom-synth,sound/direct_sound_samples/cries/lapras.wav
141,Louvadeus,SPECIES_DITTO,CRY_DITTO,140,1,arauna-custom-synth,sound/direct_sound_samples/cries/ditto.wav
142,Escorpim,SPECIES_EEVEE,CRY_EEVEE,142,0,arauna-custom-synth,sound/direct_sound_samples/cries/eevee.wav
143,Escorpião,SPECIES_VAPOREON,CRY_VAPOREON,142,1,arauna-custom-synth,sound/direct_sound_samples/cries/vaporeon.wav
144,Caramulão,SPECIES_JOLTEON,CRY_JOLTEON,144,0,arauna-custom-synth,sound/direct_sound_samples/cries/jolteon.wav
145,Piolhão,SPECIES_FLAREON,CRY_FLAREON,145,0,arauna-custom-synth,sound/direct_sound_samples/cries/flareon.wav
146,Barata,SPECIES_PORYGON,CRY_PORYGON,146,0,arauna-custom-synth,sound/direct_sound_samples/cries/porygon.wav
147,Grilim,SPECIES_OMANYTE,CRY_OMANYTE,147,0,arauna-custom-synth,sound/direct_sound_samples/cries/omanyte.wav
148,Grilão,SPECIES_OMASTAR,CRY_OMASTAR,147,1,arauna-custom-synth,sound/direct_sound_samples/cries/omastar.wav
149,Aranhão,SPECIES_KABUTO,CRY_KABUTO,149,0,arauna-custom-synth,sound/direct_sound_samples/cries/kabuto.wav
150,Vespão,SPECIES_KABUTOPS,CRY_KABUTOPS,150,0,arauna-custom-synth,sound/direct_sound_samples/cries/kabutops.wav
151,Marimbondão,SPECIES_AERODACTYL,CRY_AERODACTYL,151,0,arauna-custom-synth,sound/direct_sound_samples/cries/aerodactyl.wav
152,Traça,SPECIES_SNORLAX,CRY_SNORLAX,152,0,arauna-custom-synth,sound/direct_sound_samples/cries/snorlax.wav
153,Corupião,SPECIES_ARTICUNO,CRY_ARTICUNO,153,0,arauna-custom-synth,sound/direct_sound_samples/cries/articuno.wav
154,Cupinzim,SPECIES_ZAPDOS,CRY_ZAPDOS,154,0,arauna-custom-synth,sound/direct_sound_samples/cries/zapdos.wav
155,Formigão-Preto,SPECIES_MOLTRES,CRY_MOLTRES,155,0,arauna-custom-synth,sound/direct_sound_samples/cries/moltres.wav
156,Beija-flor,SPECIES_DRATINI,CRY_DRATINI,156,0,arauna-custom-synth,sound/direct_sound_samples/cries/dratini.wav
157,Sabiá,SPECIES_DRAGONAIR,CRY_DRAGONAIR,157,0,arauna-custom-synth,sound/direct_sound_samples/cries/dragonair.wav
158,Bem-te-vi,SPECIES_DRAGONITE,CRY_DRAGONITE,158,0,arauna-custom-synth,sound/direct_sound_samples/cries/dragonite.wav
159,Urutau,SPECIES_MEWTWO,CRY_MEWTWO,159,0,arauna-custom-synth,sound/direct_sound_samples/cries/mewtwo.wav
160,Carcará,SPECIES_MEW,CRY_MEW,160,0,arauna-custom-synth,sound/direct_sound_samples/cries/mew.wav
161,Gavião,SPECIES_CHIKORITA,CRY_CHIKORITA,161,0,arauna-custom-synth,sound/direct_sound_samples/cries/chikorita.wav
162,Urubu,SPECIES_BAYLEEF,CRY_BAYLEEF,162,0,arauna-custom-synth,sound/direct_sound_samples/cries/bayleef.wav
163,Corurupim,SPECIES_MEGANIUM,CRY_MEGANIUM,163,1,arauna-custom-synth,sound/direct_sound_samples/cries/meganium.wav
164,Coruja,SPECIES_CYNDAQUIL,CRY_CYNDAQUIL,164,0,arauna-custom-synth,sound/direct_sound_samples/cries/cyndaquil.wav
165,Jaburu,SPECIES_QUILAVA,CRY_QUILAVA,165,0,arauna-custom-synth,sound/direct_sound_samples/cries/quilava.wav
166,Ema,SPECIES_TYPHLOSION,CRY_TYPHLOSION,166,0,arauna-custom-synth,sound/direct_sound_samples/cries/typhlosion.wav
167,Seriema,SPECIES_TOTODILE,CRY_TOTODILE,167,0,arauna-custom-synth,sound/direct_sound_samples/cries/totodile.wav
168,Anú,SPECIES_CROCONAW,CRY_CROCONAW,168,0,arauna-custom-synth,sound/direct_sound_samples/cries/croconaw.wav
169,Trinca-Ferro,SPECIES_FERALIGATR,CRY_FERALIGATR,169,0,arauna-custom-synth,sound/direct_sound_samples/cries/feraligatr.wav
170,Curió,SPECIES_SENTRET,CRY_SENTRET,170,0,arauna-custom-synth,sound/direct_sound_samples/cries/sentret.wav
171,Sanhaço,SPECIES_FURRET,CRY_FURRET,171,0,arauna-custom-synth,sound/direct_sound_samples/cries/furret.wav
172,Papa-Formiga,SPECIES_HOOTHOOT,CRY_HOOTHOOT,172,0,arauna-custom-synth,sound/direct_sound_samples/cries/hoothoot.wav
173,Choca,SPECIES_NOCTOWL,CRY_NOCTOWL,173,0,arauna-custom-synth,sound/direct_sound_samples/cries/noctowl.wav
174,Bacurau,SPECIES_LEDYBA,CRY_LEDYBA,174,0,arauna-custom-synth,sound/direct_sound_samples/cries/ledyba.wav
175,João-de-Barro,SPECIES_LEDIAN,CRY_LEDIAN,175,0,arauna-custom-synth,sound/direct_sound_samples/cries/ledian.wav
176,Sementim,SPECIES_SPINARAK,CRY_SPINARAK,176,0,arauna-custom-synth,sound/direct_sound_samples/cries/spinarak.wav
177,Muda,SPECIES_ARIADOS,CRY_ARIADOS,176,1,arauna-custom-synth,sound/direct_sound_samples/cries/ariados.wav
178,Jequitibá,SPECIES_CROBAT,CRY_CROBAT,176,2,arauna-custom-synth,sound/direct_sound_samples/cries/crobat.wav
179,Bromelinha,SPECIES_CHINCHOU,CRY_CHINCHOU,179,0,arauna-custom-synth,sound/direct_sound_samples/cries/chinchou.wav
180,Orquidina,SPECIES_LANTURN,CRY_LANTURN,180,0,arauna-custom-synth,sound/direct_sound_samples/cries/lanturn.wav
181,Vitóriarégia,SPECIES_PICHU,CRY_PICHU,181,0,arauna-custom-synth,sound/direct_sound_samples/cries/pichu.wav
182,Ipê,SPECIES_CLEFFA,CRY_CLEFFA,182,0,arauna-custom-synth,sound/direct_sound_samples/cries/cleffa.wav
183,Cipó,SPECIES_IGGLYBUFF,CRY_IGGLYBUFF,183,0,arauna-custom-synth,sound/direct_sound_samples/cries/igglybuff.wav
184,Palmito,SPECIES_TOGEPI,CRY_TOGEPI,184,0,arauna-custom-synth,sound/direct_sound_samples/cries/togepi.wav
185,Babaçu,SPECIES_TOGETIC,CRY_TOGETIC,185,0,arauna-custom-synth,sound/direct_sound_samples/cries/togetic.wav
186,Buriti,SPECIES_NATU,CRY_NATU,186,0,arauna-custom-synth,sound/direct_sound_samples/cries/natu.wav
187,Cajuzim,SPECIES_XATU,CRY_XATU,187,0,arauna-custom-synth,sound/direct_sound_samples/cries/xatu.wav
188,Cajueiro,SPECIES_MAREEP,CRY_MAREEP,187,1,arauna-custom-synth,sound/direct_sound_samples/cries/mareep.wav
189,Açaí,SPECIES_FLAAFFY,CRY_FLAAFFY,189,0,arauna-custom-synth,sound/direct_sound_samples/cries/flaaffy.wav
190,Cacauim,SPECIES_AMPHAROS,CRY_AMPHAROS,190,0,arauna-custom-synth,sound/direct_sound_samples/cries/ampharos.wav
191,Cacaueiro,SPECIES_BELLOSSOM,CRY_BELLOSSOM,190,1,arauna-custom-synth,sound/direct_sound_samples/cries/bellossom.wav
192,Guaraná,SPECIES_MARILL,CRY_MARILL,192,0,arauna-custom-synth,sound/direct_sound_samples/cries/marill.wav
193,Mate,SPECIES_AZUMARILL,CRY_AZUMARILL,193,0,arauna-custom-synth,sound/direct_sound_samples/cries/azumarill.wav
194,Milho,SPECIES_SUDOWOODO,CRY_SUDOWOODO,194,0,arauna-custom-synth,sound/direct_sound_samples/cries/sudowoodo.wav
195,Mandioca,SPECIES_POLITOED,CRY_POLITOED,195,0,arauna-custom-synth,sound/direct_sound_samples/cries/politoed.wav
196,Pedrinha,SPECIES_HOPPIP,CRY_HOPPIP,196,0,arauna-custom-synth,sound/direct_sound_samples/cries/hoppip.wav
197,Rochão,SPECIES_SKIPLOOM,CRY_SKIPLOOM,196,1,arauna-custom-synth,sound/direct_sound_samples/cries/skiploom.wav
198,Cristalim,SPECIES_JUMPLUFF,CRY_JUMPLUFF,198,0,arauna-custom-synth,sound/direct_sound_samples/cries/jumpluff.wav
199,Ametista,SPECIES_AIPOM,CRY_AIPOM,198,1,arauna-custom-synth,sound/direct_sound_samples/cries/aipom.wav
200,Ouríço,SPECIES_SUNKERN,CRY_SUNKERN,200,0,arauna-custom-synth,sound/direct_sound_samples/cries/sunkern.wav
201,Ferrolho,SPECIES_SUNFLORA,CRY_SUNFLORA,201,0,arauna-custom-synth,sound/direct_sound_samples/cries/sunflora.wav
