id,name,species,types,source_region,biome,availability,tier,stage,evolution_level,bst,methods
043,Antinha,SPECIES_NIDOKING,normal,Amazônia de Arauana,amazon,wild,early,base,0,286,land
044,Anta,SPECIES_CLEFAIRY,normal/water,Amazônia de Arauana,amazon,wild,late,final,22,550,fishing/land/water
045,Antaraú,SPECIES_CLEFABLE,normal/water,Amazônia de Arauana,amazon,wild,mid,standalone,0,446,fishing/land/water
046,Sucurim,SPECIES_VULPIX,water/poison,Rios de Arauana,rivers,wild,early,base,0,286,fishing/land/water
047,Sucuri,SPECIES_NINETALES,water/poison,Rios de Arauana,rivers,wild,early,middle,36,480,fishing/land/water
048,Boiuna,SPECIES_JIGGLYPUFF,water/dragon,Amazônia de Arauana,amazon,wild,late,final,55,600,fishing/land/water
049,Borbolim,SPECIES_WIGGLYTUFF,bug,Mata Atlântica de Arauana,atlantic_forest,wild,early,base,0,287,land
050,Casulete,SPECIES_ZUBAT,bug,Mata Atlântica de Arauana,atlantic_forest,wild,early,middle,22,283,land
051,Morphália,SPECIES_GOLBAT,bug/fairy,Mata Atlântica de Arauana,atlantic_forest,wild,late,final,30,553,land
052,Guaracim,SPECIES_ODDISH,fire,Cerrado de Arauana,cerrado,wild,early,base,0,287,land
053,Guará,SPECIES_GLOOM,fire/normal,Cerrado de Arauana,cerrado,wild,late,final,36,552,land
054,Guaraflama,SPECIES_VILEPLUME,fire/ghost,Cerrado de Arauana,cerrado,wild,mid,standalone,0,448,land
055,Peixim,SPECIES_PARAS,water,Amazônia de Arauana,amazon,wild,early,base,0,282,fishing/water
056,Peixeboi,SPECIES_PARASECT,water,Amazônia de Arauana,amazon,wild,late,final,22,552,fishing/water
057,Mãe-d'Água,SPECIES_VENONAT,water/fairy,Amazônia de Arauana,amazon,wild,mid,standalone,0,448,fishing/water
058,Mandim,SPECIES_VENOMOTH,water,Rios de Arauana,rivers,wild,early,base,0,283,fishing/water
059,Mandí,SPECIES_DIGLETT,water/poison,Rios de Arauana,rivers,wild,early,middle,36,404,fishing/water
060,Mandubé,SPECIES_DUGTRIO,water/dark,Rios de Arauana,rivers,wild,late,final,40,555,fishing/water
061,Preguim,SPECIES_MEOWTH,normal,Mata Atlântica de Arauana,atlantic_forest,wild,early,base,0,283,land
062,Prego,SPECIES_PERSIAN,fighting/normal,Mata Atlântica de Arauana,atlantic_forest,wild,early,middle,22,404,land
063,Pregarcanjo,SPECIES_PSYDUCK,fighting/psychic,Mata Atlântica de Arauana,atlantic_forest,wild,late,final,30,555,land
064,Aranin,SPECIES_GOLDUCK,bug,Cerrado de Arauana,cerrado,wild,early,base,0,284,land
065,Caraninha,SPECIES_MANKEY,bug/poison,Cerrado de Arauana,cerrado,wild,early,middle,36,405,land
066,Caranga,SPECIES_PRIMEAPE,bug/poison,Cerrado de Arauana,cerrado,wild,late,final,40,550,land
067,Gatim,SPECIES_GROWLITHE,normal,Mata Atlântica de Arauana,atlantic_forest,wild,early,base,0,284,land
068,Gato-do-mato,SPECIES_ARCANINE,normal/dark,Mata Atlântica de Arauana,atlantic_forest,wild,late,final,22,554,land
069,Jaguatirica,SPECIES_POLIWAG,dark/normal,Mata Atlântica de Arauana,atlantic_forest,wild,mid,standalone,0,445,land
070,Cutim,SPECIES_POLIWHIRL,normal,Mata Atlântica de Arauana,atlantic_forest,wild,early,base,0,285,land
071,Cutia,SPECIES_POLIWRATH,normal,Mata Atlântica de Arauana,atlantic_forest,wild,late,final,36,555,land
072,Paca,SPECIES_ABRA,normal/dark,Mata Atlântica de Arauana,atlantic_forest,wild,mid,standalone,0,445,land
073,Formigão,SPECIES_KADABRA,bug/fighting,Amazônia de Arauana,amazon,wild,mid,standalone,0,447,land
074,Marimbondo,SPECIES_ALAKAZAM,bug/poison,Cerrado de Arauana,cerrado,wild,mid,standalone,0,449,land
075,Abelhinha,SPECIES_MACHOP,bug/flying,Cerrado de Arauana,cerrado,wild,mid,standalone,0,446,land
076,Quatim,SPECIES_MACHOKE,normal,Mata Atlântica de Arauana,atlantic_forest,wild,early,base,0,286,land
077,Quati,SPECIES_MACHAMP,normal/dark,Mata Atlântica de Arauana,atlantic_forest,wild,late,final,36,550,land
078,Coati,SPECIES_BELLSPROUT,dark/ground,Cavernas de Arauana,caves,wild,mid,standalone,0,446,land/rock_smash
079,Gambá,SPECIES_WEEPINBELL,poison/normal,Mata Atlântica de Arauana,atlantic_forest,wild,early,base,0,286,land
080,Cangambá,SPECIES_VICTREEBEL,poison/dark,Cerrado de Arauana,cerrado,wild,late,final,22,551,land
081,Sarué,SPECIES_TENTACOOL,poison/ghost,Cerrado de Arauana,cerrado,wild,mid,standalone,0,447,land
082,Tuquinho,SPECIES_TENTACRUEL,flying,Amazônia de Arauana,amazon,wild,early,base,0,287,land
083,Aracari,SPECIES_GEODUDE,flying/grass,Amazônia de Arauana,amazon,wild,late,final,36,551,land
084,Curicaca,SPECIES_GRAVELER,flying/normal,Pantanal de Arauana,pantanal,wild,mid,standalone,0,447,land
085,Sapim,SPECIES_GOLEM,water,Rios de Arauana,rivers,wild,early,base,0,287,fishing/land/water
086,Sapão,SPECIES_PONYTA,water/poison,Cerrado de Arauana,cerrado,wild,early,middle,22,403,fishing/land/water
087,Cururu,SPECIES_RAPIDASH,poison/ground,Cerrado de Arauana,cerrado,wild,late,final,30,554,land/rock_smash
088,Teiuzim,SPECIES_SLOWPOKE,normal,Cerrado de Arauana,cerrado,wild,early,base,0,282,land
089,Teiú,SPECIES_SLOWBRO,normal/dark,Cerrado de Arauana,cerrado,wild,late,final,36,552,land
090,Camaleão,SPECIES_MAGNEMITE,normal/psychic,Amazônia de Arauana,amazon,wild,mid,standalone,0,448,land
091,Morcim,SPECIES_MAGNETON,flying,Cavernas de Arauana,caves,wild,early,base,0,283,land
092,Morcego,SPECIES_FARFETCHD,flying/psychic,Cavernas de Arauana,caves,wild,early,middle,22,404,land
093,Vampiro,SPECIES_DODUO,flying/dark,Cavernas de Arauana,caves,wild,late,final,30,555,land
094,Piuiuim,SPECIES_DODRIO,flying,Pantanal de Arauana,pantanal,wild,early,base,0,283,land
095,Tuiuiú,SPECIES_SEEL,flying/water,Pantanal de Arauana,pantanal,wild,late,final,36,553,fishing/water
096,Colhereiro,SPECIES_DEWGONG,flying/fairy,Pantanal de Arauana,pantanal,wild,mid,standalone,0,449,land
097,Mulinha,SPECIES_GRIMER,normal,Cerrado de Arauana,cerrado,wild,early,base,0,284,land
098,Mula,SPECIES_MUK,normal/fire,Cerrado de Arauana,cerrado,wild,early,middle,22,405,land
099,Mula-sem-Cabeça,SPECIES_SHELLDER,fire/ghost,Cerrado de Arauana,cerrado,story,story,final,30,550,land
100,Corcovado,SPECIES_CLOYSTER,rock/dragon,Serra de Arauana,highlands,wild,late,standalone,0,604,land/rock_smash
101,Cerválo,SPECIES_GASTLY,normal,Caatinga de Arauana,caatinga,wild,early,base,0,286,land
102,Catingueiro,SPECIES_HAUNTER,normal/grass,Caatinga de Arauana,caatinga,wild,late,final,40,551,land
103,Suçuapara,SPECIES_GENGAR,normal/fighting,Mata Atlântica de Arauana,atlantic_forest,wild,mid,standalone,0,447,land
104,Cabocim,SPECIES_ONIX,water,Rios de Arauana,rivers,wild,early,base,0,287,fishing/water
105,Caboclo,SPECIES_DROWZEE,water/fighting,Rios de Arauana,rivers,wild,late,final,30,551,fishing/land/water
106,Cangaço,SPECIES_HYPNO,dark/flying,Caatinga de Arauana,caatinga,wild,mid,standalone,0,447,land
107,Xangô,SPECIES_KRABBY,electric/fighting,Serra de Arauana,highlands,story,story,standalone,0,449,land
108,Iemanjá,SPECIES_KINGLER,water/fairy,Litoral de Arauana,coast,story,story,standalone,0,604,fishing/water
109,Oxum,SPECIES_VOLTORB,water/fairy,Rios de Arauana,rivers,story,story,standalone,0,606,fishing/land/water
110,Ogum,SPECIES_ELECTRODE,steel/fire,Serra de Arauana,highlands,story,story,standalone,0,602,land/rock_smash
111,Cavalim,SPECIES_EXEGGCUTE,normal,Pampas de Arauana,pampas,wild,early,base,0,284,land
112,Cavalgado,SPECIES_EXEGGUTOR,normal/fighting,Pampas de Arauana,pampas,wild,late,final,34,554,land
113,Zebuim,SPECIES_CUBONE,normal,Pampas de Arauana,pampas,wild,early,base,0,283,land
114,Zebu,SPECIES_MAROWAK,normal/fighting,Pampas de Arauana,pampas,wild,late,final,40,553,land
115,Ovelhinha,SPECIES_HITMONLEE,normal/fairy,Pampas de Arauana,pampas,wild,mid,standalone,0,449,land
116,Cabrita,SPECIES_HITMONCHAN,normal/rock,Caatinga de Arauana,caatinga,wild,mid,standalone,0,445,land/rock_smash
117,Chocalhão,SPECIES_LICKITUNG,poison,Caatinga de Arauana,caatinga,wild,early,base,0,285,land
118,Cascavelim,SPECIES_KOFFING,poison,Caatinga de Arauana,caatinga,wild,early,middle,34,406,land
119,Cascavão,SPECIES_WEEZING,poison/dark,Caatinga de Arauana,caatinga,wild,late,final,36,552,land
120,Jararaca,SPECIES_RHYHORN,poison/grass,Mata Atlântica de Arauana,atlantic_forest,wild,mid,standalone,0,448,land
121,Pirarim,SPECIES_RHYDON,water,Amazônia de Arauana,amazon,wild,early,base,0,282,fishing/water
122,Pirarucu,SPECIES_CHANSEY,water/dragon,Amazônia de Arauana,amazon,wild,late,final,22,552,fishing/water
123,Piranha,SPECIES_TANGELA,water/dark,Rios de Arauana,rivers,wild,mid,standalone,0,448,fishing/water
124,Tambaqui,SPECIES_KANGASKHAN,water/normal,Amazônia de Arauana,amazon,wild,mid,standalone,0,445,fishing/water
125,Aruanã,SPECIES_HORSEA,water/flying,Amazônia de Arauana,amazon,wild,mid,standalone,0,447,fishing/water
126,Poraquê,SPECIES_SEADRA,electric/water,Amazônia de Arauana,amazon,wild,mid,standalone,0,449,fishing/water
127,Curimbatá,SPECIES_GOLDEEN,water/ground,Rios de Arauana,rivers,wild,mid,standalone,0,445,fishing/rock_smash/water
128,Traíra,SPECIES_SEAKING,water/dark,Rios de Arauana,rivers,wild,mid,standalone,0,447,fishing/water
129,Dourado,SPECIES_STARYU,water/fighting,Rios de Arauana,rivers,wild,mid,standalone,0,449,fishing/water
130,Tucunaré,SPECIES_STARMIE,water/dark,Amazônia de Arauana,amazon,wild,mid,standalone,0,446,fishing/water
131,Pacu,SPECIES_MR_MIME,water/grass,Amazônia de Arauana,amazon,wild,mid,standalone,0,448,fishing/water
132,Matrinxã,SPECIES_SCYTHER,water/normal,Rios de Arauana,rivers,wild,mid,standalone,0,444,fishing/water
133,Piau,SPECIES_JYNX,water/normal,Rios de Arauana,rivers,wild,mid,standalone,0,446,fishing/water
134,Cascudo,SPECIES_ELECTABUZZ,water/rock,Rios de Arauana,rivers,wild,mid,standalone,0,448,fishing/rock_smash/water
135,Acará,SPECIES_MAGMAR,water/psychic,Amazônia de Arauana,amazon,wild,mid,standalone,0,445,fishing/land/water
136,Vagalumim,SPECIES_PINSIR,bug/electric,Mata Atlântica de Arauana,atlantic_forest,wild,early,base,0,285,land
137,Vagalume,SPECIES_TAUROS,bug/electric,Mata Atlântica de Arauana,atlantic_forest,wild,late,final,36,555,land
138,Cigarrinho,SPECIES_MAGIKARP,bug,Mata Atlântica de Arauana,atlantic_forest,wild,early,base,0,283,land
139,Cigarrão,SPECIES_GYARADOS,bug/flying,Mata Atlântica de Arauana,atlantic_forest,wild,late,final,16,553,land
140,Louvadinha,SPECIES_LAPRAS,bug,Cerrado de Arauana,cerrado,wild,early,base,0,287,land
141,Louvadeus,SPECIES_DITTO,bug/psychic,Cerrado de Arauana,cerrado,wild,late,final,30,552,land
142,Escorpim,SPECIES_EEVEE,poison,Caatinga de Arauana,caatinga,wild,early,base,0,286,land
143,Escorpião,SPECIES_VAPOREON,poison/dark,Caatinga de Arauana,caatinga,wild,late,final,36,550,land
144,Caramulão,SPECIES_JOLTEON,bug/water,Amazônia de Arauana,amazon,wild,mid,standalone,0,446,fishing/land/water
145,Piolhão,SPECIES_FLAREON,bug/poison,Mata Atlântica de Arauana,atlantic_forest,wild,mid,standalone,0,448,land
146,Barata,SPECIES_PORYGON,bug/dark,Cidades de Arauana,urban,wild,mid,standalone,0,445,land
147,Grilim,SPECIES_OMANYTE,bug,Cerrado de Arauana,cerrado,wild,early,base,0,285,land
148,Grilão,SPECIES_OMASTAR,bug/normal,Cerrado de Arauana,cerrado,wild,late,final,34,555,land
149,Aranhão,SPECIES_KABUTO,bug/poison,Mata Atlântica de Arauana,atlantic_forest,wild,mid,standalone,0,445,land
150,Vespão,SPECIES_KABUTOPS,bug/flying,Amazônia de Arauana,amazon,wild,mid,standalone,0,447,land
151,Marimbondão,SPECIES_AERODACTYL,bug/poison,Cerrado de Arauana,cerrado,wild,mid,standalone,0,449,land
152,Traça,SPECIES_SNORLAX,bug/normal,Cidades de Arauana,urban,wild,mid,standalone,0,446,land
153,Corupião,SPECIES_ARTICUNO,bug/ground,Cerrado de Arauana,cerrado,wild,mid,standalone,0,448,land/rock_smash
154,Cupinzim,SPECIES_ZAPDOS,bug/ground,Cerrado de Arauana,cerrado,wild,mid,standalone,0,444,land/rock_smash
155,Formigão-Preto,SPECIES_MOLTRES,bug/dark,Cerrado de Arauana,cerrado,wild,mid,standalone,0,446,land
156,Beija-flor,SPECIES_DRATINI,flying/fairy,Mata Atlântica de Arauana,atlantic_forest,wild,mid,standalone,0,448,land
157,Sabiá,SPECIES_DRAGONAIR,flying/normal,Mata Atlântica de Arauana,atlantic_forest,wild,mid,standalone,0,445,land
158,Bem-te-vi,SPECIES_DRAGONITE,flying/normal,Cidades de Arauana,urban,wild,mid,standalone,0,447,land
159,Urutau,SPECIES_MEWTWO,flying/ghost,Mata Atlântica de Arauana,atlantic_forest,wild,mid,standalone,0,449,land
160,Carcará,SPECIES_MEW,flying/dark,Caatinga de Arauana,caatinga,wild,mid,standalone,0,445,land
161,Gavião,SPECIES_CHIKORITA,flying/fighting,Amazônia de Arauana,amazon,wild,mid,standalone,0,447,land
162,Urubu,SPECIES_BAYLEEF,flying/dark,Cidades de Arauana,urban,wild,late,standalone,0,555,land
163,Corurupim,SPECIES_MEGANIUM,flying/psychic,Mata Atlântica de Arauana,atlantic_forest,wild,early,middle,22,284,land
164,Coruja,SPECIES_CYNDAQUIL,flying/psychic,Cerrado de Arauana,cerrado,wild,late,standalone,0,554,land
165,Jaburu,SPECIES_QUILAVA,flying/water,Pantanal de Arauana,pantanal,wild,mid,standalone,0,444,fishing/water
166,Ema,SPECIES_TYPHLOSION,normal/flying,Cerrado de Arauana,cerrado,wild,mid,standalone,0,446,land
167,Seriema,SPECIES_TOTODILE,flying/fighting,Cerrado de Arauana,cerrado,wild,mid,standalone,0,448,land
168,Anú,SPECIES_CROCONAW,flying/dark,Cerrado de Arauana,cerrado,wild,mid,standalone,0,445,land
169,Trinca-Ferro,SPECIES_FERALIGATR,flying/steel,Mata Atlântica de Arauana,atlantic_forest,wild,mid,standalone,0,447,land/rock_smash
170,Curió,SPECIES_SENTRET,flying/normal,Cerrado de Arauana,cerrado,wild,mid,standalone,0,449,land
171,Sanhaço,SPECIES_FURRET,flying/fairy,Mata Atlântica de Arauana,atlantic_forest,wild,mid,standalone,0,445,land
172,Papa-Formiga,SPECIES_HOOTHOOT,flying/bug,Mata Atlântica de Arauana,atlantic_forest,wild,mid,standalone,0,447,land
173,Choca,SPECIES_NOCTOWL,flying/normal,Mata Atlântica de Arauana,atlantic_forest,wild,mid,standalone,0,449,land
174,Bacurau,SPECIES_LEDYBA,flying/dark,Cerrado de Arauana,cerrado,wild,mid,standalone,0,446,land
175,João-de-Barro,SPECIES_LEDIAN,flying/ground,Cerrado de Arauana,cerrado,wild,mid,standalone,0,448,land/rock_smash
176,Sementim,SPECIES_SPINARAK,grass,Cerrado de Arauana,cerrado,wild,early,base,0,282,land
177,Muda,SPECIES_ARIADOS,grass,Cerrado de Arauana,cerrado,wild,early,middle,30,403,land
178,Jequitibá,SPECIES_CROBAT,grass/rock,Mata Atlântica de Arauana,atlantic_forest,wild,late,final,34,554,land/rock_smash
179,Bromelinha,SPECIES_CHINCHOU,grass/water,Mata Atlântica de Arauana,atlantic_forest,wild,mid,standalone,0,445,fishing/land/water
180,Orquidina,SPECIES_LANTURN,grass/fairy,Amazônia de Arauana,amazon,wild,mid,standalone,0,447,land
181,Vitóriarégia,SPECIES_PICHU,grass/water,Amazônia de Arauana,amazon,wild,mid,standalone,0,449,fishing/land/water
182,Ipê,SPECIES_CLEFFA,grass/fairy,Cerrado de Arauana,cerrado,wild,mid,standalone,0,445,land
183,Cipó,SPECIES_IGGLYBUFF,grass/poison,Amazônia de Arauana,amazon,wild,mid,standalone,0,447,land
184,Palmito,SPECIES_TOGEPI,grass/fighting,Mata Atlântica de Arauana,atlantic_forest,wild,mid,standalone,0,449,land
185,Babaçu,SPECIES_TOGETIC,grass/ground,Caatinga de Arauana,caatinga,wild,mid,standalone,0,446,land/rock_smash
186,Buriti,SPECIES_NATU,grass/water,Cerrado de Arauana,cerrado,wild,mid,standalone,0,448,fishing/land/water
187,Cajuzim,SPECIES_XATU,grass,Caatinga de Arauana,caatinga,wild,early,base,0,282,land
188,Cajueiro,SPECIES_MAREEP,grass/fire,Caatinga de Arauana,caatinga,wild,late,final,22,552,land
189,Açaí,SPECIES_FLAAFFY,grass/dark,Amazônia de Arauana,amazon,wild,mid,standalone,0,448,land
190,Cacauim,SPECIES_AMPHAROS,grass,Amazônia de Arauana,amazon,wild,early,base,0,283,land
191,Cacaueiro,SPECIES_BELLOSSOM,grass/normal,Amazônia de Arauana,amazon,wild,late,final,36,553,land
192,Guaraná,SPECIES_MARILL,grass/electric,Amazônia de Arauana,amazon,wild,mid,standalone,0,449,land
193,Mate,SPECIES_AZUMARILL,grass/water,Pampas de Arauana,pampas,wild,mid,standalone,0,445,fishing/land/water
194,Milho,SPECIES_SUDOWOODO,grass/normal,Cerrado de Arauana,cerrado,wild,mid,standalone,0,447,land
195,Mandioca,SPECIES_POLITOED,grass/ground,Cerrado de Arauana,cerrado,wild,mid,standalone,0,449,land/rock_smash
196,Pedrinha,SPECIES_HOPPIP,rock,Rios de Arauana,rivers,wild,early,base,0,284,land/rock_smash
197,Rochão,SPECIES_SKIPLOOM,rock,Chapadas de Arauana,chapadas,wild,late,final,36,554,land/rock_smash
198,Cristalim,SPECIES_JUMPLUFF,rock/fairy,Cavernas de Arauana,caves,wild,early,base,0,282,land/rock_smash
199,Ametista,SPECIES_AIPOM,rock/psychic,Serra de Arauana,highlands,wild,late,final,16,552,land/rock_smash
200,Ouríço,SPECIES_SUNKERN,steel/electric,Serra de Arauana,highlands,wild,mid,standalone,0,448,land/rock_smash
201,Ferrolho,SPECIES_SUNFLORA,steel/ground,Serra de Arauana,highlands,wild,mid,standalone,0,445,land/rock_smash
202,Diamantina,SPECIES_YANMA,rock/fairy,Serra de Arauana,highlands,wild,late,standalone,0,605,land/rock_smash
203,Bauxito,SPECIES_WOOPER,steel/ground,Amazônia de Arauana,amazon,wild,mid,standalone,0,449,land/rock_smash
204,Manganim,SPECIES_QUAGSIRE,steel/dark,Serra de Arauana,highlands,wild,mid,standalone,0,445,land/rock_smash
205,Salitre,SPECIES_ESPEON,rock/water,Litoral de Arauana,coast,wild,mid,standalone,0,447,fishing/land/rock_smash/water
206,Enxofrino,SPECIES_UMBREON,fire/poison,Serra de Arauana,highlands,wild,mid,standalone,0,449,land
207,Argilim,SPECIES_MURKROW,ground,Cerrado de Arauana,cerrado,wild,early,base,0,284,land/rock_smash
208,Boneco,SPECIES_SLOWKING,ground/psychic,Cerrado de Arauana,cerrado,wild,late,final,34,554,land/rock_smash
209,Estalactite,SPECIES_MISDREAVUS,rock/water,Cavernas de Arauana,caves,wild,mid,standalone,0,444,fishing/land/rock_smash/water
210,Estalagmite,SPECIES_UNOWN,rock/ground,Cavernas de Arauana,caves,wild,mid,standalone,0,446,land/rock_smash
211,Fóssil,SPECIES_WOBBUFFET,rock/dragon,Chapadas de Arauana,chapadas,wild,mid,standalone,0,448,land/rock_smash
212,Meteorito,SPECIES_GIRAFARIG,rock/psychic,Serra de Arauana,highlands,wild,late,standalone,0,603,land/rock_smash
213,Vulcanite,SPECIES_PINECO,fire/rock,Serra de Arauana,highlands,wild,mid,standalone,0,447,land/rock_smash
214,Marmim,SPECIES_FORRETRESS,rock/fairy,Serra de Arauana,highlands,wild,mid,standalone,0,449,land/rock_smash
215,Granito,SPECIES_DUNSPARCE,rock/fighting,Chapadas de Arauana,chapadas,wild,mid,standalone,0,445,land/rock_smash
216,Caranguim,SPECIES_GLIGAR,water,Litoral de Arauana,coast,wild,early,base,0,285,fishing/land/water
217,Guaiamum,SPECIES_STEELIX,water/ground,Litoral de Arauana,coast,wild,late,final,16,555,fishing/land/rock_smash/water
218,Siri,SPECIES_SNUBBULL,water/fighting,Litoral de Arauana,coast,wild,mid,standalone,0,446,fishing/land/water
219,Camarão,SPECIES_GRANBULL,water,Litoral de Arauana,coast,wild,mid,standalone,0,448,fishing/water
220,Polvim,SPECIES_QWILFISH,water/psychic,Litoral de Arauana,coast,wild,early,base,0,282,fishing/water
221,Polvão,SPECIES_SCIZOR,water/psychic,Litoral de Arauana,coast,wild,late,standalone,0,552,fishing/water
222,Águaviva,SPECIES_SHUCKLE,water/poison,Litoral de Arauana,coast,wild,mid,final,36,448,fishing/water
223,Cavalim-Marinho,SPECIES_HERACROSS,water/fairy,Litoral de Arauana,coast,wild,mid,standalone,0,445,fishing/water
224,Tartaruguim,SPECIES_SNEASEL,water,Litoral de Arauana,coast,wild,early,base,0,285,fishing/land/water
225,Tartaruga,SPECIES_TEDDIURSA,water/rock,Litoral de Arauana,coast,wild,late,standalone,0,555,fishing/land/rock_smash/water
226,Golfinho,SPECIES_URSARING,water/psychic,Litoral de Arauana,coast,wild,mid,final,30,445,fishing/water
227,Baleia,SPECIES_SLUGMA,water/normal,Litoral de Arauana,coast,wild,mid,standalone,0,447,fishing/water
228,Tubarim,SPECIES_MAGCARGO,water/dark,Litoral de Arauana,coast,wild,early,base,0,287,fishing/water
229,Tubarão,SPECIES_SWINUB,water/dark,Litoral de Arauana,coast,wild,late,standalone,0,552,fishing/water
230,Arraia,SPECIES_PILOSWINE,water/electric,Litoral de Arauana,coast,wild,mid,final,16,448,fishing/water
231,Peixe-Espada,SPECIES_CORSOLA,water/steel,Litoral de Arauana,coast,wild,mid,standalone,0,444,fishing/rock_smash/water
232,Pargo,SPECIES_REMORAID,water/fire,Litoral de Arauana,coast,wild,mid,standalone,0,446,fishing/land/water
233,Pescadão,SPECIES_OCTILLERY,water/dark,Litoral de Arauana,coast,wild,mid,standalone,0,448,fishing/water
