dex,name,types,biome_or_region,reference_file,reference_status,reference_width,reference_height,reference_mode,production_status,needs_front,needs_back,needs_icon,needs_shiny,needs_animation
023,Onçaléu,dark,Pantanal de Arauana,023_oncaleu.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
024,Tamanduá,ground/steel,Cerrado de Arauana,024_tamandua.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
025,Botim,water,Rio Amazonas de Arauana,025_botim.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
026,Botão,water/psychic,Rio Amazonas de Arauana,026_botao.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
027,Botogaláu,water/psychic,Rio Amazonas de Arauana,027_botogalau.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
028,Tatuim,ground,Caatinga de Arauana,028_tatuim.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
029,Tatubola,ground/steel,Caatinga de Arauana,029_tatubola.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
030,Tatuçu,ground/steel,Caatinga de Arauana,030_tatucu.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
031,Ararinha,flying,Pantanal de Arauana,031_ararinha.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
032,Arará,flying/fire,Pantanal de Arauana,032_arara.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
033,Araracanga,flying/fire,Pantanal de Arauana,033_araracanga.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
034,Jacarim,water,Pantanal de Arauana,034_jacarim.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
035,Jacarão,water/dark,Pantanal de Arauana,035_jacarao.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
036,Jacarodon,water/dragon,Pantanal de Arauana,036_jacarodon.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
037,Preguicim,grass,Mata Atlântica de Arauana,037_preguicim.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
038,Preguicão,grass/psychic,Mata Atlântica de Arauana,038_preguicao.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
039,Bicho-Preguiça,grass/psychic,Mata Atlântica de Arauana,039_bicho-preguica.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
040,Papaguim,flying,Mata Atlântica de Arauana,040_papaguim.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
041,Papagaio,flying/psychic,Mata Atlântica de Arauana,041_papagaio.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
042,Papagaião,flying/psychic,Mata Atlântica de Arauana,042_papagaiao.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
043,Antinha,normal,Amazônia de Arauana,043_antinha.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
044,Anta,normal/water,Amazônia de Arauana,044_anta.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
045,Antaraú,normal/water,Amazônia de Arauana,045_antarau.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
046,Sucurim,water/poison,Rios de Arauana,046_sucurim.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
047,Sucuri,water/poison,Rios de Arauana,047_sucuri.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
048,Boiuna,water/dragon,Amazônia de Arauana,048_boiuna.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
049,Borbolim,bug,Mata Atlântica de Arauana,049_borbolim.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
050,Casulete,bug,Mata Atlântica de Arauana,050_casulete.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
051,Morphália,bug/fairy,Mata Atlântica de Arauana,051_morphalia.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
052,Guaracim,fire,Cerrado de Arauana,052_guaracim.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
053,Guará,fire/normal,Cerrado de Arauana,053_guara.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
054,Guaraflama,fire/ghost,Cerrado de Arauana,054_guaraflama.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
055,Peixim,water,Amazônia de Arauana,055_peixim.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
056,Peixeboi,water,Amazônia de Arauana,056_peixeboi.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
057,Mãe-d'Água,water/fairy,Amazônia de Arauana,057_mae-d-agua.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
058,Mandim,water,Rios de Arauana,058_mandim.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
059,Mandí,water/poison,Rios de Arauana,059_mandi.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
060,Mandubé,water/dark,Rios de Arauana,060_mandube.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
061,Preguim,normal,Mata Atlântica de Arauana,061_preguim.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
062,Prego,fighting/normal,Mata Atlântica de Arauana,062_prego.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
063,Pregarcanjo,fighting/psychic,Mata Atlântica de Arauana,063_pregarcanjo.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
064,Aranin,bug,Cerrado de Arauana,064_aranin.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
065,Caraninha,bug/poison,Cerrado de Arauana,065_caraninha.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
066,Caranga,bug/poison,Cerrado de Arauana,066_caranga.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
067,Gatim,normal,Mata Atlântica de Arauana,067_gatim.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
068,Gato-do-mato,normal/dark,Mata Atlântica de Arauana,068_gato-do-mato.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
069,Jaguatirica,dark/normal,Mata Atlântica de Arauana,069_jaguatirica.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
070,Cutim,normal,Mata Atlântica de Arauana,070_cutim.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
071,Cutia,normal,Mata Atlântica de Arauana,071_cutia.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
072,Paca,normal/dark,Mata Atlântica de Arauana,072_paca.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
073,Formigão,bug/fighting,Amazônia de Arauana,073_formigao.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
074,Marimbondo,bug/poison,Cerrado de Arauana,074_marimbondo.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
075,Abelhinha,bug/flying,Cerrado de Arauana,075_abelhinha.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
076,Quatim,normal,Mata Atlântica de Arauana,076_quatim.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
077,Quati,normal/dark,Mata Atlântica de Arauana,077_quati.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
078,Coati,dark/ground,Cavernas de Arauana,078_coati.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
079,Gambá,poison/normal,Mata Atlântica de Arauana,079_gamba.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
080,Cangambá,poison/dark,Cerrado de Arauana,080_cangamba.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
081,Sarué,poison/ghost,Cerrado de Arauana,081_sarue.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
082,Tuquinho,flying,Amazônia de Arauana,082_tuquinho.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
083,Aracari,flying/grass,Amazônia de Arauana,083_aracari.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
084,Curicaca,flying/normal,Pantanal de Arauana,084_curicaca.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
085,Sapim,water,Rios de Arauana,085_sapim.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
086,Sapão,water/poison,Cerrado de Arauana,086_sapao.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
087,Cururu,poison/ground,Cerrado de Arauana,087_cururu.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
088,Teiuzim,normal,Cerrado de Arauana,088_teiuzim.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
089,Teiú,normal/dark,Cerrado de Arauana,089_teiu.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
090,Camaleão,normal/psychic,Amazônia de Arauana,090_camaleao.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
091,Morcim,flying,Cavernas de Arauana,091_morcim.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
092,Morcego,flying/psychic,Cavernas de Arauana,092_morcego.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
093,Vampiro,flying/dark,Cavernas de Arauana,093_vampiro.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
094,Piuiuim,flying,Pantanal de Arauana,094_piuiuim.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
095,Tuiuiú,flying/water,Pantanal de Arauana,095_tuiuiu.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
096,Colhereiro,flying/fairy,Pantanal de Arauana,096_colhereiro.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
097,Mulinha,normal,Cerrado de Arauana,097_mulinha.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
098,Mula,normal/fire,Cerrado de Arauana,098_mula.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
099,Mula-sem-Cabeça,fire/ghost,Cerrado de Arauana,099_mula-sem-cabeca.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
100,Corcovado,rock/dragon,Serra de Arauana,100_corcovado.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
101,Cerválo,normal,Caatinga de Arauana,101_cervalo.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
102,Catingueiro,normal/grass,Caatinga de Arauana,102_catingueiro.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
103,Suçuapara,normal/fighting,Mata Atlântica de Arauana,103_sucuapara.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
104,Cabocim,water,Rios de Arauana,104_cabocim.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
105,Caboclo,water/fighting,Rios de Arauana,105_caboclo.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
106,Cangaço,dark/flying,Caatinga de Arauana,106_cangaco.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
107,Xangô,electric/fighting,Serra de Arauana,107_xango.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
108,Iemanjá,water/fairy,Litoral de Arauana,108_iemanja.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
109,Oxum,water/fairy,Rios de Arauana,109_oxum.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
110,Ogum,steel/fire,Serra de Arauana,110_ogum.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
111,Cavalim,normal,Pampas de Arauana,111_cavalim.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
112,Cavalgado,normal/fighting,Pampas de Arauana,112_cavalgado.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
113,Zebuim,normal,Pampas de Arauana,113_zebuim.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
114,Zebu,normal/fighting,Pampas de Arauana,114_zebu.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
115,Ovelhinha,normal/fairy,Pampas de Arauana,115_ovelhinha.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
116,Cabrita,normal/rock,Caatinga de Arauana,116_cabrita.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
117,Chocalhão,poison,Caatinga de Arauana,117_chocalhao.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
118,Cascavelim,poison,Caatinga de Arauana,118_cascavelim.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
119,Cascavão,poison/dark,Caatinga de Arauana,119_cascavao.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
120,Jararaca,poison/grass,Mata Atlântica de Arauana,120_jararaca.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
121,Pirarim,water,Amazônia de Arauana,121_pirarim.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
122,Pirarucu,water/dragon,Amazônia de Arauana,122_pirarucu.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
123,Piranha,water/dark,Rios de Arauana,123_piranha.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
124,Tambaqui,water/normal,Amazônia de Arauana,124_tambaqui.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
125,Aruanã,water/flying,Amazônia de Arauana,125_aruana.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
126,Poraquê,electric/water,Amazônia de Arauana,126_poraque.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
127,Curimbatá,water/ground,Rios de Arauana,127_curimbata.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
128,Traíra,water/dark,Rios de Arauana,128_traira.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
129,Dourado,water/fighting,Rios de Arauana,129_dourado.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
130,Tucunaré,water/dark,Amazônia de Arauana,130_tucunare.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
131,Pacu,water/grass,Amazônia de Arauana,131_pacu.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
132,Matrinxã,water/normal,Rios de Arauana,132_matrinxa.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
133,Piau,water/normal,Rios de Arauana,133_piau.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
134,Cascudo,water/rock,Rios de Arauana,134_cascudo.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
135,Acará,water/psychic,Amazônia de Arauana,135_acara.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
136,Vagalumim,bug/electric,Mata Atlântica de Arauana,136_vagalumim.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
137,Vagalume,bug/electric,Mata Atlântica de Arauana,137_vagalume.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
138,Cigarrinho,bug,Mata Atlântica de Arauana,138_cigarrinho.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
139,Cigarrão,bug/flying,Mata Atlântica de Arauana,139_cigarrao.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
140,Louvadinha,bug,Cerrado de Arauana,140_louvadinha.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
141,Louvadeus,bug/psychic,Cerrado de Arauana,141_louvadeus.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
142,Escorpim,poison,Caatinga de Arauana,142_escorpim.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
143,Escorpião,poison/dark,Caatinga de Arauana,143_escorpiao.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
144,Caramulão,bug/water,Amazônia de Arauana,144_caramulao.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
145,Piolhão,bug/poison,Mata Atlântica de Arauana,145_piolhao.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
146,Barata,bug/dark,Cidades de Arauana,146_barata.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
147,Grilim,bug,Cerrado de Arauana,147_grilim.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
148,Grilão,bug/normal,Cerrado de Arauana,148_grilao.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
149,Aranhão,bug/poison,Mata Atlântica de Arauana,149_aranhao.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
150,Vespão,bug/flying,Amazônia de Arauana,150_vespao.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
151,Marimbondão,bug/poison,Cerrado de Arauana,151_marimbondao.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
152,Traça,bug/normal,Cidades de Arauana,152_traca.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
153,Corupião,bug/ground,Cerrado de Arauana,153_corupiao.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
154,Cupinzim,bug/ground,Cerrado de Arauana,154_cupinzim.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
155,Formigão-Preto,bug/dark,Cerrado de Arauana,155_formigao-preto.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
156,Beija-flor,flying/fairy,Mata Atlântica de Arauana,156_beija-flor.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
157,Sabiá,flying/normal,Mata Atlântica de Arauana,157_sabia.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
158,Bem-te-vi,flying/normal,Cidades de Arauana,158_bem-te-vi.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
159,Urutau,flying/ghost,Mata Atlântica de Arauana,159_urutau.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
160,Carcará,flying/dark,Caatinga de Arauana,160_carcara.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
161,Gavião,flying/fighting,Amazônia de Arauana,161_gaviao.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
162,Urubu,flying/dark,Cidades de Arauana,162_urubu.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
163,Corurupim,flying/psychic,Mata Atlântica de Arauana,163_corurupim.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
164,Coruja,flying/psychic,Cerrado de Arauana,164_coruja.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
165,Jaburu,flying/water,Pantanal de Arauana,165_jaburu.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
166,Ema,normal/flying,Cerrado de Arauana,166_ema.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
167,Seriema,flying/fighting,Cerrado de Arauana,167_seriema.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
168,Anú,flying/dark,Cerrado de Arauana,168_anu.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
169,Trinca-Ferro,flying/steel,Mata Atlântica de Arauana,169_trinca-ferro.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
170,Curió,flying/normal,Cerrado de Arauana,170_curio.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
171,Sanhaço,flying/fairy,Mata Atlântica de Arauana,171_sanhaco.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
172,Papa-Formiga,flying/bug,Mata Atlântica de Arauana,172_papa-formiga.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
173,Choca,flying/normal,Mata Atlântica de Arauana,173_choca.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
174,Bacurau,flying/dark,Cerrado de Arauana,174_bacurau.png,available,512,512,RGB,queued,yes,yes,yes,yes,yes
175,João-de-Barro,flying/ground,Cerrado de Arauana,175_joao-de-barro.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
176,Sementim,grass,Cerrado de Arauana,176_sementim.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
177,Muda,grass,Cerrado de Arauana,177_muda.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
178,Jequitibá,grass/rock,Mata Atlântica de Arauana,178_jequitiba.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
179,Bromelinha,grass/water,Mata Atlântica de Arauana,179_bromelinha.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
180,Orquidina,grass/fairy,Amazônia de Arauana,180_orquidina.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
181,Vitóriarégia,grass/water,Amazônia de Arauana,181_vitoriaregia.png,available,1024,1024,RGB,queued,yes,yes,yes,yes,yes
182,Ipê,grass/fairy,Cerrado de Arauana,182_ipe.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
183,Cipó,grass/poison,Amazônia de Arauana,183_cipo.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
184,Palmito,grass/fighting,Mata Atlântica de Arauana,184_palmito.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
185,Babaçu,grass/ground,Caatinga de Arauana,185_babacu.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
186,Buriti,grass/water,Cerrado de Arauana,186_buriti.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
187,Cajuzim,grass,Caatinga de Arauana,187_cajuzim.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
188,Cajueiro,grass/fire,Caatinga de Arauana,188_cajueiro.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
189,Açaí,grass/dark,Amazônia de Arauana,189_acai.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
190,Cacauim,grass,Amazônia de Arauana,190_cacauim.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
191,Cacaueiro,grass/normal,Amazônia de Arauana,191_cacaueiro.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
192,Guaraná,grass/electric,Amazônia de Arauana,192_guarana.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
193,Mate,grass/water,Pampas de Arauana,193_mate.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
194,Milho,grass/normal,Cerrado de Arauana,194_milho.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
195,Mandioca,grass/ground,Cerrado de Arauana,195_mandioca.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
196,Pedrinha,rock,Rios de Arauana,196_pedrinha.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
197,Rochão,rock,Chapadas de Arauana,197_rochao.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
198,Cristalim,rock/fairy,Cavernas de Arauana,198_cristalim.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
199,Ametista,rock/psychic,Serra de Arauana,199_ametista.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
200,Ouríço,steel/electric,Serra de Arauana,200_ourico.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
201,Ferrolho,steel/ground,Serra de Arauana,201_ferrolho.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
202,Diamantina,rock/fairy,Serra de Arauana,202_diamantina.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
203,Bauxito,steel/ground,Amazônia de Arauana,203_bauxito.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
204,Manganim,steel/dark,Serra de Arauana,204_manganim.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
205,Salitre,rock/water,Litoral de Arauana,205_salitre.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
206,Enxofrino,fire/poison,Serra de Arauana,206_enxofrino.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
207,Argilim,ground,Cerrado de Arauana,207_argilim.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
208,Boneco,ground/psychic,Cerrado de Arauana,208_boneco.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
209,Estalactite,rock/water,Cavernas de Arauana,209_estalactite.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
210,Estalagmite,rock/ground,Cavernas de Arauana,210_estalagmite.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
211,Fóssil,rock/dragon,Chapadas de Arauana,211_fossil.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
212,Meteorito,rock/psychic,Serra de Arauana,212_meteorito.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
213,Vulcanite,fire/rock,Serra de Arauana,213_vulcanite.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
214,Marmim,rock/fairy,Serra de Arauana,214_marmim.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
215,Granito,rock/fighting,Chapadas de Arauana,215_granito.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
216,Caranguim,water,Litoral de Arauana,216_caranguim.png,available,1024,1024,RGBA,queued,yes,yes,yes,yes,yes
